Movie,Director,Running time,Actor 1,Actor 2,Actor 3,Genre,Budget,Box Office,Actors Box Office %,Director Box Office %,Earnings,Oscar and Golden Globes nominations,Oscar and Golden Globes awards,Release year,IMDb score
Against the Ropes,Charles S. Dutton,110,Omar Epps,Charles S. Dutton,Tim Daly,Biography,39000000,7000000,22.22,0.0,-32000000,0,0,2004,5.3
Agora,Alejandro Amenábar,141,Max Minghella,Ashraf Barhom,Rupert Evans,Adventure,70000000,37000000,0.0,33.33,-33000000,0,0,2009,7.2
Alex Cross,Rob Cohen,101,Cicely Tyson,Chad Lindberg,Carmen Ejogo,Action,35000000,30000000,55.55,81.81,-5000000,0,0,2012,5.1
Alex Rider: Operation Stormbreaker,Geoffrey Sax,93,Alex Pettyfer,Sophie Okonedo,Ashley Walters,Action,40000000,15000000,55.55,50.0,-25000000,0,0,2006,5.1
Alexander,Oliver Stone,206,Anthony Hopkins,Angelina Jolie,Brian Blessed,Action,155000000,167000000,88.89,35.71,12000000,0,0,2004,5.5
Alice Through the Looking Glass,James Bobin,113,Johnny Depp,Alan Rickman,Anne Hathaway,Adventure,170000000,299000000,53.84,33.33,129000000,0,0,2016,6.4
Alien: Resurrection,Jean-Pierre Jeunet,116,Gary Dourdan,Michael Wincott,Raymond Cruz,Action,75000000,160000000,61.0,40.0,85000000,0,0,1997,6.3
Aliens in the Attic,John Schultz,86,Malese Jow,Carter Jenkins,Tim Meadows,Adventure,45000000,58000000,0.0,66.67,13000000,0,0,2009,5.4
Aliens vs. Predator: Requiem,Colin Strause,102,Sam Trammell,Johnny Lewis,Ian Whyte,Action,40000000,130000000,83.33,100.0,90000000,0,0,2007,4.7
Alive,Frank Marshall,120,Illeana Douglas,Danny Nucci,Michael DeLorenzo,Biography,32000000,38000000,0.0,50.0,6000000,0,0,1993,7.1
All the King's Men,Steven Zaillian,128,Kate Winslet,Anthony Hopkins,Kevin Dunn,Thriller,55000000,74800000,61.0,0.0,19800000,0,0,2006,6.2
All the Pretty Horses,Billy Bob Thornton,220,Matt Damon,Henry Thomas,Sam Shepard,Drama,57000000,18000000,61.0,50.0,-39000000,0,0,2000,5.8
Allegiant,Robert Schwentke,120,Naomi Watts,Theo James,Zoë Kravitz,Action,110000000,179000000,61.0,66.67,69000000,0,0,2016,5.8
Aloha,Cameron Crowe,105,Emma Stone,Bradley Cooper,Bill Murray,Comedy,37000000,26000000,55.55,33.33,-11000000,0,0,2015,5.4
Alone in the Dark,Uwe Boll,94,Catherine Lough Haggquist,Darren Shahlavi,Karin Konoval,Horror,20000000,12000000,0.0,0.0,-8000000,0,0,2005,2.3
Alone with Her,Eric Nicholas,78,Jordana Spiro,Ana Claudia Talancón,Jonathon Trent,Crime,1000000,5000000,100.0,100.0,4000000,0,0,2006,6.1
Along Came a Spider,Lee Tamahori,104,Morgan Freeman,Billy Burke,Monica Potter,Crime,60000000,211000000,88.89,50.0,151000000,0,0,2001,6.3
Along Came Polly,John Hamburg,90,Philip Seymour Hoffman,Masi Oka,Debra Messing,Comedy,42000000,172000000,93.33,100.0,130000000,0,0,2004,5.9
Alpha and Omega,Anthony Bell,90,Kevin Sussman,Larry Miller,Christine Lakin,Animation,20000000,24000000,26.66,0.0,4000000,0,0,2010,5.3
Alvin and the Chipmunks,Tim Hill,92,Jesse McCartney,Beth Riesgraf,Matthew Gray Gubler,Animation,60000000,361000000,83.33,25.0,301000000,0,0,2007,5.2
Alvin and the Chipmunks: Chipwrecked,Mike Mitchell,87,Amy Poehler,Jesse McCartney,Lauren Gottlieb,Animation,75000000,342000000,100.0,100.0,267000000,0,0,2011,4.4
Alvin and the Chipmunks: The Road Chip,Walt Becker,92,Bella Thorne,Joshua Mikel,Jesse McCartney,Animation,90000000,234000000,77.00,100.0,144000000,0,0,2015,5.0
Alvin and the Chipmunks: The Squeakquel,Betty Thomas,88,Amy Poehler,Bridgit Mendler,Jesse McCartney,Animation,75000000,443000000,100.0,75.0,368000000,0,0,2009,4.5
American Outlaws,Les Mayfield,94,Gregory Smith,Ronny Cox,Harris Yulin,Action,35000000,14000000,50.0,20.0,-21000000,0,0,2001,6.0
American Pie 2,J.B. Rogers,108,Alyson Hannigan,Shannon Elizabeth,Natasha Lyonne,Comedy,30000000,287000000,50.0,50.0,257000000,0,0,2001,6.4
American Reunion,Jon Hurwitz,113,Alyson Hannigan,Dania Ramirez,Natasha Lyonne,Comedy,50000000,245000000,58.33,100.0,195000000,0,0,2012,6.7
America's Sweethearts,Joe Roth,102,Julia Roberts,Rainn Wilson,Larry King,Comedy,48000000,93100000,50.0,50.0,45100000,0,0,2001,5.7
An Everlasting Piece,Barry Levinson,103,Anna Friel,Brían F. O'Byrne,Pauline McLynn,Comedy,14000000,75000,0.0,61.5,-13925000,0,0,2000,6.3
Anaconda,Luis Llosa,89,Frank Welker,Eric Stoltz,Kari Wuhrer,Action,45000000,137000000,30.0,50.0,92000000,0,0,1997,4.6
Analyze That,Harold Ramis,96,Robert De Niro,Cathy Moriarty,Joe Viterelli,Comedy,60000000,30000000,40.0,50.0,-30000000,0,0,2002,5.9
Analyze This,Harold Ramis,103,Robert De Niro,Chazz Palminteri,Molly Shannon,Comedy,30000000,138000000,47.62,50.0,108000000,0,0,1999,6.7
Anchorman 2: The Legend Continues,Adam McKay,143,Harrison Ford,Will Ferrell,Steve Carell,Comedy,50000000,173000000,88.89,66.67,123000000,0,0,2013,6.3
Angel Eyes,Luis Mandoki,102,Sonia Braga,Shirley Knight,Kari Matchett,Drama,38000000,73000000,33.33,50.0,35000000,0,0,2001,5.6
Annie,Will Gluck,118,Quvenzhané Wallis,Dorian Missick,David Zayas,Comedy,65000000,103000000,55.55,66.67,38000000,0,0,2014,5.2
Any Given Sunday,Oliver Stone,156,Al Pacino,Dennis Quaid,LL Cool J,Drama,55000000,100000000,72.22,35.71,45000000,0,0,1999,6.8
Anything Else,Woody Allen,108,Woody Allen,Stockard Channing,Fisher Stevens,Comedy,18000000,5000000,16.67,28.57,-13000000,0,0,2003,6.4
Anywhere But Here,Wayne Wang,114,Natalie Portman,Eva Amurri Martino,Shawn Hatosy,Comedy,23000000,24000000,44.0,40.0,1000000,0,0,1999,6.1
Arachnophobia,Frank Marshall,103,Julian Sands,Peter Jason,Brian McNamara,Comedy,31000000,53000000,33.33,50.0,22000000,0,0,1990,6.3
Are We There Yet?,Brian Levant,95,Nia Long,Tracy Morgan,Jay Mohr,Adventure,32000000,34000000,44.0,33.33,2000000,0,0,2005,4.6
Arthur and the Invisibles,Luc Besson,94,Mia Farrow,Adam LeFevre,Penny Balfour,Animation,86000000,107000000,0.0,40.0,21000000,0,0,2006,6.0
Arthur Christmas,Sarah Smith,97,Jim Broadbent,Imelda Staunton,Michael Palin,Animation,100000000,148000000,17.77,0.0,48000000,0,0,2011,7.1
Ask Me Anything,Allison Burnett,100,Kimberly Williams-Paisley,Gia Mantegna,Cathryn de Prume,Drama,950000,50000,0.0,0.0,-900000,0,0,2014,6.0
Assassins,Richard Donner,132,Muse Watson,Sylvester Stallone,Kelly Rowan,Action,50000000,303000000,94.44,50.0,253000000,0,0,1995,6.3
Asterix at the Olympic Games,Frédéric Forestier,116,Alain Delon,Santiago Segura,Vanessa Hessler,Adventure,78000000,132000000,0.0,0.0,54000000,0,0,2008,5.1
Astro Boy,David Bowers,94,Nicolas Cage,Charlize Theron,Dee Bradley Baker,Animation,65000000,40000000,44.0,50.0,-25000000,0,0,2009,6.3
At First Sight,Irwin Winkler,128,Mira Sorvino,Nathan Lane,Steven Weber,Drama,60000000,22300000,0.0,25.0,-37700000,0,0,1999,5.9
Atlantis: The Lost Empire,Gary Trousdale,95,Leonard Nimoy,Jim Varney,Cree Summer,Action,120000000,186000000,83.33,50.0,66000000,0,0,2001,6.8
Austin Powers in Goldmember,Jay Roach,94,Verne Troyer,Josh Zuckerman,Robert Wagner,Action,63000000,73000000,44.0,57.14,10000000,0,0,2002,6.2
Austin Powers: The Spy Who Shagged Me,Jay Roach,95,Muse Watson,Verne Troyer,Robert Wagner,Action,33000000,312000000,77.00,57.14,279000000,0,0,1999,6.6
Autumn in New York,Joan Chen,103,J.K. Simmons,Sam Trammell,Elaine Stritch,Drama,40000000,43000000,49.28,0.0,3000000,0,0,2000,5.5
AVP: Alien vs. Predator,Paul W.S. Anderson,109,Sanaa Lathan,Colin Salmon,Raoul Bova,Action,60000000,177000000,83.33,50.0,117000000,0,0,2004,5.6
Babe: Pig in the City,George Miller,97,Adam Goldberg,Elizabeth Daily,Glenne Headly,Adventure,80000000,69000000,46.66,75.0,-11000000,0,0,1998,5.8
Baby Geniuses,Bob Clark,97,Kathleen Turner,Dom DeLuise,Ruby Dee,Comedy,18000000,25000000,55.55,50.0,7000000,0,0,1999,2.5
Baby Mama,Michael McCullers,99,Tina Fey,Amy Poehler,Romany Malco,Comedy,30000000,60000000,66.67,100.0,30000000,0,0,2008,6.0
Babylon A.D.,Mathieu Kassovitz,101,Vin Diesel,Charlotte Rampling,David Belle,Action,70000000,37000000,55.55,0.0,-33000000,0,0,2008,5.6
Baby's Day Out,Patrick Read Johnson,99,Joe Mantegna,Lara Flynn Boyle,Cynthia Nixon,Adventure,50000000,16800000,33.33,50.0,-33200000,0,0,1994,5.9
Bad Boys II,Michael Bay,147,Will Smith,Henry Rollins,Jordi MollÃ ,Action,130000000,273000000,16.67,69.23,143000000,0,0,2003,6.6
Bad Company,Joel Schumacher,116,Anthony Hopkins,Brooke Smith,Garcelle Beauvais,Action,70000000,66000000,50.0,66.67,-4000000,0,0,2002,5.6
Bad Lieutenant: Port of Call New Orleans,Werner Herzog,122,Nicolas Cage,Shea Whigham,Shawn Hatosy,Crime,25000000,10000000,44.0,0.0,-15000000,0,0,2009,6.7
Bait,Kimble Rendall,93,Alex Russell,Cariba Heine,Richard Brancatisano,Action,30000000,10800000,33.33,0.0,-19200000,0,0,2012,5.2
Ballistic: Ecks vs. Sever,Wych Kaosayananda,91,Talisa Soto,Sandrine Holt,Gregg Henry,Action,70000000,20000000,55.55,0.0,-50000000,0,0,2002,3.6
Bananas,Woody Allen,82,Woody Allen,Charlotte Rae,Louise Lasser,Comedy,2000000,2000000,0.0,28.57,0,0,0,1971,7.1
Bandidas,Joachim Rønning,93,Salma Hayek,Sam Shepard,Penelope Cruz,Action,32000000,17000000,44.0,0.0,-15000000,0,0,2006,5.7
Bandits,Barry Levinson,123,Bruce Willis,Brían F. O'Byrne,Azura Skye,Comedy,80000000,67000000,33.33,61.5,-13000000,0,0,2001,6.6
Bangkok Dangerous,Danny Pang,99,Nicolas Cage,Charlie Yeung,James With,Action,40000000,35000000,33.33,0.0,-5000000,0,0,2008,5.4
Barnyard,Steve Oedekerk,90,Rob Paulsen,Wanda Sykes,Maurice LaMarche,Animation,51000000,117000000,50.0,75.0,66000000,0,0,2006,5.6
Basic Instinct 2,Michael Caton-Jones,116,Charlotte Rampling,Indira Varma,Neil Maskell,Crime,70000000,39000000,22.22,0.0,-31000000,0,0,2006,4.2
Basic,John McTiernan,98,Connie Nielsen,Harry Connick Jr.,Tim Daly,Action,50000000,41300000,50.0,40.0,-8700000,0,0,2003,6.5
Batman & Robin,Joel Schumacher,125,Michael Gough,Vivica A. Fox,John Glover,Action,125000000,238000000,66.67,66.67,113000000,0,0,1997,3.7
Batman v Superman: Dawn of Justice,Zack Snyder,183,Henry Cavill,Lauren Cohan,Alan D. Purwin,Action,250000000,873000000,88.89,57.14,623000000,0,0,2016,6.9
Battle Los Angeles,Jonathan Liebesman,116,Noel Fisher,Jim Parrack,Ramon Rodriguez,Sci-Fi,70000000,212000000,66.67,83.33,142000000,0,0,2011,5.8
Battlefield Earth,Roger Christian,119,Richard Tyson,Michael Byrne,John Topor,Action,44000000,29000000,33.33,0.0,-15000000,0,0,2000,2.4
Battleship,Peter Berg,131,Liam Neeson,Alexander Skarsgård,Tadanobu Asano,Action,209000000,303000000,20.0,33.33,94000000,0,0,2012,5.9
Be Cool,F. Gary Gray,118,Dwayne Johnson,Christina Milian,Debi Mazar,Comedy,53000000,95000000,41.67,62.5,42000000,0,0,2005,5.7
Beautiful Creatures,Richard LaGravenese,124,Alden Ehrenreich,Zoey Deutch,Pruitt Taylor Vince,Drama,60000000,60000000,66.67,25.0,0,0,0,2013,6.2
Because of Winn-Dixie,Wayne Wang,106,Cicely Tyson,Luke Benward,Eva Marie Saint,Comedy,14000000,50000000,88.89,40.0,36000000,0,0,2005,6.4
Bedazzled,Harold Ramis,93,Brendan Fraser,Frances O'Connor,Brian Doyle-Murray,Comedy,48000000,90700000,60.0,50.0,42700000,0,0,2000,6.0
Bedtime Stories,Adam Shankman,99,Adam Sandler,Carmen Electra,Kathryn Joosten,Comedy,80000000,212000000,62.96,87.5,132000000,0,0,2008,6.1
Behind Enemy Lines,John Moore,106,Joaquim de Almeida,David Keith,Sam Jaeger,Action,40000000,91000000,61.0,50.0,51000000,0,0,2001,6.4
Bella,Alejandro Monteverde,91,Armando Riesco,Ramon Rodriguez,Eduardo Verástegui,Drama,3300000,5000000,66.67,0.0,1700000,0,0,2006,7.4
Beverly Hills Cop II,Tony Scott,100,Dean Stockwell,Judge Reinhold,Ronny Cox,Action,28000000,150000000,100.0,41.66,122000000,0,0,1987,6.4
Beverly Hills Cop III,John Landis,104,Louis Lombardi,Jon Tenney,Gilbert R. Hill,Action,55000000,119000000,50.0,100.0,64000000,0,0,1994,5.5
Beyond Borders,Martin Campbell,127,Angelina Jolie,Teri Polo,Noah Emmerich,Adventure,35000000,26000000,66.67,77.00,-9000000,0,0,2003,6.5
Beyond the Mat,Barry W. Blaustein,108,Terry Funk,Vince McMahon,Mick Foley,Documentary,500000,2000000,100.0,100.0,1500000,0,0,1999,7.6
Big Daddy,Dennis Dugan,93,Steve Buscemi,Adam Sandler,Joey Lauren Adams,Comedy,34200000,234000000,79.62,66.67,199800000,0,0,1999,6.4
Big Miracle,Ken Kwapis,107,Ted Danson,Tim Blake Nelson,Andrew Daly,Biography,40000000,24000000,66.67,25.0,-16000000,0,0,2012,6.5
Big Momma's House 2,John Whitesell,99,Chloë Grace Moretz,Nia Long,Marisol Nichols,Comedy,40000000,141000000,100.0,75.0,101000000,0,0,2006,4.6
Big Momma's House,Raja Gosnell,99,Nia Long,Cedric the Entertainer,Tichina Arnold,Action,30000000,173000000,86.66,100.0,143000000,0,0,2000,5.1
Big Mommas: Like Father Like Son,John Whitesell,113,Brandon T. Jackson,Tony Curran,Portia Doubleday,Action,32000000,82000000,100.0,75.0,50000000,0,0,2011,4.4
Big Trouble,Barry Sonnenfeld,74,Zooey Deschanel,Janeane Garofalo,Omar Epps,Comedy,40000000,50000000,66.67,71.42,10000000,0,0,2002,6.5
Bizarre,Étienne Faure,98,Rumi Missabu,Pierre Prieur,Raquel Nave,Drama,500000,1000000,100.0,100.0,500000,0,0,2015,4.3
Black Knight,Gil Junger,95,Tom Wilkinson,Marsha Thomason,Vincent Regan,Adventure,50000000,39000000,30.0,50.0,-11000000,0,0,2001,4.8
Black Mass,Scott Cooper,123,Johnny Depp,Benedict Cumberbatch,Adam Scott,Biography,53000000,99300000,52.25,33.33,46300000,0,0,2015,7.0
Black Rain,Ridley Scott,125,Stephen Root,Ken Takakura,Kate Capshaw,Action,30000000,40000000,30.95,35.29,10000000,0,0,1989,6.6
Blackhat,Michael Mann,133,Chris Hemsworth,Archie Kao,Brandon Molale,Action,70000000,20000000,23.80,33.33,-50000000,0,0,2015,5.4
Blade II,Guillermo del Toro,117,Norman Reedus,Thomas Kretschmann,Tony Curran,Action,54000000,155000000,66.67,60.0,101000000,0,0,2002,6.7
Blade,Stephen Norrington,110,Sanaa Lathan,Traci Lords,Udo Kier,Action,45000000,131000000,66.67,100.0,86000000,0,0,1998,7.1
Blade: Trinity,David S. Goyer,122,Ryan Reynolds,Natasha Lyonne,John Michael Higgins,Action,65000000,132000000,75.0,100.0,67000000,0,0,2004,5.9
Blades of Glory,Josh Gordon,93,Will Ferrell,Amy Poehler,Jon Heder,Comedy,61000000,146000000,83.33,100.0,85000000,0,0,2007,6.3
Blast from the Past,Hugh Wilson,112,Brendan Fraser,Sissy Spacek,Douglas Smith,Comedy,35000000,40000000,26.66,50.0,5000000,0,0,1999,6.6
Blended,Frank Coraci,117,Bella Thorne,Adam Sandler,Joel McHale,Comedy,40000000,128000000,96.29,71.42,88000000,0,0,2014,6.5
Bless the Child,Chuck Russell,107,Rufus Sewell,Jimmy Smits,Angela Bettis,Crime,40000000,48000000,33.33,80.0,8000000,0,0,2000,5.1
Blood and Wine,Bob Rafelson,101,Harold Perrineau,Mike Starr,Judy Davis,Crime,22000000,5000000,33.33,0.0,-17000000,0,0,1996,6.1
Blood Work,Clint Eastwood,110,Clint Eastwood,Anjelica Huston,Rick Hoffman,Action,50000000,31600000,43.33,75.0,-18400000,0,0,2002,6.4
BloodRayne,Uwe Boll,92,Meat Loaf,Udo Kier,Michael Paré,Action,25000000,28000000,33.33,0.0,3000000,0,0,2005,2.9
Blow,Ted Demme,124,Johnny Depp,Ethan Suplee,Jordi MollÃ ,Biography,30000000,83000000,46.70,100.0,53000000,0,0,2001,7.6
Blue Crush,John Stockwell,104,Faizon Love,Mika Boorem,Sanoe Lake,Drama,30000000,51000000,11.11,0.0,21000000,0,0,2002,5.6
Blue Streak,Les Mayfield,93,Peter Greene,Dave Chappelle,Tamala Jones,Action,65000000,117000000,80.55,20.0,52000000,0,0,1999,6.3
Body of Lies,Ridley Scott,128,Leonardo DiCaprio,Simon McBurney,Michael Gaston,Action,70000000,119000000,33.33,35.29,49000000,0,0,2008,7.1
Bogus,Norman Jewison,110,Haley Joel Osment,Nancy Travis,Andrea Martin,Comedy,30000000,8000000,16.67,20.0,-22000000,0,0,1996,5.3
Boiler Room,Ben Younger,120,Vin Diesel,Nia Long,Herbert Russell,Crime,8000000,28000000,100.0,100.0,20000000,0,0,2000,7.0
Bon Cop Bad Cop,Erik Canuel,116,Colm Feore,Richard Howland,Sarain Boylan,Action,8000000,11000000,33.33,0.0,3000000,0,0,2006,7.0
Boomerang,Reginald Hudlin,117,John Witherspoon,Eartha Kitt,Geoffrey Holder,Comedy,40000000,131000000,33.33,33.33,91000000,0,0,1992,5.4
Born of War,Vicky Jewson,109,James Frain,Sofia Black-D'Elia,Lisa Kay,Action,5000000,5000000,66.67,0.0,0,0,0,2014,4.4
Bottle Rocket,Wes Anderson,91,Andrew Wilson,Darryl Cox,Lumi Cavazos,Comedy,7000000,6000000,0.0,28.57,-1000000,0,0,1996,7.1
Breakdown,Jonathan Mostow,93,Kathleen Quinlan,M.C. Gainey,J.T. Walsh,Action,36000000,50000000,66.67,50.0,14000000,0,0,1997,6.9
Bride Wars,Gary Winick,89,Anne Hathaway,Steve Howey,Candice Bergen,Comedy,30000000,114000000,73.80,100.0,84000000,0,0,2009,5.4
Bridget Jones: The Edge of Reason,Beeban Kidron,108,Colin Firth,Jim Broadbent,Celia Imrie,Comedy,40000000,40700000,28.88,0.0,700000,0,0,2004,5.9
Bringing Down the House,Adam Shankman,105,Angus T. Jones,Kimberly J. Brown,Steve Harris,Comedy,33000000,132000000,83.33,87.5,99000000,0,0,2003,5.5
Broken Arrow,John Woo,108,Delroy Lindo,Samantha Mathis,Bob Gunton,Action,50000000,70000000,41.67,40.0,20000000,0,0,1996,6.0
Broken City,Allen Hughes,109,Alona Tal,James Ransone,Michael Beach,Crime,35000000,35000000,33.33,0.0,0,0,0,2013,6.2
Broken Horses,Vidhu Vinod Chopra,101,María Valverde,Chris Marquette,Chad Bishop,Action,15000000,2000000,0.0,0.0,-13000000,0,0,2015,5.7
Brooklyn's Finest,Antoine Fuqua,132,Don Cheadle,Lili Taylor,Armando Riesco,Crime,17000000,30000000,50.0,50.0,13000000,0,0,2009,6.7
Bruce Almighty,Tom Shadyac,101,Morgan Freeman,Steve Carell,Lisa Ann Walter,Comedy,81000000,484000000,88.89,66.67,403000000,0,0,2003,6.7
Brüno,Larry Charles,81,Bono,Elton John,Slash,Comedy,42000000,138000000,66.67,75.0,96000000,0,0,2009,5.8
Bullet to the Head,Walter Hill,92,Sylvester Stallone,Jason Momoa,Jon Seda,Action,55000000,48000000,27.77,0.0,-7000000,0,0,2012,5.7
Bulletproof Monk,Paul Hunter,104,Jaime King,Mako,Victoria Smurfit,Action,52000000,37700000,47.22,0.0,-14300000,0,0,2003,5.5
Bulworth,Warren Beatty,108,Warren Beatty,Kirk Baltz,Graham Beckel,Comedy,30000000,29000000,0.0,0.0,-1000000,0,0,1998,6.8
