Name,Price,Producer,MPN,EAN,UPC,Supported Sockets,Height,TDP,80mm Fans,92mm Fans,120mm Fans,140mm Fans,200mm Fans,Additional Fan Support,Product Page
Arctic Liquid Freezer II Processor,$90.6 USD,Arctic,ACFRE00046A,4895213701907,,"1150, 1151, 1155, 1156, 2011, 2011-V3, 2066, AM4",0 mm,,0,0,2,0,0,False,https://www.amazon.ca/ARCTIC-Liquid-Freezer-All-One/dp/B07WSDLRVP?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B07WSDLRVP
be quiet! Dark Rock Pro 4 - 135mm,$104.44 USD,be quiet!,BK022,4260052186268,4260052186268,"1150, 1151, 1155, 1156, 1366, 2011, 2011-V3, 2066, AM2, AM3, AM3+, AM4, FM1, FM2, FM2+, AM5, 1700",163 mm,250 W,0,0,0,0,0,True,https://www.amazon.ca/dp/B07BY6F8D9?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
be quiet! Pure Rock - 120mm,$52.68 USD,be quiet!,BK009,4260052183915,4260052183915,"1150, 1151, 1155, 1156, 1366, 2011, 2011-V3, 2066, 754, 775, 939, 940, AM2, AM3, AM3+, AM4, FM1, FM2, FM2+",155 mm,,0,0,0,0,0,False,https://www.amazon.ca/dp/B00OB40ULU?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Cooler Master Hyper 212 Black Edition - 120mm,$62.91 USD,Cooler Master,RR-212S-20PK-R1,4719512076163,884102048654,"1150, 1151, 1155, 1156, 1366, 2011, 2011-V3, 2066, AM2, AM3, AM3+, AM4, FM1, FM2, FM2+",160.02 mm,,0,0,0,0,0,True,https://www.amazon.ca/dp/B07H25DYM3?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Corsair Cooling Hydro Series H100i Pro,$116.05 USD,Corsair,CW-9060033-WW,0843591026512,,"1150, 1151, 1155, 1156, 2011, 2011-V3, 2066, AM2, AM3, AM3+, AM4, TR4, sTRX4",0 mm,,0,0,2,0,0,False,https://www.amazon.ca/dp/B07BWNWQKJ?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Corsair Cooling Hydro Series H115i PRO,$137.81 USD,Corsair,CW-9060032-WW,0843591026505,,"1150, 1151, 1155, 1156, 1366, 2011, 2011-V3, 2066, AM2, AM3, AM4, FM1, FM2, TR4, sTRX4",0 mm,,0,0,0,2,0,False,https://www.amazon.ca/dp/B077G3C6HH?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
"Corsair Cooling Hydro Series H150i PRO , RGB",$166.83 USD,Corsair,CW-9060031-WW,0843591026499,,"1150, 1151, 1155, 1156, 1366, 2011, 2011-V3, 2066, AM2, AM3, AM4, FM1, FM2, TR4, sTRX4",0 mm,,0,0,3,0,0,False,https://www.amazon.ca/dp/B077FZPCRH?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Noctua NH-U12DO A3 120mm SSO,,Noctua,NH-U12DO A3,842431013736,,"G34, C32",158 mm,,0,0,0,0,0,False,
"Noctua NH-U9S 92mm SSO2 U-Type Premium , NF-A9 PWM Fans, Retail",,Noctua,NH-U9S,842431012463,,"2011, 1156,1155, 1150, AM2,AM2+,AM3, AM3+, FM1, FM2",125 mm,,0,0,0,0,0,False,
Scythe Fuma,,SCYTHE,Scythe Fuma CPU Kühler,4571225055503,,"775, 1150, 1151, 1155, 1156, 1366, 2011, 2011-V3, AM2, AM2+, AM3, AM3+, FM1, FM2, FM2+",149 mm,,0,0,0,0,0,False,
Scythe FUMA 2 Rev. B,,Scythe,SCFM-2100,4571225058221,,"2066, 2011-V3, 2011, 1700, 1200, 1150, 1151, 1155, 1156, AM4, AM3, AM2, FM2, FM1","154,5 mm",,0,0,0,0,0,False,
Scythe Mugen 5 Rev. C,,Scythe,SCMG-5200,4571225058009,,"2066, 2011-V3, 1700, 1200, 1150, 1151, 1155, 1156, AM4, AM3, AM2, FM2, FM1","154,5 mm",,0,0,0,0,0,False,
Scythe SCFM-2000 FUMA 2,,Scythe,SCFM-2000,4571225057200,,"1150, 1151, 1155, 1156, 1366, 2011, 2011-V3, 2066, 775, AM2, AM3, AM3+, AM4, FM1, FM2, FM2+, 1700","154,5 mm",,0,0,0,0,0,False,
Thermalright Silver Arrow IB-E Extreme Cooler,,THERMALRIGHT,Thermalright Silver Arrow IB,0814256000963,,"2011, 2011-V3, 1366, 1150, 1151, 1155, 1156, 775, AM2, AM2+, AM3, AM3+, FM1, FM2, FM2+, AM4",163 mm,,0,0,0,0,0,False,
Aerocool Core Plus,,Aerocool,ACTC-CL30010.71,4710562750218,,"1200, 1150, 1151, 1155, 1156, 775, AM4, AM3+, AM3, AM2, FM2, FM1",83 mm,110 W,0,0,0,0,0,False,
Aerocool Cylon 3,,Aerocool,ACTC-CL30310.71,4710562750225,,"1150, 1151, 1155, 1156, 775, AM4, AM3+, AM3, AM2, FM2, FM1",95 mm,125 W,0,0,0,0,0,False,
Aerocool Cylon 3H,,Aerocool,,4711099470235,,"1200, 1150, 1151, 1155, 1156, 775, AM4, AM3+, AM3, AM2+, AM2, FM2, FM1",138 mm,125 W,0,0,0,0,0,False,
Aerocool Cylon 4,,Aerocool,ACTC-CL30410.01,4718009159600,,"1150, 1151, 1155, 1156, 2011-V3, 2011, 2066, 775, AM4, AM3+, AM3, AM2, FM2+, FM2, FM1",160 mm,145 W,0,0,0,0,0,True,
Aerocool Cylon 4F,,Aerocool,ACTC-CL30420.03,4710562752724,,"1150, 1151, 1155, 1156, 2011-V3, 2011, 2066, 775, AM4, AM3+, AM3, AM2, FM2+, FM2, FM1",160 mm,145 W,0,0,0,0,0,True,
Aerocool Mirage 5 Processor Kühler,,Aerocool,ACTC-MR90517.01,4710562756036,,"1200, 1150, 1151, 1155, 1156, 2011, 2066, 775, AM4, AM3+, AM3, AM2, FM2, FM1",145 mm,150 W,0,0,0,0,0,False,
Aerocool P7-L240,,Aerocool,ACLA-P724117.01,4713105958836,,"1150, 1151, 1155, 1156, 1366, 2011, 2011-V3, 2066, 775, AM2, AM3, AM3+, AM4, FM1, FM2",0 mm,,0,0,2,0,0,False,
Aerocool Verkho 2 - 92mm,,Aerocool,ACTC-NA20210.01,4710700955888,,"1152, 755, 1150, 1151, 1155, 1156, AM4, AM3+, AM3, AM2+, AM2, FM2, FM1",62 mm,110 W,0,0,0,0,0,False,
Aerocool Verkho 2 Plus - 120mm,,Aerocool,ACTC-NA30210.01,4713105960877,,"1152, 755, 1200, 1150, 1151, 1155, 1156, AM4, AM3+, AM3, AM2+, AM2, FM2, FM1",72 mm,115 W,0,0,0,0,0,False,
Aerocool Verkho 3 Plus - 120mm,,Aerocool,ACTC-NA30310.01,4713105960891,,"1152, 755, 1200, 1150, 1151, 1155, 1156, AM4, AM3+, AM3, AM2+, AM2, FM2, FM1",78 mm,125 W,0,0,0,0,0,False,
Aerocool Verkho 4 Dark - 120mm,,Aerocool,ACTC-NA30430.01,4713105960884,,"1152, 755, 1200, 1150, 1151, 1155, 1156, AM4, AM3+, AM3, AM2+, AM2, FM2, FM1",73 mm,125 W,0,0,0,0,0,False,
Aerocool Verkho 5 Dark,,Aerocool,ACTC-NA30510.01,4718009153370,,"1152, 755, 1200, 1150, 1151, 1155, 1156, AM4, AM3+, AM3, AM2+, AM2, FM2, FM1",73 mm,150 W,0,0,0,0,0,False,
Akasa AK-955A-BV2,,Akasa,AK-955A-BV2,4710614532304,,"1200, 1150, 1151, 1155, 1156, 775",62 mm,,0,0,0,0,0,True,
Akasa AK-959CU - 92mm,,Akasa,AK-959CU,4710614530195,,"1150, 1151, 1155, 1156, 775",62 mm,,0,0,0,0,0,False,
Akasa AK-CC1101EP02 Low Profile AMD - 80 mm,,Akasa,AK-CC1101EP02,4710614531031,,"754, 939, AM2, AM3, AM3+, FM1, FM2, FM2+",29 mm,,0,0,0,0,0,False,
Akasa AK-CC1107EP01 AMD - 80 mm,,Akasa,AK-CC1107EP01,4710679559766,,"754, 939, 940, AM2, AM3, AM3+, AM4, FM1, FM2, FM2+","55,5 mm",,0,0,0,0,0,False,
Akasa AK-CC4007EP01 Nero 3 Processor Cooler - 120mm,,Akasa,AK-CC4007EP01,4710614532229,,"1150, 1151, 1155, 1156, 1366, 2011, 2011-V3, 775, AM2, AM2+, AM3, AM3+, FM1, FM2, FM2+",160 mm,,0,0,1,0,0,False,
Akasa AK-CC4008HP01 Venom Voodoo - 120mm,,Akasa,AK-CC4008HP01V2,4710614533530,,"1150, 1151, 1155, 1156, 1366, 2011, 2011-V3, 2066, 775, AM2, AM3, AM3+, FM1, FM2, FM2+",164 mm,,0,0,0,0,0,False,
Akasa AK-CC4009EP01 Venom Pico - 92mm,,Akasa,AK-CC4009EP01,4710614531994,,"1150, 1151, 1155, 1156, 775, AM2, AM2+, AM3, AM3+, FM1, FM2, FM2+",138.5 mm,,0,1,0,0,0,False,
Akasa AK-CC4010HP01 Medusa - 120/140mm,,Akasa,AK-CC4010HP01,4710614533769,,"1150, 1151, 1155, 1156, 1366, 2011, 2011-V3, 2066, 775, AM2, AM3, AM3+, FM1, FM2, FM2+",163 mm,,0,0,0,0,0,True,
Akasa AK-CC6308EP01 Low Profile - 92mm,,Akasa,AK-CC6308EP01,4710679559759,,"1200, 1150, 1151, 1155, 1156","31,8 mm",65 W,0,0,0,0,0,False,
Akasa AK-CC6601EP01 Low Profile - socket LGA 1700,,Akasa,AK-CC6601EP01,4710679551722,,1700,"26,92 mm",35 W,0,0,0,0,0,False,
Akasa AK-CC6602HP01 Low Profile - socket LGA 1700,,Akasa,AK-CC6602HP01,4710679552026,,1700,"29,92 mm",,0,0,0,0,0,False,
Akasa AK-CC6603EP01 Low Profile - socket LGA 1700,,Akasa,AK-CC6603EP01,4710679551739,,1700,"59,2 mm",77 W,0,0,0,0,0,False,
Akasa AK-CC6606BP01 Low Profile - socket LGA 1700,,Akasa,AK-CC6606BP01,4710679551746,,1700,"63,2 mm",125 W,0,0,0,0,0,False,
Akasa AK-CC6607EP01 Low Profile - socket LGA 1700,,Akasa,AK-CC6607EP01,4710679552187,,1700,"64,5 mm",80 W,0,0,0,0,0,False,
Akasa AK-CC6608BP01 Low Profile - socket LGA 1700,,Akasa,AK-CC6608BP01,4710679552200,,1700,"63,2 mm",125 W,0,0,0,0,0,False,
Akasa AK-CC6609EP01 Low Profile - socket LGA 1700,,Akasa,AK-CC6609EP01,4710679552194,,1700,"21,8 mm",35 W,0,0,0,0,0,False,
Akasa AK-CC7108EP01 - 92mm,,Akasa,AK-CC7108EP01,4710614531253,,"1150, 1151, 1155, 1156, 775","58,5 mm",,0,0,0,0,0,False,
Akasa AK-CC7117EP01 K32 - 92mm,,Akasa,AK-CC7117EP01,4710614532007,,"1150, 1151, 1155, 1156, 775","62,3 mm",,0,0,0,0,0,False,
Akasa AK-CC7118HP01 K25 - 74mm,,Akasa,AK-CC7118HP01,4710614532014,,"1150, 1151, 1155, 1156, 775","29,5 mm",,0,0,0,0,0,False,
Akasa AK-CC7122BP01 Low Profile - 74mm,,Akasa,AK-CC7122BP01,4710614532861,,"1150, 1151, 1155, 1156, 775",26 mm,,0,0,0,0,0,False,
Akasa AK-CC7124EP01 Low Profile - 74mm,,Akasa,AK-CC7124EP01,4710614535657,,"1150, 1151, 1155, 1156",23 mm,,0,0,0,0,0,False,
Akasa AK-CC7129BP01 Low Profile - 74mm,,Akasa,AK-CC7129BP01,4710614533905,,"1150, 1151, 1155, 1156, 775",21 mm,,0,0,0,0,0,False,
Akasa AK-CC7401BT01 1U Low Profile - socket LGA 1700,,Akasa,AK-CC7401BP01,4710679552019,,"1700, 1200, 1150, 1152, 1151, 1155, 1156, 775","30,5 mm",,0,0,0,0,0,False,
Akasa AK-CC7402BT01 2U Low Profile - socket LGA 1700,,Akasa,AK-CC7402BT01,4710679552156,,"1356 , 1700, 1366, 1200, 1150, 1152, 1151, 1155, 1156","42,5 mm",130 W,0,0,0,0,0,False,
Akasa AK-CCE-7101CP mit Kugellager für 775/115X - 92mm,,Akasa,AK-CCE-7101CP,4710614530171,,"1150, 1151, 1155, 1156, 775",63 mm,,0,0,0,0,0,False,
Akasa AK-CCE-7106HP Low Profile Intel - 74mm,,Akasa,AK-CCE-7106HP,4710614530614,,"1150, 1151, 1155, 1156, 775","29,5 mm",,0,0,0,0,0,False,
Akasa Alucia H4 High Performance Processor Kühler,,Akasa,AK-CC4017EP01,4710679550435,,"1200, 1150, 1151, 1155, 1156, 2011, 2066, AM4",154 mm,185 W,0,0,0,0,0,False,
Akasa Alucia H4 Plus High Performance Processor Kühler,,Akasa,AK-CC4021HP01,4710679551821,,"2066, 2011, 1700, 1200, 1150, 1151, 1155, 1156, AM4",120 mm,,0,0,0,0,0,False,
Akasa Aluminium Kühler 50mm Fan socket A,,Akasa,AK-CC1105ES01,4710614539402,,"Sockel A, Sockel 370",0 mm,,0,0,0,0,0,False,
Akasa Dual Socket Low Noise PWM für 775/115X - 80mm,,Akasa,AK-CCE-7102EP,4710614530164,,"1150, 1151, 1155, 1156, 775",53 mm,,0,0,0,0,0,False,
Akasa Nero LX 2 - 120 mm,,Akasa,AK-CC4016EP01,4710614535909,,"1150, 1151, 1155, 1156, 1366, 775, AM2, AM3, AM3+, FM1, FM2, FM2+",57 mm,,0,0,0,0,0,False,
Akasa SOHO 240 Dusk Edition - 240 mm,,Akasa,AK-LC4003HP01,4710679551487,,"2066, 2011-V3, 2011, 1700, 1200, 1150, 1152, 1151, 1155, 1156, AM4",0 mm,,0,0,2,0,0,False,
Akasa SOHO 360 Dusk Edition - 360 mm,,Akasa,AK-LC4005HP01,4710679551500,,"2066, 2011-V3, 2011, 1700, 1200, 1150, 1152, 1151, 1155, 1156, AM4",0 mm,,0,0,3,0,0,False,
Akasa Soho H4 Processor Kühler,,Akasa,AK-CC4018EP01,4710679550619,,"1200, 1150, 1151, 1155, 1156, 2011, 2066, AM4",157 mm,185 W,0,0,0,0,0,True,
Akasa SOHO H4 plus Processor Kühler,,Akasa,AK-CC4022HP01,4710679551838,,"2066, 2011-V3, 2011, 1700, 1200, 1150, 1152, 1151, 1155, 1156, AM4","153,6 mm",185 W,0,0,0,0,0,False,
Akasa Sunflower Mini-Top-Flow- - 120mm,,Akasa,AK-CC1108HP01,4710679550794,,"AM4, AM3+",88 mm,95 W,0,0,0,0,0,False,
Akasa Vegas Chroma AM,,Akasa,AK-CC1106HP01,4710679559643,,"AM4, AM3+",63 mm,95 W,0,0,0,0,0,False,
Akasa Vegas Chroma LG,,Akasa,AK-CC7139HP01,4710679559650,,"1150, 1151, 1155, 1156",59 mm,95 W,0,0,0,0,0,False,
Akasa Venom A10,,Akasa,AK-LC4001HS02,4710614538221,,"1150, 1151, 1155, 1156, 1366, 2011, 775, AM2, AM3, AM3+, AM4, FM1, FM2, FM2+",0 mm,,0,0,1,0,0,False,
Akasa Venom A20,,Akasa,AK-LC4002HS02,4710614538238,,"1150, 1151, 1155, 1156, 1366, 2011, 2011-V3, 775, AM2, AM3, AM3+, AM4, FM1, FM2",0 mm,,0,0,2,0,0,False,
Alpenföhn Atlas - 2x92mm,,Alpenföhn,84000000124,4250280302905,,"1150, 1151, 1155, 1156, 1366, 2011, 2011-V3, 2066, 775, AM2, AM3, AM3+, FM1, FM2, FM2+",125 mm,,0,0,0,0,0,False,
Alpenföhn Ben Nevis - 120mm,,Alpenföhn,84000000119,4250280302042,,"1150, 1151, 1155, 1156, 2011, 2011-V3, AM2, AM3, AM3+, AM4, FM1, FM2, FM2+, AM5, 1700",141 mm,,0,0,0,0,0,False,
Alpenföhn Ben Nevis Advanced - 130mm,,Alpenföhn,84000000146,4250280355314,,"1150, 1151, 1155, 1156, 2011, 2011-V3, 2066, AM2, AM3, AM3+, AM4, FM1, FM2, FM2+, AM5, 1700",159 mm,,0,0,0,0,0,True,
Alpenföhn Ben Nevis Advanced RGB Black Edition - 130mm,,Alpenföhn,84000000152,4250280365696,,"1150, 1151, 1155, 1156, 2011, 2011-V3, 2066, AM2, AM3, AM3+, AM4, FM1, FM2, FM2+",159 mm,,0,0,0,0,0,True,
Alpenföhn Black Ridge - 120mm,,Alpenföhn,84000000156,4250280374810,,"1150, 1151, 1155, 1156, AM2, AM3, AM3+, AM4, FM1, FM2, FM2+",47 mm,,0,0,0,0,0,True,
Alpenföhn Brocken 2 - 140 mm,,Alpenföhn,84000000094,4250280394221,,"1150, 1151, 1155, 1156, 1366, 2011, 2011-V3, 775, AM2, AM3, AM3+, FM1",165 mm,,0,0,0,0,0,False,
Alpenföhn Brocken 2 PCGH Edition - 140 mm,,Alpenföhn,84000000136,4250280305074,,"1150, 1151, 1155, 1156, 1366, 2011, 2011-V3, 2066, 775, AM2, AM3, AM3+, FM1, FM2, FM2+",165 mm,,0,0,0,0,0,False,
Alpenföhn Brocken 3 - 140mm,,Alpenföhn,84000000140,4250280332582,,"1150, 1151, 1155, 1156, 1366, 2011, 2011-V3, 2066, 775, AM3, AM3+, AM4, FM1, AM5",165 mm,,0,0,0,0,0,True,
Alpenföhn Brocken 3 Black Edition - 2x140mm,,Alpenföhn,84000000154,4250280369458,,"1150, 1151, 1155, 1156, 1366, 2011, 2011-V3, 775, AM2, AM3, AM3+, AM4, FM1, FM2, FM2+, AM5",165 mm,,0,0,0,0,0,False,
Alpenföhn Brocken 3 White Edition - 2x140mm,,Alpenföhn,84000000155,4250280369465,,"1150, 1151, 1155, 1156, 1366, 2011, 2011-V3, 775, AM2, AM3, AM3+, AM4, FM1, FM2, FM2+",165 mm,,0,0,0,0,0,False,
Alpenföhn Brocken 4 - 120mm,,Alpenföhn,84000000205,4250280330311,,"1154, 2066, 2011-V3, 2011, 1700, 1200, 1150, 1152, 1151, 1155, 1156, AM5, AM4",119 mm,220 W,0,0,0,0,0,False,
Alpenföhn Brocken 4 Max - 2x 120mm,,Alpenföhn,84000000211,4250280312751,,"1154, 2066, 2011-V3, 2011, 1700, 1200, 1150, 1152, 1151, 1155, 1156, AM5, AM4",129 mm,250 W,0,0,0,0,0,False,
Alpenföhn Brocken ECO - 120 mm,,Alpenföhn,84000000106,4250280300239,,"1150, 1151, 1155, 1156, 1366, 2011, 2011-V3, 2066, AM2, AM3, AM3+, FM1, FM2, FM2+",150 mm,,0,0,0,0,0,True,
Alpenföhn Brocken ECO Advanced - 120mm,,Alpenföhn,84000000148,4250280355772,,"1150, 1151, 1155, 1156, 1366, 2011, 2011-V3, 2066, 775, AM2, AM3, AM3+, AM4, FM1, FM2, FM2+",148 mm,,0,0,0,0,0,False,
Alpenföhn Dolomit - 92mm,,Alpenföhn,84000000185,4250280320268,,"1200, 1150, 1151, 1155, 1156, 2011-V3, 2011, 2066, AM4, AM5",125 mm,160 W,0,0,0,0,0,True,
Alpenföhn Dolomit Advanced - 120mm,,Alpenföhn,84000000184,4250280320213,,"1200, 1150, 1151, 1155, 1156, 2011-V3, 2011, 2066, AM4, AM5",154 mm,180 W,0,0,0,0,0,True,
Alpenföhn Dolomit Premium - 120mm,,Alpenföhn,84000000183,4250280320114,,"1200, 1150, 1151, 1155, 1156, 2011-V3, 2011, 2066, AM4, AM5",154 mm,210 W,0,0,0,0,0,True,
"Alpenföhn Gletscherwasser 240 , ARGB - white",,Alpenföhn,84000000193,4250280345599,,"1200, 1150, 1151, 1155, 1156, 1366, 2011, 2066, AM4, AM3+, AM2+, FM1, sTRX4, TR4, AM5, 1700",0 mm,,0,0,2,0,0,False,
"Alpenföhn Gletscherwasser 280 , ARGB , black",,Alpenföhn,84000000189,4250280322460,,"1200, 1150, 1151, 1155, 1156, 1366, 2011, 2066, AM2, AM3, AM3+, AM4, FM1, TR4, sTRX4, AM5, 1700",0 mm,,0,0,0,2,0,False,
"Alpenföhn Gletscherwasser 280 , ARGB - white",,Alpenföhn,84000000194,4250280345650,,"1200, 1150, 1151, 1155, 1156, 1366, 2011, 2066, AM4, AM3+, AM2+, FM1, sTR4, TR4, AM5, 1700",0 mm,,0,0,0,2,0,False,
"Alpenföhn Gletscherwasser 360 , ARGB - white",,Alpenföhn,84000000195,4250280345698,,"1200, 1150, 1151, 1155, 1156, 1366, 2011, 2066, AM4, AM3+, AM2+, FM1, sTRX4, TR4, AM5, 1700",0 mm,,0,0,3,0,0,False,
Alpenföhn Matterhorn Black Edition Rev. C - 120mm,,Alpenföhn,84000000126,4250280303223,,"1150, 1151, 1155, 1156, 1366, 2011, 2011-V3, 2066, 775, AM2, AM3, AM3+, FM1, FM2, FM2+",158 mm,,0,0,0,0,0,True,
Alpenföhn Matterhorn Pure Edition - 120 mm,,Alpenföhn,84000000079,4250280389746,,"1150, 1151, 1155, 1156, 1366, 2011, 2011-V3, 2066, AM2, AM3, AM3+, FM1, FM2, FM2+",157 mm,,0,0,0,0,0,False,
Alpenföhn Matterhorn Threadripper Edition,,Alpenföhn,84000000151,4250280365290,,"TR4, sTRX4",158 mm,,0,0,0,0,0,True,
Alpenföhn Matterhorn White Edition Rev. C - 120mm,,Alpenföhn,84000000127,4250280303230,,"1150, 1151, 1155, 1156, 1366, 2011, 2011-V3, 2066, 775, AM2, AM3, AM3+, FM1, FM2, FM2+",158 mm,,0,0,0,0,0,True,
Alpenföhn Olymp - 2x140mm,,Alpenföhn,84000000135,4250280304916,,"1150, 1151, 1155, 1156, 1366, 2011, 2011-V3, 2066, 775, AM2, AM3, AM3+, FM1, FM2, FM2+",165 mm,,0,0,0,0,0,True,
Alpenföhn Panorama - 100mm,,Alpenföhn,84000000040,4250280371680,,"1150, 1151, 1155, 1156, 775, AM2, AM3, AM3+, FM1, FM2, FM2+",66 mm,,0,0,0,0,0,False,
Alpenföhn Sella - 92mm,,Alpenföhn,84000000053,4250280382013,,"1150, 1151, 1155, 1156, 775, AM2, AM3, AM3+, AM4, FM1, FM2, FM2+",129 mm,,0,0,0,0,0,False,
"Alpenföhn Super Silent SI 2, AMD - 92mm",,Alpenföhn,21720121022,4250280396867,,"AM2, AM3, AM3+, FM1",121 mm,,0,0,0,0,0,True,
Alphacool Core Ocean T38 120mm Processor Digital,,Alphacool,13050,4250197130509,,"2066, 1700, 1200, 1150, 1152, 1151, 1155, 1156, AM5, AM4",0 mm,,0,0,1,0,0,False,
Alphacool Core Ocean T38 240mm Processor Digital,,Alphacool,13051,4250197130516,,"2066, 1700, 1200, 1150, 1152, 1151, 1155, 1156, AM5, AM4",0 mm,,0,0,2,0,0,False,
Alphacool Core Ocean T38 280mm Processor Digital,,Alphacool,13053,4250197130530,,"2066, 1700, 1200, 1150, 1152, 1151, 1155, 1156, AM5, AM4",0 mm,,0,0,0,2,0,False,
Alphacool Core Ocean T38 360mm Processor Digital,,Alphacool,13052,4250197130523,,"2066, 1700, 1200, 1150, 1152, 1151, 1155, 1156, AM5, AM4",0 mm,,0,0,3,0,0,False,
Alphacool Core Ocean T38 420mm Processor Digital,,Alphacool,13054,4250197130547,,"2066, 1700, 1200, 1150, 1152, 1151, 1155, 1156, AM5, AM4",0 mm,,0,0,0,3,0,False,
Alphacool Eisbaer Aurora LT240 Processor Digital RGB,,Alphacool,11678,4250197116787,,"1056, sWRX , 1700, 1200, 1150, 1151, 1155, 2011-V3, 2011, 2066, 775, AM4, AM3+, AM3, AM2+, AM2, FM2+, FM2, FM1, SP3, sTRX4, TR4, AM5",0 mm,,0,0,2,0,0,False,
Alphacool Eisbaer Aurora LT360 Processor Digital RGB,,Alphacool,11679,4250197116794,,"sWRX , 1700, 1200, 1150, 1151, 1155, 1156, 2011-V3, 2011, 2066, 775, AM4, AM3+, AM3, AM2+, AM2, FM2+, FM2, FM1, SP3, sTRX4, TR4, AM5",0 mm,,0,0,3,0,0,False,
Alphacool Eisbaer Aurora Pro HPE Edition Digital RGB Komplett Wasserkühlung - 360 mm,,Alphacool,13074,4250197130745,,"4189, 3647, 2066, 2011-V3, 2011, 1700, 1200, 1150, 1152, 1151, 1155, 1156, AM5, AM4, SP3, sWRX8, sTRX4, TR4",0 mm,,0,0,3,0,0,False,
Alphacool Eisbaer Extreme Liquid Processor Cooler 280 - Black Edition,,Alphacool,11594,4250197115940,,"1150, 1151, 1155, 1156, 1366, 2011, 2011-V3, 2066, AM3, AM3+, AM4, FM1, FM2, FM2+, TR4, sTRX4, AM5, 1700",0 mm,,0,0,0,2,0,False,
