Name,Price,Producer,MPN,EAN,UPC,Socket,Chipset,Unlocked,Form Factor,Memory Type,Memory Capacity,RAM Slots,SATA,VGA,DVI,Display Port,HDMI,WiFi,Integrated Graphics,Product Page
ASRock X299 Gaming K6,$261.13 USD,ASRock,90-MXB5E0-A0UAYZ,4717677333565,,2066,X299,True,ATX,DDR4,128 GB,8,8,0,0,0,0,False,False,https://www.amazon.ca/ASRock-X299-K6-Fatal1ty-Motherboard/dp/B0737WT8XK?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B0737WT8XK
ASRock X399 Taichi,$314.49 USD,ASRock,90-MXB5R0-A0UAYZ,4717677333947,,TR4,X399,True,ATX,DDR4,128 GB,8,8,0,0,0,0,False,False,https://www.amazon.ca/dp/B074J5R36W?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
"ASRock X570 Taichi, AMD X570",$293.77 USD,ASRock,90-MXBA80-A0UAYZ,4717677338683,,AM4,X570,True,ATX,DDR4,128 GB,4,8,0,0,0,1,False,False,https://www.amazon.ca/ASRock-X570-Taichi-DDR4-Motherboard/dp/B07TD911Y2?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B07TD911Y2
ASRock X99 Taichi,$253.93 USD,ASRock,90-MXB380-A0UAYZ,4717677331219,,2011-V3,X99,False,ATX,DDR4,128 GB,8,10,0,0,0,0,False,False,https://www.amazon.ca/ASRock-LGA2011-v3-X99-Motherboard-TAICHI/dp/B01ITOLDQI?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01ITOLDQI
ASRock X99E-ITX/AC,,ASRock,X99E-ITX/AC,4717677325911,4717677325911,2011-V3,X99,False,ITX,DDR4,16 GB,2,6,0,0,0,0,False,False,
ASRock Z270 Killer SLI,$196.37 USD,ASRock,90-MXB4T0-A0UAYZ,4717677332612,,1151,Z270,True,ATX,DDR4,64 GB,4,6,0,0,0,0,False,False,https://www.amazon.ca/dp/B01N48AFA1?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
ASRock Z270 Pro4,$128.2 USD,ASRock,90-MXB3Q0-A0UAYZ,4717677332414,,1151,Z270,True,ATX,DDR4,64 GB,4,6,0,0,0,0,False,False,https://www.amazon.ca/ASRock-Z270-PRO4-CrossFireX-Motherboard/dp/B01NCEGBY5?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01NCEGBY5
ASRock Z270M Pro4,$131.84 USD,ASRock,90-MXB3F0-A0UAYZ,4717677332490,,1151,Z270,True,Micro-ATX,DDR4,64 GB,4,6,0,0,0,0,False,False,https://www.amazon.ca/dp/B01N1MOFKV?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
ASRock Z270M-ITX/ac,$123.07 USD,ASRock,90-MXB3K0-A0UAYZ,4717677332407,,1151,Z270,True,Mini-ITX,DDR4,32 GB,2,6,0,0,0,0,False,False,https://www.amazon.ca/ASRock-Z270M-ITX-ac-Motherboard/dp/B01N1MOFKZ?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01N1MOFKZ
ASRock Z370 Pro4,$130.56 USD,ASRock,90-MXB5X0-A0UAYZ,4717677334180,,1151,Z370,True,ATX,DDR4,64 GB,4,6,0,0,0,0,False,False,https://www.amazon.ca/ASRock-Motherboard-Motherboards-Z370-PRO4/dp/B07639M7MY?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B07639M7MY
ASRock Z370M Pro4,$122.96 USD,ASRock,90-MXB660-A0UAYZ,4717677334357,,1151,Z370,True,Micro-ATX,DDR4,64 GB,4,6,0,0,0,0,False,False,https://www.amazon.ca/ASRock-Motherboard-Motherboards-Z370M-PRO4/dp/B076391FXP?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B076391FXP
ASRock Z390 Extreme 4,$155.01 USD,ASRock,90-MXB880-A0UAYZ,4717677336726,,1151,Z390,False,ATX,DDR4, GB,4,4,0,0,0,1,False,False,https://www.amazon.ca/dp/B07HYBMRW4?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
ASRock Z390 Taichi,$245.05 USD,ASRock,90-MXB8H0-A0UAYZ,4717677336764,,1151,Z390,False,ATX,DDR4, GB,4,4,0,0,0,1,False,False,https://www.amazon.ca/dp/B07HYP716L?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
ASRock Z790 PG Lightning,$103.61 USD,ASRock,90-MXBKA0-A0UAYZ,4710483940965,,1700,Z790,False,ATX,DDR5,128 GB,4,4,0,0,0,1,False,False,https://www.amazon.ca/dp/B08TV9LWGL?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
ASRock Z97 Anniversary,,ASRock,Z97 ANNIVERSARY,4717677323917,,1150,Z97,True,ATX,DDR3,32 GB,4,6,0,0,0,1,False,False,
ASUS 970 Pro Gaming/Aura,,ASUS,90MB0PU0-M0EAY0,4712900303896,,AM3+,970,False,ATX,DDR3,32 GB,4,6,0,0,0,0,False,False,
ASUS A88X-Pro SATA600/R/eSATA/USB3.0/DVI/HDMI/VGA/DP A88X,,Asus,90MB0H80-M0EAY0,4716659599715,,FM2+,A88X,False,ATX,DDR3, GB,4,,,,,,False,False,
ASUS B150I-PRO Gaming/Aura USB3.0/M.2/HDMI/DVI Mini-ITX,,Asus,90MB0NI0-M0EAY0,4712900330250,,1151,B150,False,Mini-ITX,DDR4, GB,2,,,,,,False,False,
ASUS B150M-A GL/USB3.1/SATA600/HDMI/VGA/DVI B150,,Asus,90MB0P40-M0EAY0,4712900196153,,1151,B150,False,Micro-ATX,DDR4, GB,4,,,,,,False,False,
ASUS B150M-A/M.2 USB3.1/M.2/HDMI/VGA/DVI B150,$77.33 USD,Asus,90MB0RR0-M0EAY0,4712900424454,,1151,B150,False,Micro-ATX,DDR4, GB,4,,,,,,False,False,https://www.amazon.ca/dp/B01I17YYJQ?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
ASUS B365-PLUS,,ASUS,90MB11H0-M0EAY0,4718017331128,,1151,B365,False,ATX,DDR4,64 GB,4,6,0,0,0,1,False,False,
ASUS H81M-P Plus,,ASUS,90MB0L70-M0EAY0,4716659985266,,1150,H81,False,Micro-ATX,DDR3,16 GB,2,2,0,0,0,0,False,False,
ASUS MAXIMUS VIII Impact USB3.1/SATA600/U.2/WIFI/BT/HDMI Mini-ITX,,Asus,90MB0NS0-M0EAY0,4712900142464,,1151,Z170,True,Mini-ITX,DDR4, GB,2,,,,,,False,False,
ASUS Maximus VIII RANGER,,ASUS,90MB0LX0-M0EAY0,4712900127133,,1151,Z170,True,ATX,DDR4,64 GB,4,6,0,0,0,0,False,False,
ASUS PRIME B250M-A,$68.9 USD,ASUS,90MB0SR0-M0EAY0,4712900572056,632983040249,1151,B250,False,Micro-ATX,DDR4,64 GB,4,6,0,0,0,0,False,False,https://www.amazon.ca/ASUS-PRIME-B250M-LGA1151-Motherboard/dp/B01NAGY084?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01NAGY084
ASUS PRIME B250M-C,,ASUS,90MB0SQ0-M0EAYM,4712900595796,,1151,B250,False,Micro-ATX,DDR4,64 GB,4,6,1,1,1,1,False,False,
ASUS Prime B660-Plus D4,,ASUS,90MB18X0-M0EAY0,4711081523017,,1700,B660,False,Micro-ATX,DDR4,128 GB,4,4,1,0,1,1,False,False,
ASUS Prime B660M-A D4,,ASUS,90MB19K0-M0EAY0,4711081508014,,1700,B660,False,Micro-ATX,DDR4,128 GB,4,4,0,0,1,2,False,False,
ASUS Prime B660M-A WiFi D4,,ASUS,90MB1AE0-M0EAY0,4711081518105,,1700,B660,False,Micro-ATX,DDR4,128 GB,4,4,0,0,1,1,True,False,
ASUS Prime H670-Plus D4,,ASUS,90MB18W0-M0EAY0,4711081511724,,1700,H670,False,ATX,DDR4,128 GB,4,4,0,0,1,1,False,False,
ASUS PRIME Z270-P,,ASUS,90MB0SY0-M0EAY0,4712900572445,,1151,Z270,True,ATX,DDR4,64 GB,4,4,0,0,0,0,False,False,
ASUS PRIME Z270M-PLUS,,ASUS,90MB0S50-M0EAY0,4712900574227,,1151,Z270,True,Micro-ATX,DDR4,64 GB,4,4,0,0,0,0,False,False,
ASUS PRIME Z490-P,,ASUS,90MB12V0-M0EAY0,4718017666046,,1200,Z490,True,ATX,DDR4,128 GB,4,4,0,0,0,0,False,False,
ASUS PRIME Z490M-PLUS,,ASUS,90MB12W0-M0EAY0,4718017667838,,1200,Z490,True,Micro-ATX,DDR4,128 GB,4,5,0,0,0,0,False,False,
ASUS PRIME Z690-P,,ASUS,90MB19Q0-M0EAY0,4711081469698,,1700,Z690,True,ATX,DDR5,128 GB,4,4,0,0,1,1,False,False,
ASUS PRIME Z690-P D4,,ASUS,90MB18P0-M0EAY0,4711081471554,,1700,Z690,True,ATX,DDR4,128 GB,4,4,0,0,1,1,False,False,
ASUS PRIME Z690-P WIFI,,ASUS,90MB1A90-M0EAY0,4711081469612,,1700,Z690,True,ATX,DDR5,128 GB,4,4,0,0,1,1,True,False,
ASUS PRIME Z690-P WIFI D4,,ASUS,90MB18N0-M0EAY0,4711081471684,195553471688,1700,Z690,True,ATX,DDR4,128 GB,4,4,0,0,1,1,True,False,
Asus ROG RAMPAGE VI EXTREME,$760.77 USD,Asus,ROG RAMPAGE VI EXTREME,0889349805534,889349805534,2066,X299,True,E-ATX,DDR4,128 GB,8,6,,,,,False,False,https://www.amazon.ca/dp/B074JCV2QL?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
ASUS ROG STRIX B660-A Gaming WiFi,,ASUS,90MB1B00-M0EAY0,4711081605430,,1700,B660,False,ATX,DDR5,128 GB,4,4,0,0,1,1,True,False,
ASUS ROG Zenith Extreme,,ASUS,90MB0UV0-M0EAY0,4712900799453,,TR4,X399,True,E-ATX,DDR4,128 GB,8,6,0,0,0,0,False,False,
ASUS Strix B365-F Gaming,,ASUS,90MB11I0-M0EAY0,4718017340458,,1151,B365,False,ATX,DDR4,64 GB,4,6,0,0,0,1,False,False,
ASUS Strix B365-G Gaming,,ASUS,90MB11G0-M0EAY0,4718017349161,,1151,B365,False,Micro-ATX,DDR4,64 GB,4,6,0,0,0,1,False,False,
"ASUS STRIX Z270G Gaming, RoG",,ASUS,90MB0S80-M0EAY0,4712900587180,,1151,Z270,True,Micro-ATX,DDR4,64 GB,4,6,0,0,0,0,False,False,
ASUS TUF B365M-Plus Gaming,,ASUS,90MB11P0-M0EAY0,4718017292528,,1151,B365,False,Micro-ATX,DDR4,64 GB,4,6,0,0,1,1,False,False,
ASUS TUF Gaming B660-Plus WiFi D4,,ASUS,90MB1920-M0EAY0,4711081532873,,1700,B660,False,ATX,DDR4,128 GB,4,4,0,0,1,1,True,False,
ASUS TUF Gaming B660M-Plus WiFi,,ASUS,90MB1AZ0-M0EAY0,4711081604358,,1700,B660,False,Micro-ATX,DDR5,128 GB,4,4,0,0,1,1,True,False,
ASUS TUF Gaming H670-Pro WiFi D4,,ASUS,90MB1900-M0EAY0,4711081515524,,1700,H670,False,ATX,DDR4,128 GB,4,4,0,0,1,1,True,False,
ASUS TUF GAMING Z690-PLUS WIFI D4,,ASUS,90MB18V0-M0EAY0,4711081438779,,1700,Z690,True,ATX,DDR4,128 GB,4,4,0,0,1,1,False,False,
Asus TUF X299 MARK 1,$302.42 USD,Asus,TUF X299 MARK 1,0889349774380,889349774380,2066,X299,True,ATX,DDR4,128 GB,8,8,,,,,False,False,https://www.amazon.ca/TUF-X299-Mark-Motherboard-Processors/dp/B071JBX9GN?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B071JBX9GN
ASUS X99 DELUXE II,,ASUS,90MB0QB0-M0EAY0,4712900397796,,2011-V3,X99,False,ATX,DDR4,128 GB,8,8,0,0,0,0,False,False,
ASUS Z170-P,,ASUS,90MB0NR0-M0EAY0,4712900114423,,1151,Z170,True,ATX,DDR4,64 GB,4,4,0,1,0,1,False,False,
Gigabyte 990FXA-UD3 R5,,Gigabyte,GA-990FXA-UD3 R5,4719331814281,,"AM3, AM3+",990FX,False,ATX,DDR3,32 GB,4,6,0,0,0,0,False,False,
Gigabyte Aorus X299-Gaming,,Gigabyte,X299 AORUS Gaming,4719331801991,,2066,X299,True,ATX,DDR4,64 GB,4,8,0,0,0,0,False,False,
Gigabyte Aorus X399 Gaming 7,$386.78 USD,Gigabyte,X399 AORUS Gaming 7,4719331801939,889523010983,TR4,X399,True,ATX,DDR4,128 GB,8,8,0,0,0,0,False,False,https://www.amazon.ca/dp/B0746CT3Y5?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Gigabyte Aorus Z270X-Gaming 5,$204.87 USD,Gigabyte,GA-Z270X-Gaming 5,4719331841386,889523007594,1151,Z270,True,ATX,DDR4,64 GB,4,6,0,0,0,0,False,False,https://www.amazon.ca/Gigabyte-GA-Z270X-Gaming-AORUS-Motherboard-LGA1151/dp/B01N97T4YR?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01N97T4YR
Gigabyte Aorus Z270X-Gaming 9,$143.68 USD,Gigabyte,GA-Z270X-Gaming 9,4719331846374,889523007891,1151,Z270,True,E-ATX,DDR4,64 GB,4,8,0,0,0,0,False,False,https://www.amazon.ca/GIGABYTE-GA-Z270X-Ultra-Gaming-LGA1151-Motherboard/dp/B01N66ZESI?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01N66ZESI
Gigabyte B250M-DS3H,$63.18 USD,Gigabyte,GA-B250M-DS3H,4719331847265,889523007938,1151,B250,False,Micro-ATX,DDR4,64 GB,4,6,0,0,0,0,False,False,https://www.amazon.ca/GIGABYTE-GA-B250M-DS3H-LGA1151-Intel-Motherboard/dp/B01N2WG23X?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01N2WG23X
Gigabyte B360 HD3,$91.34 USD,Gigabyte,B360 HD3,4719331802981,889523013106,1151,B360,False,ATX,DDR4,64 GB,4,6,0,0,0,0,False,False,https://www.amazon.ca/GIGABYTE-B360-HD3-LGA1151-Motherboard/dp/B07BQB1CMX?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B07BQB1CMX
Gigabyte B360M Aorus Gaming 3,,Gigabyte,B360M Aorus Gaming 3,4719331802882,,1151,B360,False,Micro-ATX,DDR4,64 GB,4,6,0,0,0,0,False,False,
Gigabyte B360M D3H,$79.04 USD,Gigabyte,B360M D3H,4719331802790,889523012611,1151,B360,False,Micro-ATX,DDR4,64 GB,4,6,0,0,0,0,False,False,https://www.amazon.ca/GIGABYTE-B360M-D3H-LGA1151-Motherboard/dp/B07BQ226PS?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B07BQ226PS
Gigabyte B360M DS3H,$76.16 USD,Gigabyte,B360M DS3H,4719331802806,889523012635,1151,B360,False,Micro-ATX,DDR4,64 GB,4,6,0,0,0,0,False,False,https://www.amazon.ca/GIGABYTE-B360M-DS3H-LGA1151-Motherboard/dp/B07BQ9SSH7?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B07BQ9SSH7
Gigabyte B365 M Aorus Elite,,Gigabyte,B365 M AORUS ELITE,4719331805739,,1151,B365,False,Micro-ATX,DDR4,64 GB,4,4,0,0,1,1,False,False,
Gigabyte B365M DS3H,$257.42 USD,Gigabyte,B365M DS3H,4719331805579,889523017203,1151,B365,False,Micro-ATX,DDR4,64 GB,4,6,0,0,0,0,False,False,https://www.amazon.ca/dp/B08BSLZDWS?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Gigabyte B365M H,,Gigabyte,B365M H,4719331806606,,1151,B365,False,Micro-ATX,DDR4,32 GB,4,4,0,0,0,1,False,False,
"Gigabyte B450 Aorus M, AMD B450",$71.8 USD,Gigabyte,B450 AORUS M,4719331803858,889523014387,AM4,B450,True,Micro-ATX,DDR4,64 GB,4,6,0,0,0,1,False,False,https://www.amazon.ca/dp/B07FWY246F?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
GIGABYTE B650M AORUS Elite AX (rev. 1.1),,Gigabyte,B650M GAMING X AX,4719331849993,889523034170,AM5,B650,False,Micro-ATX,DDR5,128 GB,4,4,0,0,1,1,True,False,
GIGABYTE B650M DS3H,,Gigabyte,B650M DS3H,4719331849825,889523034231,AM5,B650,False,Micro-ATX,DDR5,128 GB,4,4,0,0,2,1,False,False,
Gigabyte F2A88XN-WIFI,$68.18 USD,Gigabyte,GA-F2A88XN-WIFI,4719331839093,168141508271,FM2+,A88X,False,Mini-ITX,DDR3,64 GB,2,4,0,1,0,2,True,False,https://www.amazon.ca/Gigabyte-GA-78LMT-USB3-DDR3-Micro-Motherboard/dp/B009FC3YJ8?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B009FC3YJ8
Gigabyte GA-B150M-DS3H GL/USB3.0/M.2/HDMI/DVI/VGA,,Gigabyte,GA-B150M-DS3H,4719331844219,889523003411,1151,B150,False,Micro-ATX,DDR4, GB,4,,,,,,False,False,
Gigabyte GA-F2A68HM-DS2 GL/SATA600/R/DVI/VGA/USB3.0 A68H,,Gigabyte,GA-F2A68HM-DS2,4719331846299,,FM2+,A68H,False,Micro-ATX,DDR3, GB,2,,,,,,False,False,
Gigabyte GA-H81M-S2V GL/SATA600/USB3.0/DVI/VGA H81,,Gigabyte,GA-H81M-S2V,4719331823399,,1150,H97,False,Micro-ATX,DDR3, GB,2,,,,,,False,False,
Gigabyte H270M-DS3H,$108.02 USD,Gigabyte,GA-H270M-DS3H,4719331847333,889523008621,1151,H270,False,Micro-ATX,DDR4,64 GB,4,6,0,0,0,0,False,False,https://www.amazon.ca/GIGABYTE-GA-H270-HD3-LGA1151-Crossfire-Motherboard/dp/B01N2V0ATE?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01N2V0ATE
Gigabyte Q270M-D3H,$45.0 USD,Gigabyte,GA-Q270M-D3H,4719331849290,889523009024,1151,Q270,False,Micro-ATX,DDR4,64 GB,4,6,0,0,0,0,False,False,https://www.amazon.ca/dp/B06XPVGQKY?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
"Gigabyte X570 Aorus Elite, AMD X570",$179.89 USD,Gigabyte,X570 Aorus Elite,4719331806439,889523018101,AM4,X570,True,ATX,DDR4,128 GB,4,6,0,0,0,0,False,False,https://www.amazon.ca/dp/B07SVRZGMX?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
"Gigabyte X570 Aorus Pro, AMD X570",$253.87 USD,Gigabyte,X570 Aorus Pro,4719331805999,889523017876,AM4,X570,True,ATX,DDR4,128 GB,4,6,0,0,0,0,False,False,https://www.amazon.ca/GIGABYTE-X570-AORUS-ALC1220-Vb-Motherboard/dp/B07STNZF9L?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B07STNZF9L
"Gigabyte X570 Gaming X, AMD X570",$158.86 USD,Gigabyte,X570 Gaming X,4719331806422,889523018026,AM4,X570,True,ATX,DDR4,128 GB,4,6,0,0,0,1,False,False,https://www.amazon.ca/dp/B07SQJZDTX?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
"Gigabyte X570 I Aorus Pro WiFi, AMD X570",$202.38 USD,Gigabyte,X570 I Aorus Pro WiFi,4719331806408,889523018040,AM4,X570,True,Mini-ITX,DDR4,64 GB,2,4,0,0,1,0,False,False,https://www.amazon.ca/dp/B07T9PC9ZZ?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Gigabyte X99-SLI,,Gigabyte,GA-X99-SLI,4719331817350,,2011-V3,X99,False,ATX,DDR4,128 GB,8,10,0,0,0,0,False,False,
Gigabyte X99-UD3,$211.06 USD,Gigabyte,GA-X99-UD3,4719331833213,818313021595,2011-V3,X99,False,ATX,DDR4,32 GB,4,10,0,0,0,0,False,False,https://www.amazon.ca/dp/B00MPIDPE8?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Gigabyte Z170-Gaming K3,,Gigabyte,GA-Z170-Gaming K3-EU,4719331801182,,1151,Z170,True,ATX,DDR4,64 GB,4,6,0,0,0,0,False,False,
Gigabyte Z270-Gaming K3,$211.07 USD,Gigabyte,GA-Z270-Gaming K3,4719331845377,889523007754,1151,Z270,True,ATX,DDR4,64 GB,4,6,0,0,0,0,False,False,https://www.amazon.ca/Gigabyte-LGA1151-Motherboards-GA-Z270X-Gaming-K7/dp/B01NBFZUUO?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01NBFZUUO
Gigabyte Z270-HD3P,$108.8 USD,Gigabyte,GA-Z270-HD3P,4719331846411,889523008454,1151,Z270,True,ATX,DDR4,64 GB,4,6,0,0,0,0,False,False,https://www.amazon.ca/Gigabyte-GA-Z270-HD3-LGA1151-Crossfire-Motherboard/dp/B01NAK6CG2?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01NAK6CG2
Gigabyte Z270M-D3P,,Gigabyte,GA-Z270M-D3P,4719331801274,,1151,Z270,True,Micro-ATX,DDR4,64 GB,4,6,0,0,0,0,False,False,
Gigabyte Z270X-Ultra Gaming,$143.68 USD,Gigabyte,GA-Z270X-Ultra Gaming,4719331845384,,1151,Z270,True,ATX,DDR4,64 GB,4,6,0,0,0,0,False,False,https://www.amazon.ca/GIGABYTE-GA-Z270X-Ultra-Gaming-LGA1151-Motherboard/dp/B01N66ZESI?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01N66ZESI
Gigabyte Z270XP-SLI,$148.75 USD,Gigabyte,GA-Z270XP-SLI,4719331845353,889523007716,1151,Z270,True,ATX,DDR4,64 GB,4,6,0,0,0,0,False,False,https://www.amazon.ca/GIGABYTE-GA-Z270XP-SLI-LGA1151-Intel-Motherboard/dp/B01N1T2WXL?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01N1T2WXL
Gigabyte Z370 PD3,,Gigabyte,GA-Z370P-D3,4719331802479,,1151,Z370,True,ATX,DDR4,64 GB,4,6,0,0,0,0,False,False,
