Name,Price,Producer,MPN,EAN,UPC,Watt,Size,Efficiency Rating,Product Page
Corsair Vengeance Series V500,,Corsair,CP-9020107-DE,0843591069939,,500 W,ATX,80 Plus Bronze,
Corsair Vengeance Series V550M,,Corsair,CP-9020111-DE,0843591069946,,550 W,ATX,80 PLUS Bronze,
Cougar VTX,,Cougar,31TC045.0077,4715302447908,,450 W,ATX,80 Plus Bronze,
EVGA 450B,,EVGA,100-B1-0450-K2,4250812411600,,450 W,ATX,80 Plus Bronze,
EVGA 500B,,EVGA,100-B1-0500-K2,4250812404435,,500 W,ATX,80 Plus Bronze,
EVGA SuperNOVA 550 G3,$79.78 USD,EVGA,220-G3-0550-Y1,0843368042547,843368042547,550 W,ATX,80 Plus Gold,https://www.amazon.ca/dp/B01LWTS2UL?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
EVGA SuperNOVA 650 G3,$114.6 USD,EVGA,220-G3-0650-Y1,0843368042585,843368042585,650 W,ATX,80 Plus Gold,https://www.amazon.ca/dp/B01LYGFRL6?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
EVGA SuperNOVA 750 G2,$114.59 USD,EVGA,220-G2-0750-XR,7427457087041,041650177025,750 W,ATX,80 Plus Gold,https://www.amazon.ca/EVGA-Supernova-Modular-Warranty-220-G2-0750-XR/dp/B00IKDETOW?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B00IKDETOW
EVGA Supernova 750 G2L,,EVGA,220-GL-0750-X1,0843368042400,843368042400,750 W,ATX,80 Plus Gold,
EVGA SuperNOVA 750 G3,$101.55 USD,EVGA,220-G3-0750-X1,0843368042622,843368042622,750 W,ATX,80 Plus Gold,https://www.amazon.ca/dp/B005BE058W?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
EVGA SuperNOVA 850 G2,$134.16 USD,EVGA,220-G2-0850-XR,0803982727282,843368027445,850 W,ATX,80 Plus Gold,https://www.amazon.ca/EVGA-Supernova-Modular-Warranty-220-G2-0850-XR/dp/B00IKDETOC?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B00IKDETOC
EVGA SuperNOVA G2,,EVGA,120-G2-1600-X2,4250812405210,,1600 W,ATX,80 Plus Gold,
EVGA SuperNOVA G2,,EVGA,120-G2-1300-X2,4250812403896,,1300 W,ATX,80 Plus Gold,
EVGA SuperNOVA G2,,EVGA,120-G2-1000-X2,4250812403834,,1000 W,ATX,80 Plus Gold,
EVGA SuperNOVA G2,,EVGA,220-G2-0650-Y2,4250812408457,,650 W,ATX,80 Plus Gold,
EVGA SuperNOVA G2,,EVGA,220-G2-0750-X2,4250812404312,,750 W,ATX,80 Plus Gold,
EVGA SuperNOVA G2,,EVGA,220-G2-0550-Y2,4250812408402,,550 W,ATX,80 Plus Gold,
EVGA SuperNOVA G3,,EVGA,220-G3-1000-X2,4250812415103,,1000 W,ATX,80 Plus Gold,
EVGA SuperNOVA G3,,EVGA,220-G3-0750-X2,4250812415028,,750 W,ATX,80 Plus Gold,
EVGA SuperNOVA P2,,EVGA,220-P2-0850-X2,4250812408549,,850 W,ATX,80 Plus Platinum,
EVGA SuperNOVA P2,,EVGA,220-P2-1000-X2,4250812403957,,1000 W,ATX,80 Plus Platinum,
EVGA SuperNOVA P2,,EVGA,220-P2-0750-X2,4250812408488,,750 W,ATX,80 Plus Platinum,
EVGA SuperNOVA P2 80 PLUS Platinum,,EVGA,220-P2-0650-X2,4250812408532,,650 W,ATX,80 PLUS Platinum,
Kolink Enclave 80 PLUS Gold,,Kolink,KL-G500FM,5999094002395,,500 W,ATX,80 PLUS Gold,
Kolink SFX-250,,Kolink,KL-SFX250,5999094000865,,250 W,SFX,80 PLUS Bronze,
Kolink SFX-350,,Kolink,KL-SFX350,5999094000872,,350 W,SFX,80 PLUS Bronze,
PHANTEKS AMP 80 PLUS Gold,,PHANTEKS,PH-P650G,0886523500841,,650 W,ATX,80 PLUS Gold,
PHANTEKS AMP 80 PLUS Gold,,PHANTEKS,PH-P550G,0886523500858,,550 W,ATX,80 PLUS Gold,
Seasonic Core GC 80 Plus Gold,,Seasonic,CORE-GC-650,4711173875734,,650 W,ATX,80 PLUS Gold,
Seasonic Core GC 80 PLUS Gold,,Seasonic,CORE-GC-500,4711173875758,,500 W,ATX,80 PLUS Gold,
Seasonic Core GM 80 PLUS Gold,,Seasonic,CORE-GM-500,4711173875727,,500 W,ATX,80 PLUS Gold,
Seasonic FOCUS 550 GOLD,$90.66 USD,Seasonic,SSR-550FM,4711173873389,4711173873389,550 W,ATX,80 Plus Gold,https://www.amazon.ca/dp/B077916ZZV?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Seasonic Focus GX 80 Plus Gold,$72.53 USD,Seasonic,FOCUS-GX-550,4711173874713,,550 W,ATX,80 PLUS Gold,https://www.amazon.ca/dp/B07WQYM74W?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Seasonic Focus GX 80 Plus Gold,$76.16 USD,Seasonic,FOCUS-GX-650,4711173874706,,650 W,ATX,80 PLUS Gold,https://www.amazon.ca/dp/B077J9QTDR?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Seasonic Focus GX 80 Plus Gold,$90.66 USD,Seasonic,FOCUS-GX-750,4711173874690,,750 W,ATX,80 PLUS Gold,https://www.amazon.ca/dp/B077J9G9CH?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Seasonic Focus GX 80 PLUS Gold,$132.86 USD,Seasonic,FOCUS-GX-850,4711173874683,,850 W,ATX,80 PLUS Gold,https://www.amazon.ca/dp/B07WVMDZMZ?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Seasonic Focus PX 80 Plus Platinum 750 Watt,$119.68 USD,Seasonic,FOCUS-PX-750,4711173874645,,750 W,ATX,80 PLUS Platinum,https://www.amazon.ca/dp/B07W4PLZWH?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
"Seasonic P-Series, Fanless 80 PLUS Platinum",,Seasonic,SS-400FL2 F3,4711173870821,163120889648,400 W,ATX,80 PLUS Platinum,
Seasonic PRIME 650 GOLD,$103.18 USD,Seasonic,SSR-650GD,4711173873464,,650 W,ATX,80 Plus Gold,https://www.amazon.ca/Seasonic-SSR-650GD-Flagship-Modular-Atx12V/dp/B01NCT1VLI?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01NCT1VLI
Seasonic PRIME 750 W Platinum,,Seasonic,SSR-750PD,4711173873433,,750 W,ATX,80 Plus Platinum,
Seasonic Prime PX 80 PLUS Platinum,,Seasonic,SSR-650PD,4711173874195,,650 W,ATX,80 PLUS Platinum,
Seasonic Prime Ultra 80 PLUS Platinum,,Seasonic,SSR-650PD2,4711173873860,,650 W,ATX,80 PLUS Platinum,
Seasonic Snow Silent,,Seasonic,SS-1050XP3 F3 SnowSilent,4711173873013,,1050 W,ATX,80 Plus Platinum,
Silverstone SST-ST45SF V2.0 Strider Series SFX,$69.98 USD,Silverstone,SST-ST45SF 2.0,4710713966604,,450 W,SFX,80 PLUS Bronze,https://www.amazon.ca/dp/B003LU6PN2?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Silverstone SST-SX500-LG v2.0 SFX-L 80 PLUS Gold,,Silverstone,SST-SX500-LG v 2.0,4710007223536,,500 W,SFX-L,80 PLUS Gold,
Silverstone SST-SX600-G Strider Gold Series,$127.3 USD,Silverstone,SST-SX600-G,4710007221587,,600 W,SFX,80 PLUS Gold,https://www.amazon.ca/dp/B00MO675S8?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Silverstone SST-SX800-LTI SFX-L 80 PLUS Titanium,,Silverstone,SST-SX800-LTI,4710007224397,,800 W,"ATX, SFX-L",80 PLUS Titanium,
Super Flower Golden Green HX,,Super Flower,SF-450P14XE (HX),4711213442889,,450 W,ATX,80 Plus Gold,
Super Flower Golden Green HX,,Super Flower,SF-550P14XE (HX),4711213443046,,550 W,ATX,80 Plus Gold,
"Super Flower Leadex 80 PLUS Platinum, black",,Super Flower,SF-650F14MP black,4711213443701,,650 W,ATX,80 PLUS Platinum,
Super Flower Leadex II,,Super Flower,SF-750F14EG(WH),4711213444623,,750 W,ATX,80 Plus Gold,
Super Flower Leadex II,,Super Flower,SF-650F14EG(WH),4711213444616,,650 W,ATX,80 Plus Gold,
Super Flower Leadex II,,Super Flower,SF-750F14EG(BK),4711213444524,,750 W,ATX,80 Plus Gold,
Super Flower Leadex II,,Super Flower,SF-650F14EG(BK),4711213444517,,650 W,ATX,80 Plus Gold,
Super Flower Leadex III 80 PLUS Gold,,Super Flower,SF-550F14HG,4711213444760,,550 W,ATX,80 PLUS Gold,
Super Flower Leadex III 80 PLUS Gold,,Super Flower,SF-650F14HG,4711213444777,,650 W,ATX,80 PLUS Gold,
Super Flower Leadex III 80 PLUS Gold,,Super Flower,SF-750F14HG,4711213444784,,750 W,ATX,80 PLUS Gold,
Super Flower Leadex III 80 PLUS Gold,,Super Flower,SF-850F14HG,4711213444791,,850 W,ATX,80 PLUS Gold,
Super Flower Leadex III ARGB 80 PLUS Gold,,Super Flower,SF-850F14RG (BK),4711213444838,,850 W,ATX,80 PLUS Gold,
Super Flower Leadex III ARGB 80 PLUS Gold,,Super Flower,SF-750F14RG (BK),4711213444821,,750 W,ATX,80 PLUS Gold,
Super Flower Leadex III ARGB 80 PLUS Gold,,Super Flower,SF-650F14RG (BK),4711213444814,,650 W,ATX,80 PLUS Gold,
Super Flower Leadex III ARGB 80 PLUS Gold,,Super Flower,SF-550F14RG (BK),4711213444807,,550 W,ATX,80 PLUS Gold,
Super Flower Platinum King,,Super Flower,SF-650P14PE,4711213444333,,650 W,ATX,80 Plus Platinum,
Super Flower Platinum King,,Super Flower,SF-450P14PE,4711213444319,,450 W,ATX,80 Plus Platinum,
Super Flower Platinum King,,Super Flower,SF-550P14PE,4711213444326,,550 W,ATX,80 Plus Platinum,
Aerocool Aero Bronze 500W 80 PLUS Bronze,,Aerocool,ACPB-AR50AEC.11,4710562753950,,500 W,ATX,80 PLUS Bronze,
Aerocool Aero Bronze 550M 80 PLUS Bronze,,Aerocool,ACPB-AR55AEC.1M,4710562755046,,550 W,ATX,80 PLUS Bronze,
Aerocool Aero Bronze 550W 80 PLUS Bronze,,Aerocool,ACPB-AR55AEC.11,4710562753967,,550 W,ATX,80 PLUS Bronze,
Aerocool Aero Bronze 600W 80 PLUS Bronze,,Aerocool,ACPB-AR60AEC.11,4710562753974,,600 W,ATX,80 PLUS Bronze,
Aerocool Aero Bronze 650M 80 PLUS Bronze,,Aerocool,ACPB-AR65AEC.1M,4710562755053,,650 W,ATX,80 PLUS Bronze,
Aerocool Aero Bronze 650W 80 PLUS Bronze,,Aerocool,ACPB-AR65AEC.11,4710562753981,,650 W,ATX,80 PLUS Bronze,
Aerocool Aero Bronze 700W 80 PLUS Bronze,,Aerocool,ACPB-AR70AEC.11,4710562753998,,700 W,ATX,80 PLUS Bronze,
Aerocool Aero Bronze 750M 80 PLUS Bronze,,Aerocool,ACPB-AR75AEC.1M,4710562755060,,750 W,ATX,80 PLUS Bronze,
Aerocool Aero Bronze 750W 80 PLUS Bronze,,Aerocool,ACPB-AR75AEC.11,4710562754001,,750 W,ATX,80 PLUS Bronze,
Aerocool Aero Bronze 850M 80 PLUS Bronze,,Aerocool,ACPB-AR85AEC.1M,4710562758993,,850 W,ATX,80 PLUS Bronze,
Aerocool Aero Cylon 400W 80 PLUS,,Aerocool,ACPW-CE40AEC.11,4718009159419,,400 W,ATX,80 PLUS,
Aerocool Aero White 500 80 PLUS,,Aerocool,ACPW-AR50AEC.11,4710562753905,,500 W,ATX,80 PLUS,
Aerocool Aero White 550 80 PLUS,,Aerocool,ACPW-AR55AEC.11,4710562753912,,550 W,ATX,80 PLUS,
Aerocool Aero White 600 80 PLUS,,Aerocool,ACPW-AR60AEC.11,4710562753929,,600 W,ATX,80 PLUS,
Aerocool Aero White 650 80 PLUS,,Aerocool,ACPW-AR65AEC.11,4710562753936,,650 W,ATX,80 PLUS,
Aerocool Aero White 700 80 PLUS,,Aerocool,ACPW-AR70AEC.11,4710562753943,,700 W,ATX,80 PLUS,
Aerocool Cylon RGB 500W 80 PLUS,,Aerocool,ACPW-CE50AEC.11,4718009159006,,500 W,ATX,80 PLUS,
Aerocool Cylon RGB 600W 80 PLUS,,Aerocool,ACPW-CE60AEC.11,4718009159013,,600 W,ATX,80 PLUS,
Aerocool Cylon RGB 700W 80 PLUS,,Aerocool,ACPW-CE70AEC.11,4718009159426,,700 W,ATX,80 PLUS,
Aerocool Project 7,,Aerocool,ACPP-P785FEC.11,4713105957549,841269051217,850 W,ATX,80 Plus Platinum,
Aerocool Xpredator 400 80 PLUS Bronze,,Aerocool,EN53794,4713105953794,,400 W,ATX,80 PLUS Bronze,
Aerocool Xpredator 500,,Aerocool,EN53732,4713105953732,,500 W,ATX,80 Plus Bronze,
Aerocool Xpredator 600,,Aerocool,EN53749,4713105953749,,600 W,ATX,80 Plus Bronze,
Aerocool Xpredator 700,,Aerocool,EN53756,4713105953756,,700 W,ATX,80 Plus Bronze,
Aerocool Xpredator 750M,,Aerocool,EN53831,4713105953831,,750 W,ATX,80 Plus Bronze,
Aerocool Xpredator Gold 650GM,,Aerocool,EN53961,4713105953961,,650 W,ATX,80 Plus Gold,
Akasa,,Akasa,AK-PD090-01MEU,4710679551524,,90 W,ITX,,
"Akasa 80 Watt DC-DC-Wandlerplatine, 12 V",,Akasa,AK-PE080-03,4710614536562,,80 W,,,
Akasa externes für Mini-ITX Systeme 12V,,Akasa,AK-PD080-02M,4710614530287,,84 W,external,,
Akasa PD150-02K externes,,Akasa,AK-PD150-02KEU,4710679550596,,150 W,"extern, sonstige",,
Antec EAG Pro 550W 80 PLUS Gold,,Antec,0-761345-11614-5,0761345116145,,550 W,ATX,80 PLUS Gold,
Antec EAG Pro 650W 80 PLUS Gold,,Antec,0-761345-11618-3,0761345116183,,650 W,ATX,80 PLUS Gold,
Antec EAG Pro 750W 80 PLUS Gold,,Antec,0-761345-11622-0,0761345116220,,750 W,ATX,80 PLUS Gold,
Antec EDGE EDG550,,Antec,0-761345-05055-5,0761345050555,,550 W,ATX,80 Plus Gold,
Antec EDGE EDG650,,Antec,0-761345-05065-4,0761345050654,,650 W,ATX,80 Plus Gold,
Antec EDGE EDG750,,Antec,0-761345-05075-3,0761345050753,,750 W,ATX,80 Plus Gold,
Antec High Current Gamer,,Antec,0-761345-06204-6,0761345062046,,520 W,ATX,80 Plus Bronze,
Antec High Current Gamer,,Antec,0-761345-06208-4,0761345062084,,620 W,ATX,80 Plus Bronze,
Antec High Current Gamer HCG-620M,,Antec,0-761345-06218-3,0761345062183,,620 W,ATX,80 Plus Bronze,
Antec High Current Gamer HCG-750M,,Antec,0-761345-06222-0,0761345062220,,750 W,ATX,80 Plus Bronze,
Antec High Current Gamer HCG-850M,,Antec,0-761345-06224-4,0761345062244,,850 W,ATX,80 Plus Bronze,
Antec High Current Gamer HCG650 80 PLUS Gold,,Antec,0-761345-11632-9,0761345116329,,650 W,ATX,80 PLUS Gold,
Antec High Current Gamer HCG750 80 PLUS Gold,,Antec,0-761345-11638-1,0761345116381,,750 W,ATX,80 PLUS Gold,
Antec High Current Gamer HCG850 80Plus Gold,,Antec,0-761345-11644-2,0761345116442,,850 W,ATX,80 Plus Gold,
Antec High Current Pro HCP-1000 Platinum,,Antec,0-761345-06248-0,0761345062480,,1000 W,ATX,80 Plus Platinum,
Antec High Current Pro HCP-1300 Platinum,,Antec,0-761345-06260-2,0761345062602,,1300 W,ATX,80 PLUS Platinum,
Antec High Current Pro HCP-850 Platinum,,Antec,0-761345-06250-3,0761345062503,,850 W,ATX,80 Plus Platinum,
Antec NE450M EC Semi Modular,,Antec,0-761345-10529-3,0761345105293,,450 W,ATX,80 PLUS Bronze,
Antec NE550M EC Semi Modular,,Antec,0-761345-10531-6,0761345105316,,550 W,ATX,80 Plus Bronze,
Antec NE650M EC Semi Modular,,Antec,0-761345-10532-3,0761345105323,,650 W,ATX,80 Plus Bronze,
Antec True Power TP550C,,Antec,0-761345-07702-6,0761345077026,,550 W,ATX,80 Plus Gold,
Antec True Power TP650C,,Antec,0-761345-07704-0,0761345077040,,650 W,ATX,80 Plus Gold,
Antec True Power TP750C,,Antec,0-761345-07706-4,0761345077064,,750 W,ATX,80 Plus Gold,
Antec VP Strictly Power,,Antec,0-761345-06450-7,0761345064507,,450 W,ATX,,
ASUS ROG Loki SFX-L 80 PLUS Platinum netzteil,,ASUS,90YE00N4-B0NA00,4711081722915,,750 W,SFX-L,80 PLUS Platinum,
ASUS ROG Strix 1000G,,ASUS,90YE00A5-B0NA00,4718017845571,,1000 W,ATX,80 PLUS Gold,
ASUS ROG Strix 550G 80 PLUS Gold,,ASUS,90YE00A2-B0NA00,4718017535243,,550 W,ATX,80 PLUS Gold,
ASUS ROG Strix 650G 80 PLUS Gold,,ASUS,90YE00A1-B0NA00,4718017375788,,650 W,ATX,80 PLUS Gold,
ASUS ROG Strix 750G 80 PLUS Gold,,ASUS,90YE00A0-B0NA00,4718017375917,,750 W,ATX,80 PLUS Gold,
ASUS ROG Thor 80 PLUS Platinum,,ASUS,90YE0090-B001N0,4718017128537,,850 W,ATX,80 PLUS Platinum,
ASUS ROG Thor 80 PLUS Platinum,,ASUS,90YE0080-B001N0,4718017128414,,1200 W,ATX,80 PLUS Platinum,
ASUS ROG Thor 850W Platinum II,,ASUS,90YE00L2-B0NA00,4711081236450,,850 W,ATX,80 PLUS Platinum,
ASUS TUF Gaming 650B 80 PLUS Bronze,,ASUS,90YE00D1-B0NA00,4718017724159,,650 W,ATX,80 PLUS Bronze,
be quiet! Dark Power 12,,be quiet!,BN316,4260052188026,,1000 W,ATX,80 PLUS Titanium,
be quiet! Dark Power 12,,be quiet!,BN315,4260052188019,,850 W,ATX,80 PLUS Titanium,
be quiet! Dark Power 12,,be quiet!,BN314,4260052188002,,750 W,ATX,80 PLUS Titanium,
be quiet! Dark Power 13,,be quiet!,BN333,4260052189382,,750 W,ATX,80 PLUS Titanium,
be quiet! Dark Power Pro 12,,be quiet!,BN311,4260052187425,,1200 W,ATX,80 PLUS Titanium,
be quiet! Dark Power Pro 12,,be quiet!,BN312,4260052187432,,1500 W,ATX,80 PLUS Titanium,
be quiet! Dark Power Pro P11 modular,,be quiet!,BN251,4260052183762,4260052183762,650 W,ATX,80 PLUS Platinum,
be quiet! Dark Power Pro P11 modular,,be quiet!,BN250,4260052183755,4260052183755,550 W,ATX,80 PLUS Platinum,
be quiet! Power Zone,,be quiet!,BN213,4260052183120,4260052183120,1000 W,ATX,80 PLUS Bronze,
be quiet! Power Zone,,be quiet!,BN212,4260052183113,4260052183113,850 W,ATX,80 PLUS Bronze,
"be quiet! Power Zone, 80 PLUS Bronze",,be quiet!,BN210,4260052183090,4260052183090,650 W,ATX,80 PLUS Bronze,
"be quiet! Power Zone, 80 PLUS Bronze",,be quiet!,BN211,4260052183106,4260052183106,750 W,ATX,80 PLUS Bronze,
be quiet! Pure Power 10,,be quiet!,BN275,4260052185346,4260052185346,700 W,ATX,80 Plus Silver,
be quiet! Pure Power 10,,be quiet!,BN274,4260052185339,4260052185339,600 W,ATX,80 Plus Silver,
be quiet! Pure Power 10,,be quiet!,BN272,4260052185315,4260052185315,400 W,ATX,80 Plus Silver,
