Name,Price,Producer,MPN,EAN,UPC,Width,Depth,Height,Motherboard,Power Supply,Supported GPU Length,Supported CPU Cooler Height,80mm Fans,120mm Fans,140mm Fans,200mm Fans,120mm Radiator Support,140mm Radiator Support,240mm Radiator Support,280mm Radiator Support,360mm Radiator Support,"Disk 2.5""","Disk 3.5""","Disk 2.5""/3.5""","Disk 5.25""",Primary Color(s),Window,Dust Filter,Cable Management,Noise Isolation,Product Page
BitFenix Nova Mesh Midi-Tower - black,,BitFenix,BFC-NVM-300-KKXSK-RP,4712883217197,886027158791,210 mm,460 mm,437 mm,E-ATX,ATX,360 mm,160 mm,0/0,1/6,0/4,0/0,1,0,1,0,1,3,0,0,,black,False,True,True,False,
BitFenix Nova Mesh Midi-Tower - white,,BitFenix,BFC-NVM-300-WWXKW-RP,4712883217203,886027158807,210 mm,460 mm,437 mm,E-ATX,ATX,360 mm,160 mm,0/0,1/6,0/2,0/0,1,0,1,0,1,3,0,0,,white,False,True,True,False,
BitFenix Nova Mesh SE Midi-Tower - white,,BitFenix,BFC-NSE-300-WWXKW-RP,4712883217586,,211 mm,380 mm,450 mm,ATX,ATX,315 mm,160 mm,0/0,2/6,0/2,0/0,1,0,1,0,1,2,0,0,,white,False,False,True,False,
"BitFenix Nova Mesh SE Midi-Tower, Tempered Glass - black",,BitFenix,BFC-NSE-300-KKGSK-RP,4712883218033,,211 mm,380 mm,450 mm,ATX,ATX,315 mm,160 mm,0/0,2/6,0/2,0/0,1,0,1,1,1,2,0,0,,black,True,True,True,False,
BitFenix Nova Midi-Tower - black,,BitFenix,BFX-NOV-100-KKXSK-RP,4712883213571,886027012871,183 mm,465 mm,437 mm,ATX,ATX,320 mm,160 mm,0/0,1/3,0/0,0/0,0,0,0,0,0,2,4,0,,black,False,True,True,False,
BitFenix Nova Midi-Tower - black Window,,BitFenix,BFX-NOV-100-KKWSK-RP,4712883213595,886027012895,183 mm,465 mm,437 mm,ATX,ATX,320 mm,160 mm,0/0,1/3,0/0,0/0,0,0,0,0,0,2,4,0,,black,True,True,True,False,
BitFenix Nova Midi-Tower - white,,BitFenix,BFX-NOV-100-WWXKK-RP,4712883213588,886027012888,183 mm,465 mm,437 mm,ATX,ATX,320 mm,160 mm,0/0,1/3,0/0,0/0,0,0,0,0,0,2,4,0,,white,False,True,True,False,
BitFenix Nova Midi-Tower - white Window,,BitFenix,BFX-NOV-100-WWWKK-RP,4712883213601,886027012901,183 mm,465 mm,437 mm,ATX,ATX,320 mm,160 mm,0/0,1/3,0/0,0/0,0,0,0,0,0,2,7,0,,white,True,True,True,False,
Corsair 4000D Airflow Tempered Glass Midi-Tower - black Window,$100.19 USD,Corsair,CC-9011200-WW,0840006621904,,230 mm,453 mm,466 mm,E-ATX,ATX,360 mm,170 mm,0/0,2/6,0/4,0/0,1,0,0,1,1,2,0,0,,black,True,True,True,False,https://www.amazon.ca/dp/B08C7BGV3D?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
"Corsair 5000D Airflow Midi-Tower, Tempered Glass - black",$141.44 USD,Corsair,CC-9011210-WW,0840006627470,,245 mm,520 mm,520 mm,E-ATX,ATX,420 mm,170 mm,0/0,2/10,0/4,0/0,0,0,0,0,3,4,2,0,,black,True,True,True,False,https://www.amazon.ca/dp/B08M49WW51?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
"Corsair 5000D Airflow Midi-Tower, Tempered Glass - white",$141.43 USD,Corsair,CC-9011211-WW,0840006627494,,245 mm,520 mm,520 mm,E-ATX,ATX,420 mm,170 mm,0/0,2/10,0/4,0/0,1,0,0,0,3,4,2,0,,white,True,True,True,False,https://www.amazon.ca/dp/B08M48QY16?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Corsair Carbide SPEC-02 Midi-Tower - black/red,$63.86 USD,Corsair,CC-9011051-WW,0843591047258,010832829458,220 mm,500 mm,430 mm,ATX,ATX,420 mm,157 mm,0/0,2/6,0/2,0/0,1,0,0,0,0,2,3,0,,black,True,True,True,False,https://www.amazon.ca/dp/B00I0MKMG2?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Cougar Panzer Max Big-Tower - black Window,,Cougar,106AMK0.0001,4715302441111,,266 mm,556 mm,612 mm,E-ATX,ATX,390 mm,170 mm,0/0,3/8,0/6,0/0,,,,,,6,2,0,,black,True,True,True,False,
Fractal Design Define Nano S Mini-ITX - black,$68.9 USD,Fractal Design,FD-CA-DEF-NANO-S-BK,7350041084129,817301014120,203 mm,400 mm,330 mm,Mini-ITX,ATX,315 mm,160 mm,0/0,1/6,1/4,0/0,2,0,2,1,0,4,2,0,,black,False,True,True,True,https://www.amazon.ca/dp/B01BEH1Y3E?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Fractal Design Focus G Midi-Tower - black Window,$52.22 USD,Fractal Design,FD-CA-FOCUS-BK-W,7350041084907,817301014908,205 mm,464 mm,444 mm,ATX,ATX,380 mm,165 mm,0/0,2/6,0/4,0/0,1,0,2,1,0,1,2,0,,black,True,True,False,False,https://www.amazon.ca/Fractal-Design-Focus-Computer-Airflow/dp/B071SHFRTP?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B071SHFRTP
Fractal Design Meshify C Midi-Tower - black,$87.04 USD,Fractal Design,FD-CA-MESH-C-BKO,7340172700081,843276100087,217 mm,395 mm,440 mm,ATX,ATX,315 mm,172 mm,0/0,2/7,0/4,0/0,1,0,1,0,1,3,0,0,,black,False,True,True,False,https://www.amazon.ca/Fractal-Design-Meshify-C-ATX/dp/B07B39HBV2?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B07B39HBV2
"Fractal Design Meshify C Mini Dark TG Micro-ATX, Glas - black",$94.29 USD,Fractal Design,FD-CA-MESH-C-MINI-BKO-TGD,7340172700111,843276100117,212 mm,395 mm,399 mm,Micro-ATX,ATX,315 mm,172 mm,0/0,2/7,0/4,0/0,1,0,2,1,0,5,2,0,,black,True,True,True,False,https://www.amazon.ca/Fractal-Design-Meshify-Supply-MicroATX/dp/B07BCGCPFH?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B07BCGCPFH
Fractal Design Meshify C Tempered Glass Dark Midi-Tower - black,$83.41 USD,Fractal Design,FD-CA-MESH-C-BKO-TG,7350041084891,817301014892,217 mm,395 mm,440 mm,ATX,ATX,315 mm,172 mm,0/0,2/7,0/4,0/0,1,0,1,1,1,5,2,0,,black,True,True,True,False,https://www.amazon.ca/dp/B074PGBGHW?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Fractal Design Meshify C Tempered Glass Midi-Tower - black,$101.55 USD,Fractal Design,FD-CA-MESH-C-BKO-TGL,7340172700074,843276100070,217 mm,395 mm,440 mm,ATX,ATX,315 mm,172 mm,0/0,2/7,0/4,0/0,1,0,1,0,1,3,2,0,,black,True,True,True,False,https://www.amazon.ca/Fractal-Design-Meshify-Computer-Performance/dp/B07B3JDBM2?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B07B3JDBM2
Fractal Design Meshify C White Tempered Glass Midi-Tower - white,$97.92 USD,Fractal Design,FD-CA-MESH-C-WT-TGC,7340172700104,843276100100,217 mm,395 mm,440 mm,ATX,ATX,315 mm,172 mm,0/0,2/7,0/4,0/0,1,0,1,0,1,3,0,0,,white,True,True,True,False,https://www.amazon.ca/Fractal-Design-Meshify-Computer-Water-Cooling/dp/B07BPP9KYD?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B07BPP9KYD
Fractal Design Node 202 Mini-ITX - black,$79.78 USD,Fractal Design,FD-CA-NODE-202-BK,7350041082675,817301012676,377 mm,330 mm,82 mm,Mini-ITX,SFX,310 mm,56 mm,0/0,0/2,0/0,0/0,0,0,0,0,0,2,0,0,,black,False,True,False,False,https://www.amazon.ca/dp/B015MKDOPU?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Kolink Satellite Mini-ITX- / Micro-ATX - black,,Kolink,SATELLITE,5999094000544,,260 mm,280 mm,190 mm,Micro-ATX,ATX,280 mm,165 mm,0/0,1/1,0/0,0/0,0,0,0,0,0,4,3,0,,black,False,False,False,False,
Lian Li LANCOOL 205 Mesh C Midi-Tower - black,,Lian Li,LANCOOL 205 MESH C BLACK,4718466012142,,205 mm,415 mm,485 mm,ATX,ATX,350 mm,160 mm,0/0,1/5,2/4,0/0,0,0,0,2,0,2,0,0,,black,False,True,False,False,
Lian Li LANCOOL 205 Mesh C Midi-Tower - white,,Lian Li,LANCOOL 205 MESH C WHITE,4718466012159,,205 mm,415 mm,485 mm,ATX,ATX,350 mm,160 mm,0/0,1/5,2/4,0/0,0,0,0,2,0,2,0,0,,white,False,True,False,False,
"Lian Li LANCOOL 215 Midi-Tower - ARGB, Tempered Glass, black",,Lian Li,LANCOOL 215 BLACK,4718466009654,,215 mm,462 mm,482 mm,E-ATX,ATX,370 mm,166 mm,0/0,1/6,0/4,2/2,0,0,0,1,1,2,1,0,,black,True,True,True,False,
"Lian Li LANCOOL II Mesh C Performance Midi-Tower, Tempered Glass - black",$144.33 USD,Lian Li,Lancool II mesh C performance black,4718466010865,,229 mm,478 mm,494 mm,E-ATX,ATX,384 mm,176 mm,0/0,1/8,2/4,0/0,0,0,1,1,1,6,0,0,,black,True,True,False,False,https://www.amazon.ca/dp/B09PFPRZSZ?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
"Lian Li LANCOOL II Mesh RGB Midi-Tower, Tempered Glass - black",,Lian Li,Lancool II mesh RGB black,4718466471840,,229 mm,478 mm,494 mm,E-ATX,ATX,384 mm,176 mm,0/0,3/8,0/4,0/0,0,0,1,0,1,6,0,0,,black,True,True,True,False,
"Lian Li LANCOOL II Midi-Tower, Tempered Glass, DRGB - black",,Lian Li,LANCOOL II - X,4718466009203,,229 mm,478 mm,494 mm,E-ATX,ATX,384 mm,176 mm,0/0,3/8,0/4,0/0,0,0,1,0,1,4,0,0,,black,True,True,True,False,
"Lian Li LANCOOL II Midi-Tower, Tempered Glass, DRGB - white",,Lian Li,LANCOOL II -W,4718466009210,,229 mm,478 mm,494 mm,E-ATX,ATX,384 mm,176 mm,0/0,3/8,0/4,0/0,0,0,0,0,1,4,0,0,,white,True,True,True,False,
"NZXT H510 Midi-Tower, TG - black Window",$61.65 USD,NZXT,CA-H510B-B1,5060301695058,815671014757,210 mm,428 mm,460 mm,ATX,ATX,381 mm,165 mm,0/0,2/4,0/2,0/0,1,0,0,1,0,3,3,0,,black,True,True,True,False,https://www.amazon.ca/dp/B07TD9C5HS?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
"NZXT H510 Midi-Tower, TG - black/red Window",$61.65 USD,NZXT,CA-H510B-BR,5060301695072,815671014771,210 mm,428 mm,460 mm,ATX,ATX,381 mm,165 mm,0/0,2/4,0/2,0/0,1,0,0,1,0,3,3,0,,red black,True,True,True,False,https://www.amazon.ca/dp/B07TC73F6Y?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
"NZXT H510 Midi-Tower, TG - white Window",$61.65 USD,NZXT,CA-H510B-W1,5060301695065,815671014764,210 mm,428 mm,460 mm,ATX,ATX,381 mm,165 mm,0/0,2/4,0/2,0/0,1,0,0,1,0,3,3,0,,white,True,True,True,False,https://www.amazon.ca/dp/B07TC76671?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
NZXT H700i Midi-Tower - black/red Window,$174.08 USD,NZXT,CA-H700W-BR,5060301693856,815671013545,230 mm,494 mm,516 mm,ATX,ATX,413 mm,185 mm,0/0,3/7,0/5,0/0,1,1,0,2,2,7,3,0,,black,True,True,True,False,https://www.amazon.ca/H700i-Mid-Tower-Computer-Black-CA-H700W-BR/dp/B075BBCJX9?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B075BBCJX9
"PHANTEKS Eclipse P360A Midi-Tower, Tempered Glass, D-RGB - black",,PHANTEKS,PH-EC360ATG_DBK01,0886523302124,,200 mm,465 mm,455 mm,E-ATX,ATX,400 mm,160 mm,0/0,2/5,0/4,0/0,0,0,1,1,0,2,2,0,,black,True,True,True,False,
"PHANTEKS Eclipse P360A Midi-Tower, Tempered Glass, D-RGB - white",,PHANTEKS,PH-EC360ATG_DWT01,0886523302131,,200 mm,465 mm,455 mm,E-ATX,ATX,400 mm,160 mm,0/0,2/5,0/4,0/0,0,0,1,1,0,2,2,0,,white,True,True,True,False,
PHANTEKS Eclipse P400 Midi-Tower - black Window,,PHANTEKS,PH-EC416P_BK,0886523300755,,210 mm,470 mm,495 mm,E-ATX,ATX,395 mm,160 mm,0/0,2/6,0/4,0/0,,,,,,2,2,0,,black,True,True,True,False,
"PHANTEKS Eclipse P400A Midi-Tower, Tempered Glass - black",$94.29 USD,PHANTEKS,PH-EC400ATG_BK01,0886523301653,,210 mm,470 mm,465 mm,E-ATX,ATX,420 mm,160 mm,0/0,2/6,0/4,0/0,1,0,0,0,1,2,0,0,,black,True,True,True,False,https://www.amazon.ca/dp/B07TYR1P1G?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
"PHANTEKS Eclipse P400A Midi-Tower, Tempered Glass, DRGB - black",$107.54 USD,PHANTEKS,PH-EC400ATG_DBK01,0886523301646,,210 mm,470 mm,465 mm,E-ATX,ATX,420 mm,160 mm,0/0,3/6,0/4,0/0,1,0,0,0,1,2,0,0,,black,True,True,True,False,https://www.amazon.ca/dp/B07TTDW9KV?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
"PHANTEKS Eclipse P400A Midi-Tower, Tempered Glass, DRGB - white",$79.78 USD,PHANTEKS,PH-EC400ATG_DWT01,0886523301660,,210 mm,470 mm,465 mm,E-ATX,ATX,420 mm,160 mm,0/0,3/6,0/4,0/0,1,0,0,0,1,2,0,0,,white,True,True,True,False,https://www.amazon.ca/dp/B07TTDW37F?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
"PHANTEKS Eclipse P400S Midi-Tower, anthrazit - isolated",$87.04 USD,PHANTEKS,PH-EC416PSC_AG,0886523300908,,210 mm,470 mm,495 mm,E-ATX,ATX,395 mm,160 mm,0/0,2/6,0/4,0/0,1,0,0,1,1,2,2,0,,"anthracite, gray",False,True,True,True,https://www.amazon.ca/Phanteks-Eclipse-Silent-Anthracite-PH-EC416PSC_AG/dp/B01BLY9UEU?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01BLY9UEU
"PHANTEKS Eclipse P400S Midi-Tower, black - isolated",$87.04 USD,PHANTEKS,PH-EC416PSC_BK,0886523300854,,210 mm,470 mm,495 mm,E-ATX,ATX,395 mm,160 mm,0/0,2/6,0/4,0/0,1,0,0,1,1,2,2,0,,black,False,True,True,True,https://www.amazon.ca/Phanteks-Eclipse-P400S-Silent-PH-EC416PSC_BK/dp/B01BLYB5HK?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01BLYB5HK
"PHANTEKS Enthoo Evolv ATX Midi-Tower, Tempered Glass - black",$190.95 USD,PHANTEKS,PH-ES515ETG_BK,0886523300915,,235 mm,510 mm,495 mm,E-ATX,ATX,420 mm,194 mm,0/0,0/7,3/5,0/0,0,0,0,2,2,4,5,0,,black,True,True,True,False,https://www.amazon.ca/Phanteks-PH-ES515ETG_BK-Enthoo-Evolv-Computer/dp/B01F0KWL6A?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01F0KWL6A
"PHANTEKS Enthoo Evolv ATX Midi-Tower, Tempered Glass - silver",$129.1 USD,PHANTEKS,PH-ES515ETG_GS,0886523300939,,235 mm,510 mm,495 mm,E-ATX,ATX,420 mm,194 mm,0/0,0/7,3/5,0/0,0,0,0,2,2,4,5,0,,silver,True,True,True,False,https://www.amazon.ca/Phanteks-PH-ES515ETG_GS-Enthoo-Evolv-Computer/dp/B01F0KVP2Q?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01F0KVP2Q
"PHANTEKS Enthoo Primo Big-Tower, blaue LED - black",$244.44 USD,PHANTEKS,PH-ES813P_BL,0886523300014,,250 mm,600 mm,650 mm,E-ATX,ATX,515 mm,207 mm,0/0,0/13,5/11,0/0,0,1,2,2,0,12,6,0,,black,True,True,True,False,https://www.amazon.ca/dp/B00EB0A6FE?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Raijintek STYX Micro-ATX - white,,RAIJINTEK,0R200038,4715109921144,,210 mm,360 mm,335 mm,Micro-ATX,ATX,280 mm,180 mm,0/0,1/4,0/0,0/0,,,,,,6,3,0,,white,False,False,False,False,
"Silverstone Fara H1M Pro Micro-ATX, Tempered Glass - white",,Silverstone,SST-FAH1MW-PRO,4710679814827,,210 mm,366 mm,392 mm,Micro-ATX,ATX,320 mm,160 mm,0/0,3/5,0/2,0/0,2,0,1,0,0,2,2,0,,white,True,False,False,False,
Silverstone Fara R1 Midi-Tower - white,,Silverstone,SST-FAR1W,4710007229859,,207 mm,390 mm,446 mm,ATX,ATX,322 mm,165 mm,0/0,1/6,0/4,0/0,0,0,1,1,0,4,1,0,,white,False,False,True,False,
"Silverstone Fara R1 Midi-Tower, Tempered Glass - white",,Silverstone,SST-FAR1W-G,4710007229866,,207 mm,390 mm,446 mm,ATX,ATX,322 mm,165 mm,0/0,1/6,0/4,0/0,0,0,1,1,0,4,1,0,,white,True,False,True,False,
Silverstone SST-PS08W Precision Midi-Tower - white,,Silverstone,SST-PS08W USB 3.0,4710007220214,,168 mm,400 mm,355 mm,Micro-ATX,ATX,358 mm,140 mm,0/2,1/1,0/0,0/0,,,,,,1,4,0,,white,False,True,False,False,
Silverstone SST-RL06WS-PRO Redline Midi-Tower - white/silver Window,,Silverstone,SST-RL06WS-PRO,4710007224274,,200 mm,455 mm,477 mm,ATX,ATX,348 mm,158 mm,0/0,4/6,0/3,0/0,3,1,2,,,5,3,0,,white,True,True,True,False,
Silverstone SST-RVZ01B Raven Z Mini-ITX - black,$145.97 USD,Silverstone,SST-RVZ01B,4710007221150,844761011154,382 mm,350 mm,105 mm,Mini-ITX,SFX,330 mm,83 mm,0/0,2/3,0/0,0/0,0,0,0,0,0,3,1,0,,black,False,True,False,False,https://www.amazon.ca/dp/B00I3EKXDE?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
"Thermaltake Core P7, Tempered Glass - black",$302.47 USD,Thermaltake,CA-1I2-00F1WN-00,4717964407962,,570 mm,333 mm,608 mm,E-ATX,ATX,280 mm,180 mm,0/0,0/12,0/9,0/0,0,0,0,0,0,7,7,0,,black,True,False,True,False,https://www.amazon.ca/Thermaltake-Tempered-Panoramic-Certified-CA-1I2-00F1WN-00/dp/B06XJ9468H?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B06XJ9468H
Aerocool Aero-1000 Midi-Tower - black Window,,Aerocool,ACCM-PA01021.11,4713105955293,,210 mm,497 mm,500 mm,ATX,ATX,290 mm,170 mm,0/0,3/5,0/4,0/0,1,0,2,2,0,7,5,0,,black,True,True,True,False,
Aerocool Aero-1000 Midi-Tower - white Window,,Aerocool,EN55309,4713105955309,,210 mm,497 mm,500 mm,ATX,ATX,290 mm,170 mm,0/0,3/5,0/4,0/0,,,,,,7,5,0,,black-and-white,True,True,True,False,
Aerocool Aero-300 FAW Midi-Tower - black Window,,Aerocool,ACCM-PA04012.11,4713105951745,,190 mm,415 mm,460 mm,ATX,ATX,372 mm,150 mm,0/0,1/6,0/0,0/0,0,0,1,0,0,3,2,0,,black,True,True,True,False,
Aerocool Aero-500 Midi-Tower - black,,Aerocool,EN55514,4713105955514,,203 mm,439.5 mm,486.5 mm,ATX,ATX,374 mm,155 mm,0/0,1/6,0/1,0/0,1,1,0,0,0,5,4,0,,black,False,True,True,False,
Aerocool Aero-500 Midi-Tower - black Window,,Aerocool,ACCM-PA02011.11,4713105955576,,203 mm,439.5 mm,486.5 mm,ATX,ATX,374 mm,155 mm,0/0,1/5,0/0,0/0,1,0,1,0,0,5,4,0,,black,True,True,True,False,
Aerocool Aero-500 Midi-Tower - white,,Aerocool,ACCM-PA02014.21,4713105955521,,203 mm,439.5 mm,486.5 mm,ATX,ATX,374 mm,155 mm,0/0,1/6,0/1,0/0,,,,,,3,4,0,,black-and-white,False,True,True,False,
Aerocool Aero-500 Midi-Tower - white Window,,Aerocool,ACCM-PA02011.21,4713105955583,,203 mm,439.5 mm,486.5 mm,ATX,ATX,374 mm,155 mm,0/0,1/5,0/0,0/0,1,0,1,0,0,5,4,0,,black-and-white,True,True,True,False,
Aerocool Aero-500G RGB Midi-Tower - black Window,,Aerocool,ACCM-PA04218.11,4710700957783,,203 mm,439.5 mm,483.4 mm,ATX,ATX,374 mm,155 mm,0/0,1/5,0/0,0/0,1,0,1,0,0,5,4,0,,black,True,True,True,False,
Aerocool Aero-500G RGB Midi-Tower - white Window,,Aerocool,ACCM-PA04018.21,4710700957790,,203 mm,439.5 mm,483.4 mm,ATX,ATX,374 mm,155 mm,0/0,1/5,0/0,0/0,1,0,1,0,0,4,4,0,,white,True,True,True,False,
Aerocool Aero-800 Midi-Tower - blue,,Aerocool,EN55552,4713105955552,,200 mm,475.8 mm,501 mm,ATX,ATX,390 mm,155 mm,0/0,2/5,0/1,0/0,,,,,,5,2,0,,"blue, black",True,True,True,False,
Aerocool Aero-800 Midi-Tower - grey,,Aerocool,EN55569,4713105955569,,200 mm,475.8 mm,501 mm,ATX,ATX,390 mm,155 mm,0/0,2/5,0/1,0/0,,,,,,5,2,0,,gray,True,True,True,False,
Aerocool Aero-800 Midi-Tower - black,,Aerocool,ACCM-PA03021.11,4713105955538,,200 mm,475.8 mm,501 mm,ATX,ATX,390 mm,155 mm,0/0,2/5,0/2,0/0,,,,,,5,2,0,,black,True,True,True,False,
Aerocool Aero-800 Midi-Tower - white,,Aerocool,ACCM-PA03021.21,4713105955545,,200 mm,475.8 mm,501 mm,ATX,ATX,390 mm,155 mm,0/0,2/5,0/1,0/0,,,,,,5,2,0,,black-and-white,True,True,True,False,
Aerocool AeroEngine RGB-G-BK-v2 RGB Midi-Tower - black Window,,Aerocool,ACCM-PV16013.11,4718009156371,,195 mm,447 mm,471 mm,ATX,ATX,371 mm,155 mm,0/0,1/9,0/1,0/0,1,0,0,0,0,5,0,0,,black,True,True,True,False,
"Aerocool Atomic Lite v1 Micro-ATX, FRGB, Tempered Glass - black",,Aerocool,ACCS-PV33023.11,4710562758597,,206.5 mm,353.4 mm,385 mm,Micro-ATX,ATX,297 mm,158 mm,1/0,1/7,0/2,0/0,1,0,1,0,0,1,0,0,,black,True,False,True,False,
"Aerocool Atomic Lite v2 Micro-ATX, RGB, Tempered Glass - black",,Aerocool,ACCS-PV33123.11,4710562758603,,206.5 mm,353.4 mm,385 mm,Micro-ATX,ATX,297 mm,158 mm,1/0,1/7,0/2,0/0,1,0,1,0,0,1,0,0,,black,True,False,True,False,
"Aerocool Atomic v1 Midi-Tower, ARGB, Tempered Glass - black",,Aerocool,ACCS-PV26023.11,4710562755893,,230 mm,403.5 mm,390 mm,Micro-ATX,ATX,347 mm,184104 mm,0/0,1/5,0/5,1/1,1,0,1,1,0,3,1,0,,black,True,False,True,False,
Aerocool BattleHawk Midi-Tower - black,,Aerocool,EN55415,4713105955415,,218 mm,455 mm,491 mm,ATX,ATX,390 mm,155 mm,0/0,2/5,0/0,0/0,1,0,1,0,0,2,3,0,,black,True,True,True,False,
Aerocool BattleHawk V2 Midi-Tower - black,,Aerocool,ACCM-PV04021.12,4713105968897,,183 mm,420 mm,420 mm,ATX,ATX,390 mm,155 mm,0/0,2/5,0/0,0/0,0,0,0,0,0,2,3,0,,black,True,True,True,False,
