country,population,yearly_change,net_change,density,land_area,net_migrants,fertility_rate,median_age,population_urban,world_share
Saint Pierre & Miquelon,5840,-0.38,-22,25,230,0,1.6,44,,0
Samoa,225681,1.48,3299,80,2830,-1500,3.8,21,16,0
San Marino,33642,-0.05,-18,561,60,100,1.1,47,99,0
Sao Tome & Principe,231856,1.97,4476,242,960,-600,3.7,19,77,0
Saudi Arabia,36947025,1.48,538205,17,2149690,28998,2.4,31,83,0.46
Senegal,17763163,2.58,446714,92,192530,-19999,4.3,18,52,0.22
Serbia,7149077,-1,-72288,82,87460,-9999,1.5,43,69,0.09
Seychelles,107660,0.51,542,234,460,-200,2.3,33,53,0
Sierra Leone,8791092,2.15,185374,122,72180,-4000,3.8,19,43,0.11
Singapore,6014723,0.65,39034,8592,700,26998,1,43,,0.07
Sint Maarten,44222,0.11,47,1301,34,0,1.6,48,97,0
Slovakia,5795199,2.69,151746,121,48088,-112067,1.6,40,51,0.07
Slovenia,2119675,-0.01,-169,105,20140,2000,1.6,44,55,0.03
Solomon Islands,740424,2.23,16151,26,27990,-1600,3.9,19,24,0.01
Somalia,18143378,3.1,545867,29,627340,-30000,6.1,15,46,0.23
South Africa,60414495,0.87,520610,50,1213090,58496,2.3,28,69,0.75
South Korea,51784059,-0.06,-31751,533,97230,29998,0.9,44,82,0.64
South Sudan,11088796,1.61,175632,18,610952,-23291,4.3,17,28,0.14
Spain,47519628,-0.08,-39002,95,498800,39998,1.3,45,80,0.59
Sri Lanka,21893579,0.28,61436,349,62710,-77495,2,33,19,0.27
St. Vincent & Grenadines,103698,-0.24,-250,266,390,-200,1.8,33,58,0
State of Palestine,5371230,2.31,121158,892,6020,-5000,3.4,20,83,0.07
Sudan,48109006,2.63,1234802,27,1765048,-9999,4.3,19,35,0.6
Suriname,623236,0.84,5196,4,156000,-1000,2.3,28,63,0.01
Sweden,10612086,0.59,62739,26,410340,39998,1.7,40,86,0.13
Switzerland,8796669,0.64,56197,223,39516,39998,1.5,42,75,0.11
Syria,23227014,4.98,1101765,126,183630,757103,2.7,22,53,0.29
Taiwan,23923276,0.13,29882,676,35410,23999,1.2,42,80,0.3
Tajikistan,10143543,1.92,190756,72,139960,-19999,3.1,22,28,0.13
Tanzania,67438106,2.96,1940358,76,885800,-39997,4.6,17,38,0.84
Thailand,71801279,0.15,104249,141,510890,18999,1.3,40,52,0.89
Timor-Leste,1360596,1.44,19300,91,14870,-5000,3,21,35,0.02
Togo,9053799,2.32,205100,166,54390,-2000,4.1,19,44,0.11
Tokelau,1893,1.18,22,189,10,0,2.6,27,0,0
Tonga,107773,0.86,915,150,720,-800,3.2,22,24,0
Trinidad and Tobago,1534937,0.25,3893,299,5130,-800,1.6,36,48,0.02
Tunisia,12458223,0.83,102106,80,155360,-4000,2,32,69,0.15
Turkey,85816199,0.56,474958,112,769630,-318067,1.9,32,77,1.07
Turkmenistan,6516100,1.33,85330,14,469930,-4000,2.6,26,52,0.08
Turks and Caicos,46062,0.79,359,48,950,200,1.6,38,79,0
Tuvalu,11396,0.74,84,380,30,-60,3.1,25,69,0
U.S. Virgin Islands,98750,-0.72,-715,282,350,-450,2.1,43,,0
Uganda,48582334,2.82,1332749,243,199810,-126181,4.4,16,29,0.6
Ukraine,36744634,-7.45,-2957105,63,579320,1784718,1.3,45,82,0.46
United Arab Emirates,9516871,0.8,75742,114,83600,0,1.4,34,94,0.12
United Kingdom,67736802,0.34,227866,280,241930,165790,1.6,40,85,0.84
United States,339996563,0.5,1706706,37,9147420,999700,1.7,38,83,4.23
Uruguay,3423108,0.01,314,20,175020,-1500,1.5,36,99,0.04
Uzbekistan,35163944,1.55,536292,83,425400,-19999,2.8,27,49,0.44
Vanuatu,334506,2.38,7766,27,12190,0,3.7,20,24,0
Venezuela,28838499,1.9,536803,33,882050,321106,2.2,28,,0.36
Vietnam,98858950,0.68,672094,319,310070,-82700,1.9,33,40,1.23
Wallis & Futuna,11502,-0.6,-70,82,140,-119,1.9,37,0,0
Western Sahara,587259,1.96,11273,2,266000,5600,2.2,32,95,0.01
Yemen,34449825,2.24,753211,65,527970,-29914,3.6,19,37,0.43
Zambia,20569737,2.76,552062,28,743390,-5000,4.2,17,46,0.26
Zimbabwe,16665409,2.11,344872,43,386850,-9999,3.4,18,37,0.21
