Entity,Code,Year,rate over65
Kyrgyzstan,KGZ,2011,41.89
Laos,LAO,2011,53.96
Latvia,LVA,2011,24.15
Lebanon,LBN,2011,47.89
Lesotho,LSO,2011,48.28
Liberia,LBR,2011,72.57
Libya,LBY,2011,52.11
Lithuania,LTU,2011,27.09
Luxembourg,LUX,2011,36.54
Macao,MAC,2011,108.62
Madagascar,MDG,2011,72.56
Malawi,MWI,2011,49.18
Malaysia,MYS,2011,41.36
Maldives,MDV,2011,67.11
Mali,MLI,2011,71.22
Malta,MLT,2011,36.06
Mauritania,MRT,2011,68.65
Mauritius,MUS,2011,53.64
Mexico,MEX,2011,38.12
Micronesia (country),FSM,2011,40.28
Moldova,MDA,2011,33.17
Mongolia,MNG,2011,43.13
Montenegro,MNE,2011,27.89
Morocco,MAR,2011,49.38
Mozambique,MOZ,2011,56.11
Myanmar,MMR,2011,73.66
Namibia,NAM,2011,59.77
Nepal,NPL,2011,72.34
Netherlands,NLD,2011,41.31
New Caledonia,NCL,2011,49.89
New Zealand,NZL,2011,22.43
Nicaragua,NIC,2011,50.94
Niger,NER,2011,69.65
Nigeria,NGA,2011,70.02
North Korea,PRK,2011,73.38
North Macedonia,MKD,2011,27.85
Norway,NOR,2011,52
Oman,OMN,2011,55.96
Pakistan,PAK,2011,59.17
Palestine,PSE,2011,59.92
Panama,PAN,2011,48.92
Papua New Guinea,PNG,2011,52.51
Paraguay,PRY,2011,55.61
Peru,PER,2011,57.27
Philippines,PHL,2011,50.72
Poland,POL,2011,12.56
Portugal,PRT,2011,41.99
Puerto Rico,PRI,2011,50.66
Qatar,QAT,2011,63.65
Romania,ROU,2011,15.05
Russia,RUS,2011,27.7
Rwanda,RWA,2011,61.26
Saint Lucia,LCA,2011,56.28
Saint Vincent and the Grenadines,VCT,2011,50.9
Samoa,WSM,2011,35.16
Sao Tome and Principe,STP,2011,60.26
Saudi Arabia,SAU,2011,60.56
Senegal,SEN,2011,69.74
Serbia,SRB,2011,19.03
Seychelles,SYC,2011,38.03
Sierra Leone,SLE,2011,75.28
Singapore,SGP,2011,92.08
Slovakia,SVK,2011,29.59
Slovenia,SVN,2011,26.65
Solomon Islands,SLB,2011,43.18
Somalia,SOM,2011,65.07
South Africa,ZAF,2011,65.07
South Korea,KOR,2011,18.89
South-East Asia,,2011,71.19
Spain,ESP,2011,35.11
Sri Lanka,LKA,2011,61.55
Sudan,SDN,2011,55.92
Suriname,SUR,2011,54.07
Sweden,SWE,2011,20.48
Switzerland,CHE,2011,22.97
Syria,SYR,2011,51.49
Tajikistan,TJK,2011,42.55
Tanzania,TZA,2011,61.17
Thailand,THA,2011,70.33
Togo,TGO,2011,67.08
Tonga,TON,2011,36.6
Trinidad and Tobago,TTO,2011,51.47
Tunisia,TUN,2011,46.45
Turkey,TUR,2011,33.4
Turkmenistan,TKM,2011,42.41
Uganda,UGA,2011,59.04
Ukraine,UKR,2011,27.63
United Arab Emirates,ARE,2011,58.07
United Kingdom,GBR,2011,45
United States,USA,2011,31.09
United States Virgin Islands,VIR,2011,51.69
Uruguay,URY,2011,61.77
Uzbekistan,UZB,2011,37.22
Vanuatu,VUT,2011,39.19
Venezuela,VEN,2011,55.91
Vietnam,VNM,2011,37.39
Western Pacific,,2011,43.45
World,OWID_WRL,2011,53.4
Yemen,YEM,2011,58.73
Zambia,ZMB,2011,54.65
Zimbabwe,ZWE,2011,42.33
