Entity,Code,Day,cumulative_estimated_daily_excess_deaths,Total confirmed deaths due to COVID-19,cumulative_estimated_daily_excess_deaths_ci_95_top,cumulative_estimated_daily_excess_deaths_ci_95_bot
Afghanistan,AFG,2022-06-06,83594.69,,119462.99,34542.9
Afghanistan,AFG,2022-06-13,84386.414,,121177.484,35034.176
Afghanistan,AFG,2022-06-20,85141.38,,123535.2,35547.37
Afghanistan,AFG,2022-06-27,85988.55,,125709.32,36124.055
Afghanistan,AFG,2022-07-04,86834.29,,127476.28,36684.73
Afghanistan,AFG,2022-07-11,87649.55,,128585.734,37258.535
Afghanistan,AFG,2022-07-18,88484.695,,129991.51,37617.25
Afghanistan,AFG,2022-07-25,89390.9,,131559.83,38093.23
Afghanistan,AFG,2022-08-01,90258.86,,132875.22,38584.06
Afghanistan,AFG,2022-08-08,91071.43,,134167.69,39091.9
Afghanistan,AFG,2022-08-15,92223.51,,136727.36,39769.715
Afghanistan,AFG,2022-08-22,93095.07,,138195.28,40299.906
Afghanistan,AFG,2022-08-29,93916,,139539.86,40773.23
Afghanistan,AFG,2022-09-05,94742.33,,140698.44,41379.492
Afghanistan,AFG,2022-09-12,95573,,141560.66,41958.53
Afghanistan,AFG,2022-09-19,96208.44,,142390.84,42507.043
Afghanistan,AFG,2022-09-26,96882.125,,142654.61,42683.496
Afghanistan,AFG,2022-10-03,97533.87,,143292.5,42378.35
Afghanistan,AFG,2022-10-10,98126.875,,144332.88,42016.19
Afghanistan,AFG,2022-10-17,98644.67,,145398.44,42379.676
Afghanistan,AFG,2022-10-24,99162.27,,146412.77,42726.215
Afghanistan,AFG,2022-10-31,99674.44,,147297.33,43085.254
Afghanistan,AFG,2022-11-07,100224.695,,147763.64,43458.645
Afghanistan,AFG,2022-11-14,100788.7,,148547.19,43862.63
Afghanistan,AFG,2022-11-21,101342.266,,149399.12,44027.562
Afghanistan,AFG,2022-11-28,101950.47,,150213.42,43973.39
Afghanistan,AFG,2022-12-05,102564.695,,151008.69,43902.48
Afghanistan,AFG,2022-12-12,103173.03,,151804.23,43839.242
Afghanistan,AFG,2022-12-19,103789.97,,152687.97,43825.793
Afghanistan,AFG,2022-12-26,104396.29,,153515.55,44160.168
Afghanistan,AFG,2023-01-02,105003.13,,155012.17,44762.508
Afghanistan,AFG,2023-01-09,105607.484,,156562,45255.516
Afghanistan,AFG,2023-01-16,106192.81,,157143.44,45844.406
Afghanistan,AFG,2023-01-23,106780.73,,157511.02,46395.68
Afghanistan,AFG,2023-01-30,107120.445,,157926.78,46905.586
Afghanistan,AFG,2023-02-06,107484.88,,158327.9,47460.84
Afghanistan,AFG,2023-02-13,107820.96,,159110.58,48029.38
Afghanistan,AFG,2023-02-20,108175.586,,160028.08,48608.812
Afghanistan,AFG,2023-02-27,108523.305,,160967.3,49154.605
Afghanistan,AFG,2023-03-06,108849.43,,161812.67,49624.934
Afghanistan,AFG,2023-03-13,109180.664,,162641.86,50115.76
Afghanistan,AFG,2023-03-20,109478.805,,163481.5,50603.39
Afghanistan,AFG,2023-03-27,109777.42,,164334.56,50941.39
Afghanistan,AFG,2023-04-03,110298.63,,165170.75,51239.484
Afghanistan,AFG,2023-04-10,110583.89,,166041.4,51536.28
Afghanistan,AFG,2023-04-17,111131.03,,166867.77,51842.676
Afghanistan,AFG,2023-04-24,111664.74,,167696.67,52108.086
Afghanistan,AFG,2023-05-01,112235.03,,168505.14,52392.285
Afghanistan,AFG,2023-05-08,112803.47,,169286.7,52572.047
Afghanistan,AFG,2023-05-15,113372.11,,170065.3,52611.848
Afghanistan,AFG,2023-05-22,113932.54,,170810.38,52625.29
Afghanistan,AFG,2023-05-29,114254.766,,171657.19,52759.395
Afghanistan,AFG,2023-06-05,114638.12,,172512.05,53721.875
Afghanistan,AFG,2023-06-12,114999.48,,173301,54001.234
Afghanistan,AFG,2023-06-19,115366.64,,174107.11,54239.234
Afghanistan,AFG,2023-06-26,115850.71,,175046.77,54513.246
Afghanistan,AFG,2023-07-03,116422.195,,175992.08,54891.7
Afghanistan,AFG,2023-07-10,116993.37,,176930.69,55270.965
Afghanistan,AFG,2023-07-17,117565.42,,177884.03,55651.973
Afghanistan,AFG,2023-07-24,118135.5,,178835.88,55903.195
Afghanistan,AFG,2023-07-31,118821.51,,179812.39,56358.086
Afghanistan,AFG,2023-08-07,119510.29,,180804.14,56749.75
Afghanistan,AFG,2023-08-14,120195.99,,181792.36,57489.02
Afghanistan,AFG,2023-08-21,120859.7,,182780.6,58163.31
Afghanistan,AFG,2023-08-28,121461.05,,183880.23,58915.957
Afghanistan,AFG,2023-09-04,121918.94,,185975.92,59114.305
Afghanistan,AFG,2023-09-11,122377.37,,188089.16,59299.074
Afghanistan,AFG,2023-09-18,122833.74,,190202.38,59483.78
Afghanistan,AFG,2023-09-25,123292.49,,192312.73,59749.914
Afghanistan,AFG,2023-10-02,123601.54,,192991.34,59894.492
Afghanistan,AFG,2023-10-09,123894.02,,194497.17,59958.14
Afghanistan,AFG,2023-10-16,124177.17,,195872.66,60022.14
Afghanistan,AFG,2023-10-23,124461.94,,196322.45,60038.953
Afghanistan,AFG,2023-10-30,124842.15,,196589.78,60172.477
Afghanistan,AFG,2023-11-06,125217.03,,196845.52,60239.49
Afghanistan,AFG,2023-11-13,125591.984,,197101.25,60391.72
Afghanistan,AFG,2023-11-18,125567.945,,197101.42,60398.734
Afghanistan,AFG,2020-03-29,,2,,
Afghanistan,AFG,2020-04-05,,5,,
Afghanistan,AFG,2020-04-12,,15,,
Afghanistan,AFG,2020-04-19,,30,,
Afghanistan,AFG,2020-04-26,,43,,
Afghanistan,AFG,2020-05-03,,64,,
Afghanistan,AFG,2020-05-10,,105,,
Afghanistan,AFG,2020-05-17,,153,,
Afghanistan,AFG,2020-05-24,,211,,
Afghanistan,AFG,2020-05-31,,248,,
Afghanistan,AFG,2020-06-07,,327,,
Afghanistan,AFG,2020-06-14,,451,,
Afghanistan,AFG,2020-06-21,,548,,
Afghanistan,AFG,2020-06-28,,703,,
Afghanistan,AFG,2020-07-05,,826,,
Afghanistan,AFG,2020-07-12,,975,,
Afghanistan,AFG,2020-07-19,,1147,,
Afghanistan,AFG,2020-07-26,,1246,,
Afghanistan,AFG,2020-08-02,,1283,,
Afghanistan,AFG,2020-08-09,,1307,,
Afghanistan,AFG,2020-08-16,,1370,,
Afghanistan,AFG,2020-08-23,,1385,,
Afghanistan,AFG,2020-08-30,,1402,,
Afghanistan,AFG,2020-09-06,,1409,,
Afghanistan,AFG,2020-09-13,,1420,,
Afghanistan,AFG,2020-09-20,,1437,,
Afghanistan,AFG,2020-09-27,,1453,,
Afghanistan,AFG,2020-10-04,,1462,,
Afghanistan,AFG,2020-10-11,,1473,,
Afghanistan,AFG,2020-10-18,,1488,,
Afghanistan,AFG,2020-10-25,,1511,,
Afghanistan,AFG,2020-11-01,,1536,,
Afghanistan,AFG,2020-11-08,,1556,,
Afghanistan,AFG,2020-11-15,,1605,,
Afghanistan,AFG,2020-11-22,,1675,,
Afghanistan,AFG,2020-11-29,,1752,,
Afghanistan,AFG,2020-12-06,,1865,,
Afghanistan,AFG,2020-12-13,,1960,,
Afghanistan,AFG,2020-12-20,,2054,,
Afghanistan,AFG,2020-12-27,,2158,,
Afghanistan,AFG,2021-01-03,,2221,,
Afghanistan,AFG,2021-01-10,,2277,,
Afghanistan,AFG,2021-01-17,,2339,,
Afghanistan,AFG,2021-01-24,,2378,,
Afghanistan,AFG,2021-01-31,,2400,,
Afghanistan,AFG,2021-02-07,,2410,,
Afghanistan,AFG,2021-02-14,,2427,,
Afghanistan,AFG,2021-02-21,,2432,,
Afghanistan,AFG,2021-02-28,,2443,,
Afghanistan,AFG,2021-03-07,,2449,,
Afghanistan,AFG,2021-03-14,,2457,,
Afghanistan,AFG,2021-03-21,,2463,,
Afghanistan,AFG,2021-03-28,,2470,,
Afghanistan,AFG,2021-04-04,,2497,,
Afghanistan,AFG,2021-04-11,,2521,,
Afghanistan,AFG,2021-04-18,,2539,,
Afghanistan,AFG,2021-04-25,,2582,,
Afghanistan,AFG,2021-05-02,,2637,,
Afghanistan,AFG,2021-05-09,,2686,,
Afghanistan,AFG,2021-05-16,,2742,,
Afghanistan,AFG,2021-05-23,,2802,,
Afghanistan,AFG,2021-05-30,,2919,,
Afghanistan,AFG,2021-06-06,,3145,,
Afghanistan,AFG,2021-06-13,,3527,,
Afghanistan,AFG,2021-06-20,,4122,,
Afghanistan,AFG,2021-06-27,,4650,,
Afghanistan,AFG,2021-07-04,,5199,,
Afghanistan,AFG,2021-07-11,,5724,,
Afghanistan,AFG,2021-07-18,,6147,,
Afghanistan,AFG,2021-07-25,,6425,,
Afghanistan,AFG,2021-08-01,,6737,,
Afghanistan,AFG,2021-08-08,,6908,,
Afghanistan,AFG,2021-08-15,,7021,,
Afghanistan,AFG,2021-08-22,,7070,,
Afghanistan,AFG,2021-08-29,,7109,,
Afghanistan,AFG,2021-09-05,,7132,,
Afghanistan,AFG,2021-09-12,,7167,,
Afghanistan,AFG,2021-09-19,,7199,,
Afghanistan,AFG,2021-09-26,,7199,,
Afghanistan,AFG,2021-10-03,,7212,,
Afghanistan,AFG,2021-10-10,,7221,,
Afghanistan,AFG,2021-10-17,,7238,,
Afghanistan,AFG,2021-10-24,,7253,,
Afghanistan,AFG,2021-10-31,,7272,,
Afghanistan,AFG,2021-11-07,,7284,,
Afghanistan,AFG,2021-11-14,,7292,,
Afghanistan,AFG,2021-11-21,,7301,,
Afghanistan,AFG,2021-11-28,,7308,,
Afghanistan,AFG,2021-12-05,,7312,,
Afghanistan,AFG,2021-12-12,,7325,,
Afghanistan,AFG,2021-12-19,,7333,,
Afghanistan,AFG,2021-12-26,,7352,,
Afghanistan,AFG,2022-01-02,,7356,,
Afghanistan,AFG,2022-01-09,,7369,,
Afghanistan,AFG,2022-01-16,,7378,,
Afghanistan,AFG,2022-01-23,,7390,,
Afghanistan,AFG,2022-01-30,,7407,,
Afghanistan,AFG,2022-02-06,,7425,,
Afghanistan,AFG,2022-02-13,,7488,,
Afghanistan,AFG,2022-02-20,,7534,,
Afghanistan,AFG,2022-02-27,,7588,,
Afghanistan,AFG,2022-03-06,,7622,,
Afghanistan,AFG,2022-03-13,,7642,,
Afghanistan,AFG,2022-03-20,,7652,,
Afghanistan,AFG,2022-03-27,,7660,,
Afghanistan,AFG,2022-04-03,,7671,,
Afghanistan,AFG,2022-04-10,,7675,,
Afghanistan,AFG,2022-04-17,,7676,,
Afghanistan,AFG,2022-04-24,,7681,,
Afghanistan,AFG,2022-05-01,,7683,,
Afghanistan,AFG,2022-05-08,,7684,,
Afghanistan,AFG,2022-05-15,,7690,,
Afghanistan,AFG,2022-05-22,,7697,,
Afghanistan,AFG,2022-05-29,,7701,,
Afghanistan,AFG,2022-06-05,,7709,,
Afghanistan,AFG,2022-06-12,,7709,,
Afghanistan,AFG,2022-06-19,,7713,,
Afghanistan,AFG,2022-06-26,,7717,,
Afghanistan,AFG,2022-07-03,,7724,,
Afghanistan,AFG,2022-07-10,,7727,,
Afghanistan,AFG,2022-07-17,,7730,,
Afghanistan,AFG,2022-07-24,,7738,,
Afghanistan,AFG,2022-07-31,,7747,,
Afghanistan,AFG,2022-08-07,,7752,,
Afghanistan,AFG,2022-08-14,,7758,,
Afghanistan,AFG,2022-08-21,,7759,,
Afghanistan,AFG,2022-08-28,,7774,,
Afghanistan,AFG,2022-09-04,,7780,,
Afghanistan,AFG,2022-09-11,,7787,,
Afghanistan,AFG,2022-09-18,,7794,,
Afghanistan,AFG,2022-09-25,,7796,,
Afghanistan,AFG,2022-10-02,,7799,,
Afghanistan,AFG,2022-10-09,,7804,,
Afghanistan,AFG,2022-10-16,,7811,,
Afghanistan,AFG,2022-10-23,,7818,,
Afghanistan,AFG,2022-10-30,,7821,,
Afghanistan,AFG,2022-11-06,,7826,,
Afghanistan,AFG,2022-11-13,,7829,,
Afghanistan,AFG,2022-11-20,,7831,,
Afghanistan,AFG,2022-11-27,,7833,,
Afghanistan,AFG,2022-12-04,,7834,,
Afghanistan,AFG,2022-12-11,,7839,,
Afghanistan,AFG,2022-12-18,,7844,,
Afghanistan,AFG,2022-12-25,,7845,,
Afghanistan,AFG,2023-01-01,,7849,,
Afghanistan,AFG,2023-01-08,,7851,,
Afghanistan,AFG,2023-01-15,,7855,,
Afghanistan,AFG,2023-01-22,,7860,,
Afghanistan,AFG,2023-01-29,,7866,,
Afghanistan,AFG,2023-02-05,,7874,,
Afghanistan,AFG,2023-02-12,,7877,,
Afghanistan,AFG,2023-02-19,,7877,,
Afghanistan,AFG,2023-02-26,,7878,,
Afghanistan,AFG,2023-03-05,,7879,,
Afghanistan,AFG,2023-03-12,,7880,,
Afghanistan,AFG,2023-03-19,,7881,,
Afghanistan,AFG,2023-03-26,,7882,,
Afghanistan,AFG,2023-04-02,,7883,,
Afghanistan,AFG,2023-04-09,,7884,,
Afghanistan,AFG,2023-04-16,,7885,,
Afghanistan,AFG,2023-04-23,,7887,,
Afghanistan,AFG,2023-04-30,,7892,,
Afghanistan,AFG,2023-05-07,,7897,,
Afghanistan,AFG,2023-05-14,,7908,,
Afghanistan,AFG,2023-05-21,,7913,,
Afghanistan,AFG,2023-05-28,,7915,,
Afghanistan,AFG,2023-06-04,,7919,,
Afghanistan,AFG,2023-06-11,,7920,,
Afghanistan,AFG,2023-06-18,,7922,,
Afghanistan,AFG,2023-06-25,,7928,,
Afghanistan,AFG,2023-07-02,,7928,,
Afghanistan,AFG,2023-07-09,,7931,,
Afghanistan,AFG,2023-07-16,,7932,,
Afghanistan,AFG,2023-07-23,,7934,,
Afghanistan,AFG,2023-07-30,,7935,,
Afghanistan,AFG,2023-08-06,,7938,,
Afghanistan,AFG,2023-08-13,,7940,,
Afghanistan,AFG,2023-08-20,,7942,,
Afghanistan,AFG,2023-08-27,,7942,,
Afghanistan,AFG,2023-09-03,,7944,,
Afghanistan,AFG,2023-09-10,,7946,,
Afghanistan,AFG,2023-09-17,,7946,,
Afghanistan,AFG,2023-09-24,,7947,,
Afghanistan,AFG,2023-10-01,,7950,,
Afghanistan,AFG,2023-10-08,,7951,,
Afghanistan,AFG,2023-10-15,,7952,,
Afghanistan,AFG,2023-10-22,,7952,,
Afghanistan,AFG,2023-10-29,,7953,,
Afghanistan,AFG,2023-11-05,,7956,,
Afghanistan,AFG,2023-11-12,,7960,,
Afghanistan,AFG,2023-11-19,,7961,,
Afghanistan,AFG,2023-11-26,,7963,,
Afghanistan,AFG,2023-12-03,,7965,,
Afghanistan,AFG,2023-12-10,,7965,,
Afghanistan,AFG,2023-12-17,,7966,,
Afghanistan,AFG,2023-12-24,,7970,,
Afghanistan,AFG,2023-12-31,,7973,,
Africa,,2020-03-08,,5,,
Africa,,2020-03-15,,9,,
Africa,,2020-03-22,,27,,
Africa,,2020-03-29,,140,,
Africa,,2020-04-05,,579,,
Africa,,2020-04-12,,934,,
Africa,,2020-04-19,,1476,,
Africa,,2020-04-26,,1765,,
Africa,,2020-05-03,,2151,,
Africa,,2020-05-10,,2604,,
Africa,,2020-05-17,,3066,,
Africa,,2020-05-24,,3608,,
Africa,,2020-05-31,,4417,,
Africa,,2020-06-07,,6095,,
Africa,,2020-06-14,,7638,,
Africa,,2020-06-21,,9760,,
Africa,,2020-06-28,,11954,,
Africa,,2020-07-05,,13785,,
Africa,,2020-07-12,,15789,,
Africa,,2020-07-19,,17744,,
Africa,,2020-07-26,,20280,,
Africa,,2020-08-02,,22706,,
Africa,,2020-08-09,,25644,,
Africa,,2020-08-16,,27998,,
Africa,,2020-08-23,,30186,,
Africa,,2020-08-30,,31987,,
Africa,,2020-09-06,,33613,,
Africa,,2020-09-13,,35061,,
Africa,,2020-09-20,,36376,,
Africa,,2020-09-27,,37877,,
Africa,,2020-10-04,,39295,,
Africa,,2020-10-11,,40751,,
Africa,,2020-10-18,,41755,,
Africa,,2020-10-25,,43080,,
Africa,,2020-11-01,,44513,,
Africa,,2020-11-08,,46392,,
Africa,,2020-11-15,,48076,,
Africa,,2020-11-22,,49947,,
Africa,,2020-11-29,,52021,,
Africa,,2020-12-06,,54082,,
Africa,,2020-12-13,,56495,,
Africa,,2020-12-20,,59240,,
Africa,,2020-12-27,,62634,,
Africa,,2021-01-03,,66921,,
Africa,,2021-01-10,,72444,,
Africa,,2021-01-17,,78623,,
Africa,,2021-01-24,,84887,,
Africa,,2021-01-31,,90631,,
Africa,,2021-02-07,,94916,,
Africa,,2021-02-14,,98407,,
Africa,,2021-02-21,,101195,,
Africa,,2021-02-28,,103693,,
Africa,,2021-03-07,,105845,,
Africa,,2021-03-14,,107804,,
Africa,,2021-03-21,,110153,,
Africa,,2021-03-28,,112165,,
Africa,,2021-04-04,,113976,,
Africa,,2021-04-11,,115893,,
Africa,,2021-04-18,,118098,,
Africa,,2021-04-25,,120287,,
Africa,,2021-05-02,,122490,,
Africa,,2021-05-09,,124612,,
Africa,,2021-05-16,,126557,,
Africa,,2021-05-23,,128650,,
Africa,,2021-05-30,,130531,,
Africa,,2021-06-06,,132548,,
Africa,,2021-06-13,,134791,,
Africa,,2021-06-20,,137749,,
Africa,,2021-06-27,,141345,,
Africa,,2021-07-04,,146331,,
Africa,,2021-07-11,,151914,,
Africa,,2021-07-18,,158061,,
Africa,,2021-07-25,,164544,,
Africa,,2021-08-01,,171020,,
Africa,,2021-08-08,,178123,,
Africa,,2021-08-15,,184269,,
Africa,,2021-08-22,,189950,,
Africa,,2021-08-29,,195578,,
Africa,,2021-09-05,,200226,,
Africa,,2021-09-12,,203895,,
Africa,,2021-09-19,,207198,,
Africa,,2021-09-26,,209996,,
Africa,,2021-10-03,,212408,,
Africa,,2021-10-10,,214327,,
Africa,,2021-10-17,,215857,,
Africa,,2021-10-24,,217351,,
Africa,,2021-10-31,,218682,,
Africa,,2021-11-07,,219921,,
Africa,,2021-11-14,,221096,,
Africa,,2021-11-21,,222194,,
Africa,,2021-11-28,,223336,,
Africa,,2021-12-05,,224405,,
Africa,,2021-12-12,,225359,,
Africa,,2021-12-19,,226361,,
Africa,,2021-12-26,,227755,,
Africa,,2022-01-02,,229329,,
Africa,,2022-01-09,,231861,,
Africa,,2022-01-16,,234344,,
Africa,,2022-01-23,,236782,,
Africa,,2022-01-30,,239192,,
Africa,,2022-02-06,,241801,,
Africa,,2022-02-13,,244689,,
Africa,,2022-02-20,,247665,,
Africa,,2022-02-27,,249264,,
Africa,,2022-03-06,,251179,,
Africa,,2022-03-13,,251769,,
Africa,,2022-03-20,,252184,,
Africa,,2022-03-27,,252549,,
Africa,,2022-04-03,,252919,,
Africa,,2022-04-10,,253206,,
Africa,,2022-04-17,,253422,,
Africa,,2022-04-24,,253684,,
Africa,,2022-05-01,,253835,,
Africa,,2022-05-08,,254099,,
Africa,,2022-05-15,,254449,,
