Name,Price,Producer,MPN,EAN,UPC,Form Factor,Size,RPM,Cache,Product Page
Seagate BarraCuda Hard Drive,$54.4 USD,Seagate,ST2000DM006,0763649110218,,,2 TB,7200,,https://www.amazon.ca/Seagate-BarraCuda-3-5-Inch-Internal-ST2000DM006/dp/B01IEKG402?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01IEKG402
Seagate BarraCuda Hard Drive,$84.78 USD,Seagate,ST3000DM008,0763649110225,,,3 TB,7200,,https://www.amazon.ca/dp/B01IEKG4NE?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Seagate Barracuda Hard Drive,$112.71 USD,Seagate,ST2000DM001,7636490026003,,,2 TB,7200,64,https://www.amazon.ca/Seagate-ST2000DM001-Drives-Cache-Internal/dp/B00EG1T898?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B00EG1T898
Seagate BarraCuda Hard Drive 1 TB,$42.06 USD,Seagate,ST1000DM010,0763649098240,763649110928,"3.5""",1 TB,7200,64,https://www.amazon.ca/dp/B07D99KFPK?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Seagate BarraCuda Hard Drive 1 TB,$51.86 USD,Seagate,ST1000LM048,0763649098301,763649110980,"2.5""",1 TB,5400,128,https://www.amazon.ca/dp/B01LYNQXCP?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Seagate BarraCuda Hard Drive 2 TB,,Seagate,ST2000LM015,0763649098318,763649110997,"2.5""",2 TB,5400,128,
Seagate BarraCuda Hard Drive 3 TB,,Seagate,ST3000LM024,0763649078990,763649091678,"2.5""",3 TB,5400,128,
Seagate BarraCuda Hard Drive 3 TB,$87.04 USD,Seagate,ST3000DM007,7636490078170,763649090855,"3.5""",3 TB,5400,256,https://www.amazon.ca/dp/B075YPRCWC?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Seagate BarraCuda Hard Drive 4 TB,,Seagate,ST4000LM024,0763649078983,763649091661,"2.5""",4 TB,5400,128,
Seagate BarraCuda Hard Drive 4 TB,$89.48 USD,Seagate,ST4000DM004,0763649094402,763649094402,"3.5""",4 TB,5400,256,https://www.amazon.ca/Seagate-Barracuda-Internal-Computer-ST4000DM004/dp/B071WLPRHN?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B071WLPRHN
Seagate BarraCuda Hard Drive 5 TB,$195.02 USD,Seagate,ST5000LM000,0763649078969,00763649078969,"2.5""",5 TB,5400,128,https://www.amazon.ca/Seagate-BarraCuda-Internal-Hard-Drive/dp/B01M0AADIX?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01M0AADIX
Seagate BarraCuda Hard Drive 6 TB,$137.08 USD,Seagate,ST6000DM003,0763649094426,763649094426,"3.5""",6 TB,5400,256,https://www.amazon.ca/dp/B075WX2TKM?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Seagate BarraCuda Hard Drive 8 TB,$141.44 USD,Seagate,ST8000DM004,0763649094419,763649094419,"3.5""",8 TB,5400,256,https://www.amazon.ca/Seagate-Barracuda-Internal-3-5-Inch-ST8000DM004/dp/B075WYBQXJ?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B075WYBQXJ
Seagate BarraCuda Pro Hard Drive,,Seagate,ST4000DM006,0763649100783,763649114643,"3.5""",4 TB,7.2,128,
Seagate BarraCuda Pro Hard Drive,,Seagate,ST6000DM004,0763649098165,763649110843,"3.5""",6 TB,7.2,256,
Seagate BarraCuda Pro Hard Drive,$293.69 USD,Seagate,ST8000DM0004,0763649116401,763649116401,"3.5""",8 TB,7.2,256,https://www.amazon.ca/Seagate-ST8000DM0004-Drives-Cache-Internal/dp/B06Y6CCSVW?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B06Y6CCSVW
Seagate BarraCuda Pro Hard Drive 1 TB,$58.02 USD,Seagate,ST1000LM049,0763649115756,763649115756,"2.5""",1 TB,7200,128,https://www.amazon.ca/Seagate-ST1000LM049-Drives-Cache-Internal/dp/B078TJ17QF?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B078TJ17QF
Seagate BarraCuda Pro Hard Drive 12 TB,$436.31 USD,Seagate,ST12000DM0007,0763649103197,763649117330,"3.5""",12 TB,7200,256,https://www.amazon.ca/Seagate-ST12000DM0007-Drives-12000-Internal/dp/B078SXT4ZK?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B078SXT4ZK
Seagate BarraCuda Pro Hard Drive 14 TB,$558.53 USD,Seagate,ST14000DM001,8719706004305,,"3.5""",14 TB,7200,256,https://www.amazon.ca/Seagate-Barracuda-Internal-Drive-Performance/dp/B07H7C4DXR?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B07H7C4DXR
Seagate BarraCuda Pro Hard Drive 2 TB,,Seagate,ST2000DM009,0763649100776,763649114636,"3.5""",2 TB,7200,128,
Seagate BarraCuda Pro Hard Drive ST10000DM0004,,Seagate,ST10000DM0004,8592978058906,,,10 TB,7200,,
Seagate BarraCuda Pro Hard Drive ST8000DM005,,Seagate,ST8000DM005,0763649098158,763649110836,,8 TB,7200,,
Seagate Desktop Hard Drive ST3000DM001,,Seagate,ST3000DM001,7636490025938,,,3 TB,7200,,
Seagate Desktop Hard Drive ST5000DM002,,Seagate,ST5000DM002,8592978041731,,,5 TB,7200,,
Seagate Desktop Hard Drive ST6000DM001,$205.72 USD,Seagate,ST6000DM001,8592978042073,00763649075821,,6 TB,7200,,https://www.amazon.ca/Seagate-Desktop-3-5-Inch-Internal-ST6000DM001/dp/B013JPKYQC?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B013JPKYQC
Seagate Enterprise Capacity ST1000NM0008,$62.19 USD,Seagate,ST1000NM0008,0763649098509,,,1 TB,7200,,https://www.amazon.ca/dp/B01N76CZII?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Seagate Enterprise Capacity ST1000NM0055,$82.08 USD,Seagate,ST1000NM0055,7636490069345,763649070796,,1 TB,7200,,https://www.amazon.ca/dp/B01CG0DF2G?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Seagate Enterprise Capacity ST1000NX0313,$174.08 USD,Seagate,ST1000NX0313,7636490043505,763649044957,,1 TB,7200,,https://www.amazon.ca/dp/B00Q46QUU8?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Seagate Enterprise Capacity ST2000NM0033,,Seagate,ST2000NM0033,8592978004613,,,2 TB,7200,,
Seagate Enterprise Capacity ST2000NM0055,$90.23 USD,Seagate,ST2000NM0055,8592978061999,763649070789,,2 TB,7200,,https://www.amazon.ca/Seagate-Enterprise-2TB-ST2000NM0055-7200RPM/dp/B01CG0DCWE?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01CG0DCWE
Seagate Enterprise Capacity ST2000NX0253,$301.75 USD,Seagate,ST2000NX0253,8592978040918,763649044919,,2 TB,7200,,https://www.amazon.ca/dp/B00Q46R8K4?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Seagate Enterprise Capacity ST4000NM0115,$179.1 USD,Seagate,ST4000NM0115,8592978070304,763649115015,,4 TB,7200,,https://www.amazon.ca/Seagate-SEADX-ST4000NM0115-Hard-Drives/dp/B01N2OGNDU?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01N2OGNDU
Seagate Enterprise Hard Drive,,Seagate,ST4000NM0033,7636490028557,,,4 TB,7200,,
Seagate Enterprise Hard Drive,,Seagate,ST6000NM0024,7636490047893,763649049341,,6 TB,7200,,
Seagate Enterprise Hard Drive,,Seagate,ST3000NM0033,7636490028571,,,3 TB,7200,,
Seagate Enterprise Hard Drive v5,$224.86 USD,Seagate,ST6000NM0115,7636490068744,763649070192,,6 TB,7200,6,https://www.amazon.ca/dp/B01CG0DCTC?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Seagate Enterprise NAS Hard Drive ST2000VN0001 2TB 7200rpm 128MB,,Seagate,ST2000VN0001,7636490062636,,,2 TB,7200,,
Seagate Enterprise NAS Hard Drive ST4000VN0001 4TB 7200rpm 128MB,,Seagate,ST4000VN0001,8592978031695,,,4 TB,7200,,
Seagate Enterprise NAS Hard Drive ST5000VN0001 5TB 7200rpm 128MB,,Seagate,ST5000VN0001,7636490062605,,,5 TB,7200,,
Seagate Enterprise NAS Hard Drive ST6000VN0001 6TB 7200rpm 128MB,,Seagate,ST6000VN0001,8592978031718,,,6 TB,7200,,
Seagate Enterprise NAS Hard Drive ST8000NE0001 8TB 7200rpm 128MB,,Seagate,ST8000NE0001,7636490071645,,,8 TB,7200,,
Seagate Exos 7E2 Hard Drive 2 TB,$104.45 USD,Seagate,ST2000NM0008,0763649098523,763649111284,"3.5""",2 TB,7200,128,https://www.amazon.ca/Seagate-ST2000NM0008-Drives-Cache-Internal/dp/B01N95NM6L?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01N95NM6L
Seagate Exos 7E8 Hard Drive 2 TB,,Seagate,ST2000NM001A,8719706015684,,"3.5""",2 TB,7200,256,
Seagate Exos 7E8 Hard Drive 4 TB,$166.83 USD,Seagate,ST4000NM002A,8719706015899,,"3.5""",4 TB,7200,256,https://www.amazon.ca/dp/B07T4411LF?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Seagate Exos 7E8 Hard Drive 6 TB,,Seagate,ST6000NM021A,8719706015141,,"3.5""",6 TB,7200,256,
Seagate Exos 7E8 Hard Drive 8 TB,,Seagate,ST8000NM000A,8719706005616,,"3.5""",8 TB,7200,256,
Seagate Exos E 7E8 Hard Drive 8 TB,$229.6 USD,Seagate,ST8000NM0055,7636490064593,,"3.5""",8 TB,7200,256,https://www.amazon.ca/Seagate-Enterprise-Capacity-Internal-ST8000NM0055/dp/B016AG0ITU?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B016AG0ITU
Seagate Exos X10 Hard Drive 10 TB,,Seagate,ST10000NM0016,7636490069741,763649071199,"3.5""",10 TB,7200,256,
Seagate Exos X14 Hard Drive 12 TB,,Seagate,ST12000NM0008,8719706007559,,"3.5""",12 TB,7200,256,
Seagate Exos X16 Hard Drive 12 TB,,Seagate,ST12000NM001G,8719706011679,,"3.5""",12 TB,7.2,256,
Seagate Exos X16 Hard Drive 14 TB,,Seagate,ST14000NM001G,0763649124130,,"3.5""",14 TB,7200,256,
Seagate Exos X16 Hard Drive 16 TB,,Seagate,ST16000NM001G,0763649124147,,"3.5""",16 TB,7200,256,
Seagate Exos X16 Hard Drive 18 TB,,Seagate,ST18000NM000J,8719706020442,,"3.5""",18 TB,7.2,256,
Seagate FireCuda SSHD,,Seagate,ST2000DX002,3660619400379,763649110270,"3.5""",2 TB,7.2,64,
Seagate FireCuda SSHD 1 TB,,Seagate,ST1000LX015,7636490067624,763649069073,"2.5""",1 TB,5400,128,
Seagate FireCuda SSHD 1 TB,$68.9 USD,Seagate,ST1000DX002,0763649110263,763649110263,"3.5""",1 TB,7200,64,https://www.amazon.ca/dp/B01IEKG484?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Seagate FireCuda SSHD 2 TB,$87.04 USD,Seagate,ST2000LX001,7636490069840,763649071298,"2.5""",2 TB,5400,128,https://www.amazon.ca/Seagate-Firecuda-2-5-Inch-Internal-ST2000LX001/dp/B01M1NHCZT?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01M1NHCZT
Seagate IronWolf Hard Drive,$215.37 USD,Seagate,ST8000VN0022,0763649110874,763649110874,"3.5""",8 TB,7.2,256,https://www.amazon.ca/dp/B01M1BUBSO?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Seagate IronWolf Hard Drive,$330.04 USD,Seagate,ST12000VN0007,0763649117347,763649117347,"3.5""",12 TB,7.2,256,https://www.amazon.ca/dp/B075XPBD5B?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Seagate IronWolf Hard Drive 1 TB,$50.04 USD,Seagate,ST1000VN002,8719706002370,763649110683,"3.5""",1 TB,5900,64,https://www.amazon.ca/dp/B01LOOJ8R6?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Seagate IronWolf Hard Drive 10 TB,,Seagate,ST10000VN0008,0763649121764,,"3.5""",10 TB,7200,256,
Seagate IronWolf Hard Drive 12 TB,,Seagate,ST12000VN0008,0763649121757,,"3.5""",12 TB,7200,256,
Seagate Ironwolf Hard Drive 14 TB,$471.49 USD,Seagate,ST14000VN0008,8719706004343,763649121740,"3.5""",14 TB,7200,256,https://www.amazon.ca/Seagate-IronWolf-14TB-Internal-Drive/dp/B07H7CW4YT?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B07H7CW4YT
Seagate IronWolf Hard Drive 16 TB,,Seagate,ST16000VN001,8719706008686,,"3.5""",16 TB,5900,256,
Seagate IronWolf Hard Drive 6 TB,,Seagate,ST6000VN001,0763649079416,,"3.5""",6 TB,5400,256,
Seagate IronWolf Hard Drive 6 TB,$166.83 USD,Seagate,ST6000VN0033,8719706003674,763649110805,"3.5""",6 TB,7200,256,https://www.amazon.ca/dp/B0767P5BYT?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Seagate IronWolf Hard Drive 8 TB,$177.71 USD,Seagate,ST8000VN004,0763649125069,,"3.5""",8 TB,7200,256,https://www.amazon.ca/dp/B084ZV4DXB?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Seagate IronWolf NAS Hard Drive ST10000VN0004,$338.73 USD,Seagate,ST10000VN0004,8592978067694,763649089248,,10 TB,7200,,https://www.amazon.ca/dp/B01IA9GU0Q?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Seagate IronWolf NAS Hard Drive ST2000VN004,$78.33 USD,Seagate,ST2000VN004,8592978061562,,,2 TB,5900,,https://www.amazon.ca/Seagate-IronWolf-Internal-Hard-Drive/dp/B01LOOJ8T4?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01LOOJ8T4
Seagate IronWolf NAS Hard Drive ST3000VN007,$94.29 USD,Seagate,ST3000VN007,8592978061548,763649110706,,3 TB,5900,,https://www.amazon.ca/dp/B01LOOJBRI?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Seagate IronWolf NAS Hard Drive ST4000VN008,$107.34 USD,Seagate,ST4000VN008,8592978061531,763649110560,,4 TB,5900,,https://www.amazon.ca/dp/B01LOOJBQY?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Seagate IronWolf NAS Hard Drive ST6000VN0041,$157.4 USD,Seagate,ST6000VN0041,0763649110881,763649110881,,6 TB,7200,,https://www.amazon.ca/dp/B01LZDFMWQ?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Seagate IronWolf Pro Hard Drive,$144.34 USD,Seagate,ST4000NE0025,0763649098554,763649111314,"3.5""",4 TB,7.2,128,https://www.amazon.ca/dp/B01N98UJSD?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Seagate IronWolf Pro Hard Drive,$207.04 USD,Seagate,ST6000NE0023,0763649111321,763649111321,"3.5""",6 TB,7.2,256,https://www.amazon.ca/Seagate-IronWolf-ST6000NE0023-Internal-Drive/dp/B075V6G82S?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B075V6G82S
Seagate IronWolf Pro Hard Drive,$269.11 USD,Seagate,ST8000NE0004,0763649116104,763649116104,"3.5""",8 TB,7.2,256,https://www.amazon.ca/Seagate-IronWolf-RAID-Internal-Drive/dp/B071JNJFBW?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B071JNJFBW
Seagate IronWolf Pro Hard Drive,$514.18 USD,Seagate,ST12000NE0007,0763649103210,763649117354,"3.5""",12 TB,7.2,256,https://www.amazon.ca/dp/B075XNQYV1?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Seagate IronWolf Pro Hard Drive 10 TB,,Seagate,ST10000NE0008,0763649121795,,"3.5""",10 TB,7200,256,
Seagate IronWolf Pro Hard Drive 12 TB,$412.46 USD,Seagate,ST12000NE0008,0763649121788,,"3.5""",12 TB,7200,256,https://www.amazon.ca/dp/B07J3212N5?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Seagate IronWolf Pro Hard Drive 14 TB,,Seagate,ST14000NE0008,8719706004374,,"3.5""",14 TB,7200,256,
Seagate IronWolf Pro Hard Drive 16 TB,,Seagate,ST16000NE000,8719706008730,,"3.5""",16 TB,7200,256,
Seagate IronWolf Pro Hard Drive 4 TB,,Seagate,ST4000NE001,0763649125137,,"3.5""",4 TB,7200,128,
Seagate IronWolf Pro Hard Drive 8 TB,,Seagate,ST6000NE000,8719706006026,,"3.5""",8 TB,7200,256,
Seagate IronWolf Pro Hard Drive 8 TB,,Seagate,ST8000NE001,8719706009867,,"3.5""",8 TB,7200,256,
Seagate IronWolf Pro NAS Hard Drive ST10000NE0004 10TB 7200rpm 256MB,$324.96 USD,Seagate,ST10000NE0004,8592978063610,,,10 TB,7200,,https://www.amazon.ca/dp/B01M4FU8Y3?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Seagate IronWolf Pro NAS Hard Drive ST2000NE0025 2TB 7200rpm 128MB,$103.0 USD,Seagate,ST2000NE0025,0763649111307,,,2 TB,7200,,https://www.amazon.ca/Seagate-IronWolf-Internal-Hard-Drive/dp/B01N2L30Y1?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01N2L30Y1
Seagate IronWolf Pro NAS Hard Drive ST6000NE0021 6TB 7200rpm 256MB,,Seagate,ST6000NE0021,0763649098226,763649110904,,6 TB,7200,,
Seagate IronWolf Pro NAS Hard Drive ST8000NE0021 8TB 7200rpm 256MB,,Seagate,ST8000NE0021,0763649098233,,,8 TB,7200,,
Seagate Mobile Hard Drive,,Seagate,ST1000LM035,7636490060670,,,1 TB,5400,128,
Seagate Mobile Hard Drive,,Seagate,ST2000LM007,7636490060656,,,2 TB,5400,128,
Seagate NAS Hard Drive ST2000VN000 2TB 5900rpm 64MB,,Seagate,ST2000VN000,8592978052652,,,2 TB,5900,,
Seagate SkyHawk Hard Drive,,Seagate,ST3000VX010,0763649097991,763649110676,"3.5""",3 TB,7.2,64,
Seagate SkyHawk Hard Drive,$206.62 USD,Seagate,ST10000VX0004,7636490076558,763649089231,"3.5""",10 TB,7.2,256,https://www.amazon.ca/dp/B07N33PYN4?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Seagate SkyHawk Hard Drive 3 TB,,Seagate,ST3000VX009,8719706002929,,"3.5""",3 TB,5900,256,
Seagate SkyHawk Hard Drive 4 TB,$123.5 USD,Seagate,ST4000VX007,0763649097953,763649110638,"3.5""",4 TB,7200,64,https://www.amazon.ca/dp/B01L1V9X5Y?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Seagate SkyHawk Hard Drive 6 TB,,Seagate,ST6000VX001,0763649092132,,"3.5""",6 TB,5.9,256,
Seagate SkyHawk Hard Drive 8 TB,,Seagate,ST8000VX0022,0763649110850,763649110850,"3.5""",8 TB,7200,256,
Seagate Skyhawk Hard Drive 8 TB,,Seagate,ST8000VX004,8719706009805,,"3.5""",8 TB,7.2,256,
Seagate SkyHawk Hard Drive ST1000VX005,$50.04 USD,Seagate,ST1000VX005,8592978061524,763649110652,,1 TB,7200,,https://www.amazon.ca/dp/B01LOOJ8R6?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Seagate SkyHawk Hard Drive ST2000VX008,$64.91 USD,Seagate,ST2000VX008,8592978061555,,,2 TB,7200,,https://www.amazon.ca/Seagate-SkyHawk-Surveillance-Internal-Drive/dp/B01LOOJ8QM?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01LOOJ8QM
Seagate SkyHawk Hard Drive ST6000VX0023,$182.94 USD,Seagate,ST6000VX0023,8592978062361,763649110812,,6 TB,7200,,https://www.amazon.ca/SEAGATE-ST6000VX0023-Skyhawk-Internal-Drive/dp/B01M5FSTXY?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01M5FSTXY
Seagate Surveillance Hard Drive,,Seagate,ST3000VX000,7636490030635,,,3 TB,7200,,
Seagate Surveillance Hard Drive ST1000VX000,,Seagate,ST1000VX000,0715663215639,,,1 TB,7200,,
Seagate Surveillance Hard Drive ST1000VX003,,Seagate,ST1000VX003,7636490063039,,,1 TB,5900,,
Seagate Surveillance Hard Drive ST2000VX000,$95.72 USD,Seagate,ST2000VX000,8592978011635,,,2 TB,7200,,https://www.amazon.ca/Seagate-Sv35-3-5-Inch-ST2000VX000-Black/dp/B007JUFKM2?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B007JUFKM2
Seagate Surveillance Hard Drive ST4000VX000,$125.9 USD,Seagate,ST4000VX000,8592978012670,,,4 TB,5900,,https://www.amazon.ca/Seagate-Surveillance-3-5-Inch-Internal-ST4000VX000/dp/B00JW53C5Y?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B00JW53C5Y
Seagate Surveillance Hard Drive ST8000VX0002,,Seagate,ST8000VX0002,8592978049249,,,8 TB,7200,,
Seagate Video 3.5 Hard Drive ST2000VM003,,Seagate,ST2000VM003,8592978029258,,,2 TB,5900,,
Toshiba Cloud Hard Drive MC04ACA200E 2TB 128MB,,Toshiba,MC04ACA200E,4949268790857,,,2 TB,7200,,
Toshiba Cloud Hard Drive MC04ACA300E 3TB 128MB,,Toshiba,MC04ACA300E,4053162588240,,,3 TB,7200,,
Toshiba Enterprise MG03SCA300 3TB 64MB SAS,,Toshiba,MG03SCA300,0163120879960,,,3 TB,7200,,
Toshiba N300 HDWN160EZSTA 6TB 128MB,,Toshiba,HDWN160EZSTA,4051528312669,,,6 TB,7200,,
Toshiba N300 HDWN160UZSVA 6TB 128MB Bulk,,Toshiba,HDWN160UZSVA,4051528328257,,,6 TB,7200,,
Toshiba N300 HDWN180EZSTA 8TB 128MB,,Toshiba,HDWN180EZSTA,4051528312652,,,8 TB,7200,,
Toshiba N300 HDWN180UZSVA 8TB 128MB Bulk,,Toshiba,HDWN180UZSVA,4051528328264,,,8 TB,7200,,
Toshiba N300 HDWQ140EZSTA 4TB 128MB,,Toshiba,HDWQ140EZSTA,4051528312676,,,4 TB,7200,,
Toshiba N300 HDWQ140UZSVA 4TB 128MB Bulk,,Toshiba,HDWQ140UZSVA,4051528328240,,,4 TB,7200,,
Toshiba P300 1 TB,,Toshiba,HDWD110UZSVA,4051528216707,,"3.5""",1 TB,7200,64,
Toshiba P300 2 TB,,Toshiba,HDWD120UZSVA,4051528216714,,"3.5""",2 TB,7200,64,
