Name,Price,Producer,MPN,EAN,UPC,Ram Type,Size,Clock,Timings,Sticks,Product Page
Ballistix Sport DDR3-1600 CL9,,Ballistix,BLS2CP8G3D1609DS1S00,0649528757777,,DDR3-1600,16 GB,1600,,2,
Ballistix Sport DDR4-2400 CL16,,Ballistix,BLS4G4D240FSA,0649528769633,,DDR4-2400,4 GB,2400,,1,
Ballistix Sport DDR4-2400 CL16,$51.34 USD,Ballistix,BLS8G4D240FSA,0649528769640,,DDR4-2400,8 GB,2400,,1,https://www.amazon.ca/Ballistix-PC4-19200-Unbuffered-288-Pin-BLS8G4D240FSA/dp/B00MTSWG30?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B00MTSWG30
Ballistix Sport LT DDR4-2400 red CL16,,Ballistix,BLS2C16G4D240FSE,0649528777270,,DDR4-2400,32 GB,2400,,1,
Ballistix Tactical LP DDR3-1600 CL8 Low Profile,,Ballistix,BLT4G3D1608ET3LX0CEU,0649528762917,,DDR3-1600,4 GB,1600,,1,
Corsair Dominator Platinum + AF,$256.78 USD,Corsair,CMD16GX4M2B3600C18,0843591090681,843591090681,DDR4-3600,16 GB,3600,18-19-19-39,2,https://www.amazon.ca/CORSAIR-Dominator-Platinum-3600MHz-Desktop/dp/B01G260XKC?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01G260XKC
Corsair Dominator Platinum DDR4-2666 CL15,$213.04 USD,Corsair,CMD32GX4M2A2666C15,0843591069847,843591069847,DDR4-2666,32 GB,2666,,1,https://www.amazon.ca/CORSAIR-Dominator-Platinum-2666MHz-Desktop/dp/B017NW5KXE?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B017NW5KXE
Corsair Dominator Platinum RGB Series,$92.75 USD,Corsair,CMT16GX4M2Z3200C16,0840006609452,,DDR4-3200,16 GB,3200,16-18-18-36,2,https://www.amazon.ca/dp/B07N3HHLN1?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Corsair Dominator Platinum RGB Series,$111.69 USD,Corsair,CMT16GX4M2C3600C18,0840006607311,,DDR4-3600,16 GB,3600,18-19-19-39,2,https://www.amazon.ca/dp/B07N3HCWJG?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Corsair Dominator Platinum RGB Series,$133.69 USD,Corsair,CMT32GX4M2C3200C16,0840006607342,,DDR4-3200,32 GB,3200,16-18-18-36,2,https://www.amazon.ca/dp/B07N3LDKR1?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Corsair Dominator Platinum RGB Series,$145.07 USD,Corsair,CMT16GX4M2C3200C16,0840006607304,,DDR4-3200,16 GB,3200,16-18-18-36,2,https://www.amazon.ca/dp/B07N3HT852?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Corsair Dominator Platinum RGB Series,$297.4 USD,Corsair,CMT32GX4M4Z3200C16,0840006609476,,DDR4-3200,32 GB,3200,16-18-18-36,2,https://www.amazon.ca/dp/B07N3HBQSY?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Corsair Dominator Platinum Series 16GB,,Corsair,CMD16GX4M2B3200C14,0843591092715,843591092715,DDR4-3200,16 GB,3200,14-16-16-36,2,
Corsair Dominator Platinum Series 16GB,$262.93 USD,Corsair,CMD16GX4M2B3466C16,0843591029780,843591029780,DDR4-3466,16 GB,3466,16-18-18-36,2,https://www.amazon.ca/CORSAIR-Dominator-Platinum-3466MHz-Desktop/dp/B06ZYWT6NM?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B06ZYWT6NM
Corsair Dominator Platinum Series 32GB,$244.44 USD,Corsair,CMD32GX4M2C3200C16,0843591084703,843591084703,DDR4-3200,32 GB,3200,16-18-18-36,2,https://www.amazon.ca/dp/B01BGZEWO2?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Corsair Dominator Platinum Series DDR4-3200,$108.8 USD,Corsair,CMD16GX4M2B3200C16,0843591073073,,DDR4-3200,16 GB,3200,16-18-18-36,2,https://www.amazon.ca/dp/B018GK2G9S?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Corsair LED 32GB,$272.78 USD,Corsair,CMU32GX4M2C3200C16,0843591090346,843591090346,DDR4-3200,32 GB,3200,16-18-18-36,2,https://www.amazon.ca/CORSAIR-VENGEANCE-2x16GB-3200MHz-Desktop/dp/B01HKF3RMK?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01HKF3RMK
Corsair LPX 16GB,,Corsair,CMK16GX4M2A2800C16,0843591070805,843591070805,DDR4-2800,16 GB,2800,16-18-18-36,2,
Corsair LPX 16GB,,Corsair,CMK16GX4M2B3200C14R,0843591089951,843591089951,DDR4-3200,16 GB,3200,14-16-16-36,2,
Corsair LPX 16GB,$81.23 USD,Corsair,CMK16GX4M2B3000C15B,6907502584073,843591071239,DDR4-3000,16 GB,3000,15-17-17-35,2,https://www.amazon.ca/Corsair-Vengeance-3000MHz-Systems-CMK16GX4M2B3000C15B/dp/B014JESKRW?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B014JESKRW
Corsair LPX 16GB,$97.92 USD,Corsair,CMK16GX4M2Z2666C16,0843591028479,843591028479,DDR4-2666,16 GB,2666,16-18-18-35,2,https://www.amazon.ca/dp/B06XRDVY76?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Corsair LPX 16GB,$119.68 USD,Corsair,CMK16GX4M2A2400C16R,6907502583564,843591082884,DDR4-2400,16 GB,2400,16-16-16-39,2,https://www.amazon.ca/dp/B07XN8WYBC?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Corsair LPX 32GB,$76.16 USD,Corsair,CMK32GX4M2A2400C16,0843591085564,843591085564,DDR4-2400,32 GB,2400,16-16-16-39,2,https://www.amazon.ca/dp/B01CYILUB8?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Corsair LPX 32GB,$134.13 USD,Corsair,CMK32GX4M2B3200C16,0843591070492,843591070492,DDR4-3200,32 GB,3200,16-18-18-36,2,https://www.amazon.ca/dp/B016ORTNI2?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Corsair LPX 32GB,$143.81 USD,Corsair,CMK32GX4M2A2400C14R,0843591070577,843591070577,DDR4-2400,32 GB,2400,14-16-16-31,2,https://www.amazon.ca/dp/B014JESOQE?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Corsair LPX 32GB,$149.95 USD,Corsair,CMK32GX4M2B3466C16R,0843591094139,843591094139,DDR4-3466,32 GB,3466,16-18-18-36,2,https://www.amazon.ca/Corsair-Vengeance-PC4-27700-Intel-CMK32GX4M2B3466C16R/dp/B01LY6RF71?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01LY6RF71
Corsair RGB 16GB,$137.81 USD,Corsair,CMR16GX4M2C3200C16,0843591097208,843591097208,DDR4-3200,16 GB,3200,16-18-18-36,2,https://www.amazon.ca/CORSAIR-Vengeance-3200MHz-Desktop-Memory/dp/B071RYZRJD?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B071RYZRJD
Corsair Value Select DDR3-1600 CL11,$76.16 USD,Corsair,CMV16GX3M2A1600C11,0843591036078,,DDR3-1600,16 GB,1600,,2,https://www.amazon.ca/Corsair-1600MHz-Desktop-Memory-CMV16GX3M2A1600C11/dp/B009M0TF3W?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B009M0TF3W
Corsair Value Select DDR4-2133 CL15 black,$21.75 USD,Corsair,CMV4GX4M1A2133C15,0843591052962,,DDR4-2133,4 GB,2133,,1,https://www.amazon.ca/dp/B00SV7IIOE?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Corsair ValueSelect DDR3-1600 CL11,$23.2 USD,Corsair,CMV4GX3M1A1600C11,0843591034098,843591034098,DDR3-1600,4 GB,1600,,1,https://www.amazon.ca/dp/B009CILPRI?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Corsair ValueSelect DDR3-1600 CL11,$35.47 USD,Corsair,CMV8GX3M1A1600C11,0843591036061,,DDR3-1600,8 GB,1600,,1,https://www.amazon.ca/Corsair-Ddr3-8gb-1600-1x240dim/dp/B009M0TEXS?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B009M0TEXS
Corsair Vengeance DDR3-1866 CL10,,Corsair,CMZ32GX3M4X1866C10,0843591012942,,DDR3-1866,32 GB,1866,,4,
Corsair Vengeance LED blue DDR4-3000 CL15,$582.97 USD,Corsair,CMU64GX4M4C3000C15B,0843591095617,843591095617,DDR4-3000,64 GB,3000,,1,https://www.amazon.ca/CORSAIR-Vengeance-4x16GB-3000MHz-Desktop/dp/B01M1GDP37?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01M1GDP37
Corsair Vengeance LED blue DDR4-3200 CL16,$145.57 USD,Corsair,CMU16GX4M2C3200C16B,0843591095563,843591095563,DDR4-3200,16 GB,3200,,2,https://www.amazon.ca/CORSAIR-VENGEANCE-3200MHz-Desktop-Memory/dp/B01M0GSOYC?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01M0GSOYC
Corsair Vengeance LED red DDR4-2666 CL16,$205.03 USD,Corsair,CMU32GX4M4A2666C16R,0843591090391,843591090391,DDR4-2666,32 GB,2666,,4,https://www.amazon.ca/CORSAIR-VENGEANCE-2666MHz-Desktop-Memory/dp/B01HKF58A4?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01HKF58A4
Corsair Vengeance LED red DDR4-2666 CL16,$211.24 USD,Corsair,CMU32GX4M2A2666C16R,0843591090315,843591090315,DDR4-2666,32 GB,2666,,1,https://www.amazon.ca/CORSAIR-Vengeance-2x16GB-2666MHz-Desktop/dp/B01HKF5BN8?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01HKF5BN8
Corsair Vengeance LED red DDR4-3000 CL15,$628.18 USD,Corsair,CMU64GX4M4C3000C15R,0843591090759,843591090759,DDR4-3000,64 GB,3000,,1,https://www.amazon.ca/CORSAIR-VENGEANCE-4x16GB-3000MHz-Desktop/dp/B01HKF3TXM?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01HKF3TXM
Corsair Vengeance LED red DDR4-3200 CL16,$144.94 USD,Corsair,CMU16GX4M2C3200C16R,0843591090278,843591090278,DDR4-3200,16 GB,3200,,2,https://www.amazon.ca/CORSAIR-Vengeance-3200MHz-Desktop-Memory/dp/B01HKF450S?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01HKF450S
Corsair Vengeance LED white DDR4-2666 CL16,$215.4 USD,Corsair,CMU32GX4M2A2666C16,0843591090308,843591090308,DDR4-2666,32 GB,2666,,1,https://www.amazon.ca/CORSAIR-Vengeance-2x16GB-2666MHz-Desktop/dp/B01HKF53D6?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01HKF53D6
Corsair Vengeance LED white DDR4-2666 CL16,$220.43 USD,Corsair,CMU32GX4M4A2666C16,0843591090384,843591090384,DDR4-2666,32 GB,2666,,4,https://www.amazon.ca/CORSAIR-VENGEANCE-2666MHz-Desktop-Memory/dp/B01HKF4ER2?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01HKF4ER2
Corsair Vengeance LED white DDR4-2666 CL16,$468.81 USD,Corsair,CMU64GX4M4A2666C16,0843591090452,843591090452,DDR4-2666,64 GB,2666,,1,https://www.amazon.ca/CORSAIR-Vengeance-4x16GB-2666MHz-Desktop/dp/B01HKF3W5W?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01HKF3W5W
Corsair Vengeance LED white DDR4-3000 CL15,$646.03 USD,Corsair,CMU64GX4M4C3000C15,0843591090742,843591090742,DDR4-3000,64 GB,3000,,1,https://www.amazon.ca/CORSAIR-VENGEANCE-4x16GB-3000MHz-Desktop/dp/B01HKF559I?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01HKF559I
Corsair Vengeance LED white DDR4-3200 CL16,$135.13 USD,Corsair,CMU16GX4M2C3200C16,0843591090261,843591090261,DDR4-3200,16 GB,3200,,2,https://www.amazon.ca/CORSAIR-Vengeance-3200MHz-Desktop-Memory/dp/B01HKF479C?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01HKF479C
Corsair Vengeance Low DDR3-1600 CL10 Low Profile,$78.16 USD,Corsair,CML16GX3M2A1600C10,0843591022408,,DDR3-1600,16 GB,1600,,2,https://www.amazon.ca/dp/B007TG8QRW?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Corsair Vengeance Low DDR3-1600 CL9 Low Profile blue,$67.72 USD,Corsair,CML8GX3M2A1600C9B,0843591014397,,DDR3-1600,8 GB,1600,,2,https://www.amazon.ca/Ven-Ddr3-2x4gb-1600mhz-Blue/dp/B0058J1Q7O?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B0058J1Q7O
Corsair Vengeance Low Profile Black DDR3-1600 CL9,,Corsair,CML8GX3M2C1600C9,0843591058599,843591058599,DDR3-1600,8 GB,1600,,2,
Corsair Vengeance Low Profile DDR3-1600 CL109,$65.75 USD,Corsair,CML16GX3M2A1600C10B,0843591036122,843591036122,DDR3-1600,16 GB,1600,,2,https://www.amazon.ca/Ven-Ddr3-2x8gb-1600mhz-Blue/dp/B009M0TCHQ?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B009M0TCHQ
Corsair Vengeance Low Profile DDR3-1600 CL9,$84.86 USD,Corsair,CML16GX3M2A1600C9,0843591036733,,DDR3-1600,16 GB,1600,,2,https://www.amazon.ca/Corsair-Vengeance-Desktop-Memory-CML16GX3M2A1600C9/dp/B009YOJZ5E?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B009YOJZ5E
Corsair Vengeance Low Profile DDR3-1600 CL9,$109.3 USD,Corsair,CML16GX3M4A1600C9,0843591014274,843591014274,DDR3-1600,16 GB,1600,,4,https://www.amazon.ca/Vengeance-1600mhz-Pc3-12800-9-9-9-24-Unbuffe/dp/B0058J1QII?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B0058J1QII
Corsair Vengeance LPX Black DDR4-2133 CL13,$68.69 USD,Corsair,CMK16GX4M4A2133C13,0843591055048,,DDR4-2133,16 GB,2133,,4,https://www.amazon.ca/Corsair-CMK16GX4M4A2133C13-Vengeance-2133MHz-Systems/dp/B00PLER544?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B00PLER544
Corsair Vengeance LPX Black DDR4-2133 CL13,$464.55 USD,Corsair,CMK64GX4M8A2133C13,0843591055079,,DDR4-2133,64 GB,2133,,8,https://www.amazon.ca/Corsair-Vengeance-2133MHz-PC4-17000-CMK64GX4M8A2133C13/dp/B00PTT3Z5Y?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B00PTT3Z5Y
Corsair Vengeance LPX Black DDR4-2133 CL15,$304.24 USD,Corsair,CMK32GX4M4A2133C15,0843591051354,,DDR4-2133,32 GB,2133,,4,https://www.amazon.ca/Corsair-Vengeance-2133MHz-PC4-17000-Systems/dp/B00T7XSC2O?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B00T7XSC2O
Corsair Vengeance LPX Black DDR4-2666 CL16,$399.11 USD,Corsair,CMK128GX4M8A2666C16,0843591083058,843591083058,DDR4-2666,128 GB,2666,,1,https://www.amazon.ca/dp/B019HVRT5G?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Corsair Vengeance LPX Black DDR4-3000 CL15,$195.14 USD,Corsair,CMK16GX4M4B3000C15,0843591056274,,DDR4-3000,16 GB,3000,,4,https://www.amazon.ca/Corsair-Vengeance-3000MHz-PC4-24000-CMK16GX4M4B3000C15/dp/B00QXT5MNM?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B00QXT5MNM
Corsair Vengeance LPX blue DDR4-3000 CL15,,Corsair,CMK16GX4M4B3000C15B,0843591071512,843591071512,DDR4-3000,16 GB,3000,,4,
Corsair Vengeance LPX Blue DDR4-2400 CL14,$220.22 USD,Corsair,CMK32GX4M4A2400C14B,0843591058308,,DDR4-2400,32 GB,2400,,4,https://www.amazon.ca/dp/B00T7XSBUM?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Corsair Vengeance LPX DDR4-2400 CL16,$152.32 USD,Corsair,CMK32GX4M4A2400C16,0843591072250,,DDR4-2400,32 GB,2400,,4,https://www.amazon.ca/dp/B016BWEQYG?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
"Corsair Vengeance LPX red + AF, DDR4-3600, CL 18 - 16 GB Dual Kit",$223.13 USD,Corsair,CMK16GX4M2B3600C18R,0843591084475,843591084475,DDR4-3600,16 GB,3600,18-19-19-39,2,https://www.amazon.ca/Corsair-Vengeance-3600MHz-PC4-28800-CMK16GX4M2B3600C18R/dp/B01AKWRX2K?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01AKWRX2K
Corsair Vengeance LPX red DDR4-2133 CL13,$83.41 USD,Corsair,CMK16GX4M4A2133C13R,0843591055055,,DDR4-2133,16 GB,2133,,4,https://www.amazon.ca/dp/B00PLER4WC?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Corsair Vengeance LPX red DDR4-2133MHz CL13,$68.9 USD,Corsair,CMK16GX4M2A2133C13R,0843591069694,,DDR4-2133,16 GB,2133,,2,https://www.amazon.ca/dp/B0123ZCAKW?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Corsair Vengeance LPX red DDR4-2400MHz CL14,$26.27 USD,Corsair,CMK4GX4M1A2400C14R,0843591058162,,DDR4-2400,4 GB,2400,,1,https://www.amazon.ca/Corsair-Vengeance-2400MHz-Memory-Systems/dp/B00UVN2C2A?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B00UVN2C2A
Corsair Vengeance LPX red DDR4-2666 CL16,$39.89 USD,Corsair,CMK8GX4M1A2666C16R,0843591069717,,DDR4-2666,8 GB,2666,,1,https://www.amazon.ca/dp/B0123ZASHO?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Corsair Vengeance LPX red DDR4-3000MHz CL15,,Corsair,CMK8GX4M2B3000C15R,0843591069724,,DDR4-3000,8 GB,3000,,2,
Corsair Vengeance LPX black + AF,$108.8 USD,Corsair,CMK16GX4M2B3600C18,0843591084451,,DDR4-3600,16 GB,3600,18-19-19-39,2,https://www.amazon.ca/dp/B01AKWSUOU?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Corsair Vengeance LPX black DDR4-2400 CL16,$139.98 USD,Corsair,CMK16GX4M4A2400C16,0843591072236,843591072236,DDR4-2400,16 GB,2400,,4,https://www.amazon.ca/Corsair-Vengeance-4x4GB-Memory-Systems/dp/B016BWEPBK?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B016BWEPBK
Corsair Vengeance LPX black DDR4-2400MHz CL14,$39.21 USD,Corsair,CMK4GX4M1A2400C14,0843591058155,,DDR4-2400,4 GB,2400,,1,https://www.amazon.ca/Corsair-Vengeance-Memory-PC4-19200-CMK4GX4M1A2400C14/dp/B00UVN2BO4?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B00UVN2BO4
Corsair Vengeance LPX black DDR4-2666MHz CL16,$27.71 USD,Corsair,CMK8GX4M1A2666C16,0843591069564,,DDR4-2666,8 GB,2666,,1,https://www.amazon.ca/dp/B0123ZAQJE?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Corsair Vengeance LPX black DDR4-2800 CL14,,Corsair,CMK16GX4M2B2800C14,0843591071925,843591071925,DDR4-2800,16 GB,2800,,2,
Corsair Vengeance LPX black DDR4-3333 CL16,,Corsair,CMK16GX4M2B3333C16,0843591071901,843591071901,DDR4-3333,16 GB,3333,,2,
"Corsair Vengeance LPX Series red DDR4-2666, CL15 - 16 GB Kit",,Corsair,CMK16GX4M4A2666C15R,0843591055420,,DDR4-2666,16 GB,2666,15-17-17-35,4,
"Corsair Vengeance LPX Series red DDR4-2666, CL16 - 16 GB Quad Kit",$102.05 USD,Corsair,CMK16GX4M4A2666C16R,0843591056410,,DDR4-2666,16 GB,2666,16-18-18-35,4,https://www.amazon.ca/dp/B00OTJZO8Q?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Corsair Vengeance LPX Series red DDR4-3200,,Corsair,CMK16GX4M2B3200C16R,0843591070478,,DDR4-3200,16 GB,3200,16-18-18-36,2,
"Corsair Vengeance LPX Series red DDR4-3466, CL16 - 16 GB Kit",,Corsair,CMK16GX4M2B3466C16R,0843591083157,843591083157,DDR4-3466,16 GB,3466,16-18-18-36,2,
"Corsair Vengeance LPX Series black DDR4-2400, CL14 - 32 GB Kit",$182.79 USD,Corsair,CMK32GX4M4A2400C14,0843591054980,,DDR4-2400,32 GB,2400,14-16-16-31,4,https://www.amazon.ca/Corsair-Vengeance-2400MHz-PC4-19200-CMK32GX4M4A2400C14/dp/B00OTJZNI2?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B00OTJZNI2
