Name,Price,Producer,MPN,EAN,UPC,Resolution,Refresh Rate,Size,Panel,Response Time,HDMI,DisplayPort,DVI,VGA,Speaker,Curved,Adjustable Height,Sync,Product Page
Acer Predator XB273UGS,,Acer,UM.HX0EE.S01,4710180720365,,2560 x 1440,165 Hz,"27""",IPS,1,0,0,0,0,True,False,True,,
Acer Predator XB281HK,,Acer,UM.PX1EE.001,4713392252372,,3840 × 2160,60 Hz,"28""",TN,1,0,0,0,0,False,False,True,,
Acer Predator XB321HK,,Acer,UM.JX1EE.001,4713392371325,,3840 × 2160,60 Hz,"32""",IPS,4,0,0,0,0,True,False,True,G-Sync,
Acer Predator Z271,,Acer,UM.HX1EE.023,4713392553707,,1920 x 1080,144 Hz,"27""",VA,4,1,1,0,0,True,True,True,G-Sync,
Acer Predator Z271U,,Acer,UM.HZ1EE.001,4713883393904,,2560 x 1440,144 Hz,"27""",TN,1,0,0,0,0,True,True,True,G-Sync,
Acer Predator Z301C,,Acer,UM.CZ1EE.001,4713392753909,,2560 x 1080,144 Hz,"29""",VA,4,1,1,0,0,True,True,True,G-Sync,
Acer Predator Z35P,,Acer,UM.CZ1EE.P01,4713883047487,,3440 x 1440,122 Hz,"35""",VA,4,0,0,0,0,True,True,True,G-Sync,
Acer ProDesigner PE270K,,Acer,UM.HP0EE.001,4713883392181,,3840 × 2160,60 Hz,"27""",IPS,4,0,0,0,0,True,False,True,FreeSync,
Acer ProDesigner PE320QK,,Acer,UM.JP0EE.001,4713883231190,,3840 × 2160,60 Hz,"31.5""",IPS,4,0,0,0,0,False,False,True,FreeSync,
Acer VG270S,,Acer,UM.HV0EE.S01,4710180695250,,1920 x 1080,165 Hz,"27""",IPS,2,0,0,0,0,True,False,False,,
Acer XF240HBMJDPR,,Acer,UM.FX0EE.001,4713392211928,,1920 x 1080,144 Hz,"27""",TN,1,1,1,0,0,False,False,True,FreeSync,
Acer XF240QP,,Acer,UM.UX0EE.P01,4710180328349,,1920 x 1080,144 Hz,"23.6""",TN,1,0,0,0,0,True,False,True,FreeSync,
Acer XF270HB,,Acer,UM.HX0EE.B09,4713883329002,,1920 x 1080,144 Hz,"27""",TN,1,0,0,0,0,True,False,True,FreeSync,
Acer XF270HBMJDPRZ,,Acer,UM.HX0EE.002,4713392211935,,1920 x 1080,144 Hz,"27""",TN,1,1,1,0,0,False,False,True,FreeSync,
Acer XF270HUA,,Acer,UM.HX0EE.A01,4713392712432,,2560 x 1440,144 Hz,"27""",IPS,4,0,0,0,0,False,False,True,FreeSync,
Acer XR382CQK,,Acer,UM.TX2EE.009,4713883327022,,3840 x 1600,122 Hz,"37.5""",IPS,5,0,0,0,0,True,True,True,FreeSync,
Acer XZ271UA,,Acer,UM.HX1EE.A18,4713883813419,,2560 x 1440,144 Hz,"27""",TN,1,0,0,0,0,True,True,True,FreeSync,
AOC 22V2Q,,AOC,22V2Q,4038986126328,,1920 x 1080,122 Hz,"21.5""",IPS,5,0,0,0,0,False,False,False,,
AOC 24G2SAE 60,,AOC,24G2SAE/BK,4038986199919,,1920 x 1080,165 Hz,"24""",VA,4,0,0,0,0,True,False,False,,
AOC 24G2SU 60,,AOC,24G2SU/BK,4038986199902,,1920 x 1080,165 Hz,"24""",VA,4,0,0,0,0,True,False,True,,
AOC 24V2Q,,AOC,24V2Q,4038986146333,,1920 x 1080,122 Hz,"23.8""",IPS,5,0,0,0,0,False,False,False,,
AOC 27B2QAM 68,,AOC,27B2QAM,4038986189972,,1920 x 1080,75 Hz,"27""",IPS,4,0,0,0,0,True,False,False,,
AOC 27V2Q,,AOC,27V2Q,4038986186346,,1920 x 1080,122 Hz,"27""",IPS,5,0,0,0,0,False,False,False,FreeSync,
AOC AG274QG,,AOC,AG274QG,4038986120050,,2560 x 1440,240 Hz,"27""",IPS,1,0,0,0,0,True,False,False,,
AOC AG493UCX,,AOC,AG493UCX,4038986119634,,5120 x 1440,120 Hz,"49""",VA,4,0,0,0,0,True,False,True,,
AOC AGON AG241QG,,AOC,AG241QG,4038986145879,,2560 x 1440,165 Hz,"23.8""",TN,1,0,0,0,0,True,False,True,,
AOC AGON AG241QX,$289.47 USD,AOC,AG241QX,4038986145862,,2560 x 1440,144 Hz,"24""",TN,1,0,0,0,0,True,False,True,FreeSync,https://www.amazon.ca/AOC-AG241QX-Adaptive-Sync-DisplayPort-QuickSwitch/dp/B01NCTHS6E?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01NCTHS6E
AOC AGON AG251FZ,,AOC,AG251FZ,4038986165884,,1920 x 1080,240 Hz,"25""",TN,1,0,0,0,0,True,False,True,FreeSync,
AOC AGON AG251FZ2E 62,,AOC,AG251FZ2E,4038986148184,,1920 x 1080,240 Hz,"24.5""",TN,"0,5",0,0,0,0,True,False,False,,
AOC AGON AG254FG 63 cm (25 Zoll),,AOC,AG254FG,4038986149945,,1920 x 1080,360 Hz,"25""","Quantum Dot, VA",1,0,0,0,0,True,False,True,,
AOC AGON AG271QG,$652.9 USD,AOC,AG271QG,4038986185844,,2560 x 1440,165 Hz,"27""",IPS,4,0,0,0,0,True,False,True,,https://www.amazon.ca/AOC-AG271QG-27-Inch-Display-Monitor/dp/B01G5JYMNA?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01G5JYMNA
AOC AGON AG271QX,$419.06 USD,AOC,AG271QX,4038986185417,,2560 x 1440,144 Hz,"27""",TN,1,0,0,0,0,True,False,True,FreeSync,https://www.amazon.ca/AOC-AG271QX-Gaming-Monitor-144hz/dp/B01G5JYN0C?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01G5JYN0C
AOC AGON AG271UG,,AOC,AG271UG,4038986185929,,3840 × 2160,60 Hz,"27""",IPS,4,1,1,0,0,True,False,True,G-Sync,
AOC AGON AG272FCX,,AOC,AG272FCX,4038986185912,,1920 x 1080,144 Hz,"27""",MVA,4,2,1,0,1,True,True,True,FreeSync,
AOC AGON AG273QCG,$372.94 USD,AOC,AG273QCG,4038986186414,,2560 x 1440,165 Hz,"27""",TN,1,0,0,0,0,True,True,True,,https://www.amazon.ca/AOC-AG273QCG-Curved-Monitor-DisplayPort/dp/B07LBMWHX3?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B07LBMWHX3
AOC AGON AG273QCX,$408.63 USD,AOC,AG273QCX,4038986186407,,2560 x 1440,144 Hz,"27""",VA,1,0,0,0,0,True,False,True,FreeSync,https://www.amazon.ca/AOC-AG273QCX-FreeSync-DisplayHDR-DisplayPort/dp/B07MJCF5N4?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B07MJCF5N4
AOC AGON AG274FZ 608,,AOC,AG274FZ,4038986120074,,1920 x 1080,260 Hz,"27""",IPS,1,0,0,0,0,True,False,True,,
AOC AGON AG275QX/EU,,AOC,AG275QX/EU,4038986180474,,2560 x 1440,170 Hz,"27""",Nano IPS,1,0,0,0,0,False,False,True,,
AOC AGON AG275QXN,,AOC,AG275QXN,4038986180467,,2560 x 1440,165 Hz,"27""",VA,1,0,0,0,0,False,False,True,,
AOC AGON AG322QC4,$439.56 USD,AOC,AG322QC4,4038986116428,,2560 x 1440,144 Hz,"31.5""",VA,4,0,0,0,0,True,False,True,,https://www.amazon.ca/AOC-AG322QC4-2560x1440-DisplayHDR-DisplayPort/dp/B07G1CTZGS?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B07G1CTZGS
AOC AGON AG324UX 81,,AOC,AG324UX,4038986120012,,3840 × 2160,144 Hz,"32""",IPS,1,0,0,0,0,True,False,True,,
AOC AGON AG352QCX,,AOC,AG352QCX,4038986115896,,2560 x 1080,60 Hz,"35""",MVA,4,0,0,0,0,True,True,True,FreeSync,
AOC AGON AG352UCG6,$605.99 USD,AOC,AG352UCG6,4038986116442,,3440 x 1440,122 Hz,"35""",VA,4,0,0,0,0,True,True,True,,https://www.amazon.ca/AOC-AG352UCG6-Monitor-3440x1440-DisplayPort/dp/B07BMVNJZP?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B07BMVNJZP
AOC AGON AG353UCG,,AOC,AG353UCG,4038986116602,,3440 x 1440,200 Hz,"35""",VA,4,0,0,0,0,True,False,True,,
AOC AGON PD27,,AOC,PD27,4046901932893,,2560 x 1440,240 Hz,"27""",VA,"0,5",0,0,0,0,True,False,True,,
AOC AGON PRO AG274QS,,AOC,AG274QS,4038986120067,,2560 x 1440,300 Hz,"27""",IPS,1,0,0,0,0,True,False,False,,
AOC AGON PRO AG274QZM,,AOC,AG274QZM,4038986120036,,2560 x 1440,240 Hz,"27""",IPS,1,0,0,0,0,True,False,True,,
AOC AGON PRO AG275QXL,,AOC,AG275QXL,4038986120104,,2560 x 1440,170 Hz,"27""",IPS,1,0,0,0,0,True,False,True,,
AOC C24G1,$140.17 USD,AOC,C24G1,4038986146494,,1920 x 1080,144 Hz,"23.6""",VA,1,0,0,0,0,False,False,True,FreeSync,https://www.amazon.ca/AOC-C24G1-Frameless-DisplayPort-Adjustable/dp/B07GD7H18F?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B07GD7H18F
AOC C24G2AE,,AOC,C24G2AE/BK,4038986148207,,1920 x 1080,165 Hz,"23.6""",VA,1,0,0,0,0,True,False,False,,
AOC C27G1,$208.24 USD,AOC,C27G1,4038986186506,,1920 x 1080,144 Hz,"27""",VA,1,0,0,0,0,False,True,True,FreeSync,https://www.amazon.ca/AOC-C27G1-Screen-14700510-Black/dp/B07GD5XG5G?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B07GD5XG5G
AOC C27G2U,,AOC,C27G2U/BK,4038986188579,,1920 x 1080,165 Hz,"27""",VA,1,0,0,0,0,True,False,True,,
AOC C27G3U 68,,AOC,C27G3U/BK,4038986189668,,1920 x 1080,165 Hz,"27""",VA,4,0,0,0,0,True,False,True,,
AOC C32G1,$250.75 USD,AOC,C32G1,4038986116510,,1920 x 1080,144 Hz,"31.5""",VA,1,0,0,0,0,False,False,False,FreeSync,https://www.amazon.ca/AOC-C32G1-Frameless-1920x1080-DisplayPort/dp/B07HKGFB27?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B07HKGFB27
AOC CQ27G2U,,AOC,CQ27G2U/BK,4038986187114,,2560 x 1440,144 Hz,"27""",VA,4,0,0,0,0,False,False,True,FreeSync,
AOC CQ32G1,$340.92 USD,AOC,CQ32G1,4038986116718,,2560 x 1440,144 Hz,"31.5""",VA,4,0,0,0,0,False,False,False,FreeSync,https://www.amazon.ca/AOC-CQ32G1-Frameless-2560x1440-DisplayPort/dp/B07HKM16DT?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B07HKM16DT
AOC CQ32G2SE,,AOC,CQ32G2SE/BK,4038986118439,,2560 x 1440,165 Hz,"31.5""",VA,4,0,0,0,0,True,False,False,,
AOC CU34G2,,AOC,CU34G2/BK,4038986116992,,3440 x 1440,100 Hz,"34""",VA,1,0,0,0,0,False,False,True,FreeSync,
AOC CU34G2X,,AOC,CU34G2X/BK,4038986117005,,3440 x 1440,144 Hz,"34""",VA,1,0,0,0,0,False,False,True,FreeSync,
AOC E2460SH,,AOC,E2460SH,4038986144735,,1920 x 1080,60 Hz,"24""",TN,1,0,0,0,0,True,False,True,,
AOC G2260VWQ6,$125.7 USD,AOC,G2260VWQ6,4038986125314,,1920 x 1080,122 Hz,"21.5""",TN,1,0,0,0,0,False,False,False,FreeSync,https://www.amazon.ca/AOC-G2260VWQ6-1920x1080-FlickerFree-DisplayPort/dp/B0158L13M4?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B0158L13M4
AOC G2460PF,$179.86 USD,AOC,G2460PF,4038986145381,,1920 x 1080,144 Hz,"24""",TN,1,0,0,0,0,True,False,True,FreeSync,https://www.amazon.ca/AOC-G2460PF-24-Inch-Gaming-Monitor/dp/B01BV1XBEI?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01BV1XBEI
AOC G2460PG,,AOC,G2460PG,4038986144797,,1920 x 1080,144 Hz,"24""",TN,1,0,1,0,0,False,False,True,G-Sync,
AOC G2460VQ6,$114.59 USD,AOC,G2460VQ6,4038986145398,,1920 x 1080,122 Hz,"24""",TN,1,0,0,0,0,True,False,False,FreeSync,https://www.amazon.ca/AOC-G2460VQ6-FreeSync-1920x1080-DisplayPort/dp/B01N1YCKAE?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01N1YCKAE
AOC G2590FX 62,$161.75 USD,AOC,G2590FX,4038986166423,,1920 x 1080,144 Hz,"24.5""",TN,1,0,0,0,0,False,False,False,FreeSync,https://www.amazon.ca/dp/B07D377Q6D?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
AOC G2590PX 62,$221.96 USD,AOC,G2590PX,4038986166096,,1920 x 1080,144 Hz,"24.5""",TN,1,0,0,0,0,True,False,True,FreeSync,https://www.amazon.ca/AOC-G2590PX-Frameless-Monitor-Compatible/dp/B07R4XPVKG?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B07R4XPVKG
AOC G2590PX/G2 62,,AOC,G2590PX/G2,4038986166614,,1920 x 1080,144 Hz,"24.5""",TN,1,0,0,0,0,True,False,True,FreeSync,
AOC G2590VXQ,,AOC,G2590VXQ,4038986166102,,1920 x 1080,122 Hz,"24.5""",TN,1,0,0,0,0,True,False,False,FreeSync,
AOC G2770PF,,AOC,G2770PF,4038986185400,,1920 x 1080,144 Hz,"27""",TN,1,1,1,0,2,True,False,True,FreeSync,
AOC G2778VQ,,AOC,G2778VQ,4038986185424,,1920 x 1080,122 Hz,"27""",TN,1,0,0,0,0,True,False,False,FreeSync,
AOC G2790PX,,AOC,G2790PX,4038986186179,,1920 x 1080,144 Hz,"27""",TN,1,0,0,0,0,True,False,True,FreeSync,
AOC G2868PQU 71,,AOC,G2868PQU,4038986186674,,4096 x 3072,60 Hz,"28""",TN,1,0,0,0,0,False,False,True,FreeSync,
AOC Gaming 25G3ZM/BK,,AOC,25G3ZM/BK,4038986140911,,1920 x 1080,240 Hz,"24.5""",VA,"0,5",0,0,0,0,False,False,True,,
AOC I1601FWUX,$174.47 USD,AOC,I1601FWUX,4038986156479,,1920 x 1080,60 Hz,"15.6""",IPS,5,0,0,0,0,False,False,False,,https://www.amazon.ca/AOC-I1601FWUX-Extremely-1920x1080-SmartCover/dp/B06Y8SSQG5?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B06Y8SSQG5
AOC Q27G2U,,AOC,Q27G2U/BK,4038986187121,,2560 x 1440,144 Hz,"27""",VA,4,0,0,0,0,True,False,True,FreeSync,
AOC Q27G3SU 68,,AOC,CQ27G3SU/BK,4038986189644,,2560 x 1440,165 Hz,"27""",VA,4,0,0,0,0,True,False,True,,
AOC Q27P2CA,,AOC,Q27P2CA,4038986189866,,2560 x 1440,75 Hz,"27""",IPS,4,0,0,0,0,True,False,True,,
AOC U2879VF,$259.43 USD,AOC,U2879VF,4038986185714,,3840 × 2160,60 Hz,"28""",TN,1,0,0,0,0,False,False,True,FreeSync,https://www.amazon.ca/AOC-U2879VF-Screen-LCD-14700510/dp/B0163JLIWU?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B0163JLIWU
AOC U34G3XM/EU,,AOC,U34G3XM/EU,4038986110624,,3440 x 1440,144 Hz,"34""",VA,4,0,0,0,0,False,False,True,,
ASUS CG32UQ,,ASUS,90LM04F0-B01170,4718017105606,,3840 × 2160,60 Hz,"31.5""",VA,5,0,0,0,0,True,False,True,FreeSync,
ASUS MG248QE,,ASUS,90LM02D5-B01370,4712900979756,,1920 x 1080,144 Hz,"24""",TN,1,0,0,0,0,False,False,False,FreeSync,
ASUS MG248QR,,ASUS,90LM02D3-B01370,4712900682533,889349682531,1920 x 1080,144 Hz,"24""",TN,1,0,0,0,0,True,False,True,FreeSync,
ASUS MG278Q,$344.15 USD,ASUS,90LM01S0-B01170,4712900087666,,2560 x 1440,144 Hz,"27""",TN,1,0,0,0,0,True,False,True,FreeSync,https://www.amazon.ca/dp/B014X4U076?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
ASUS MG279Q,,ASUS,90LM0100-B01170,4716659995043,,2560 x 1440,144 Hz,"27""",IPS,4,0,0,0,0,True,False,True,FreeSync,
ASUS MG28UQ,,ASUS,90LM027C-B01170,4712900276039,,3840 × 2160,60 Hz,"28""",IPS,1,0,0,0,0,True,False,True,FreeSync,
ASUS MX239H,,ASUS,90LMGC051L010O1C-,4716659265740,,1920 x 1080,60 Hz,"23""",IPS,5,1,0,1,1,False,False,False,,
ASUS MX259H,,ASUS,90LM0190-B01670,4716659924289,,1920 x 1080,60 Hz,"25""",IPS,5,0,0,0,0,True,False,False,,
ASUS MX25AQ,,ASUS,90LM01P0-B01670,4712900100860,,2560 x 1440,60 Hz,"25""",IPS,5,0,0,0,0,True,False,False,,
ASUS MX279H,,ASUS,90LMGD051R010O1C-,4716659265795,,1920 x 1080,60 Hz,"27""",IPS,5,0,0,0,0,False,False,False,,
ASUS MX27AQ,,ASUS,90LM0140-B01670,4716659920021,,2560 x 1440,60 Hz,"27""",IPS,5,1,1,0,0,True,False,False,,
ASUS MX27UC,,ASUS,90LM02B3-B01670,4712900463149,,3840 × 2160,60 Hz,"27""",IPS,5,0,0,0,0,True,False,False,,
ASUS MX299Q,$369.5 USD,ASUS,90LM0080-B01170,4716659472506,,2560 x 1080,60 Hz,"29""",IPS,5,1,1,1,0,False,False,False,,https://www.amazon.ca/dp/B00DRPYQ9G?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
ASUS MX34VQ,,ASUS,90LM02M0-B01170,4712900494235,,3440 x 1440,122 Hz,"34""",VA,4,0,0,0,0,True,True,False,,
ASUS MZ27AQ,,ASUS,90LM03C0-B01A70,4712900774931,,2560 x 1440,60 Hz,"27""",IPS,5,0,0,0,0,True,False,False,,
ASUS PA248Q,,ASUS,90LMG0150Q00081C-,4716659122029,,1920 x 1200,60 Hz,"24""",IPS,6,1,1,1,1,False,False,True,,
ASUS PA279Q,,ASUS,90LM0040-B01370,4716659456407,,2560 x 1440,60 Hz,"27""",IPS,6,0,0,0,0,True,False,True,,
ASUS PA329Q,,ASUS,90LM02CC-B01370,4712900270693,,3840 × 2160,60 Hz,"32""",IPS,5,0,0,0,0,True,False,True,,
ASUS PB238Q,,ASUS,90LMG9151T01081C-,4716659192497,,1920 x 1080,60 Hz,"23""",IPS,6,1,1,1,1,False,False,True,,
ASUS PB248Q,,ASUS,90LMGH001Q02251C-,4716659351443,,1920 x 1200,60 Hz,"24""",IPS,6,1,1,1,1,False,False,True,,
ASUS PB277Q,,ASUS,90LM02I1-B01170,4712900274035,,2560 x 1440,122 Hz,"27""",TN,1,0,0,0,0,False,False,True,,
ASUS PB278QR,,ASUS,90LMGA001T02251C-,4716659718550,886227718559,2560 x 1440,60 Hz,"27""",IPS,5,0,0,0,0,False,False,True,,
ASUS PB27UQ,,ASUS,90LM02U0-B01170,4712900367676,,3840 × 2160,60 Hz,"27""",IPS,5,0,0,0,0,True,False,True,,
ASUS PB287Q,$362.35 USD,ASUS,90LM00R0-B03170,4716659666448,,3840 × 2160,60 Hz,"28""",TN,1,0,0,0,0,True,False,True,,https://www.amazon.ca/dp/B00KJGY3TO?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
ASUS PB328Q,,ASUS,90LM01A0-B01370,4716659987512,,2560 x 1440,60 Hz,"32""",VA,4,0,0,0,0,True,False,True,,
ASUS PG248Q ROG Swift,,ASUS,90LM02J0-B01370,4712900388947,,1920 x 1080,144 Hz,"24""",TN,1,1,1,0,0,False,False,True,G-Sync,
ASUS PG258Q,,ASUS,90LM0360-B01370,4712900518023,,1920 x 1080,240 Hz,"25""",TN,1,0,0,0,0,False,False,True,G-Sync,
ASUS PG258Q COD-Edition,,ASUS,90LM0363-B01370,4718017148009,,1920 x 1080,240 Hz,"25""",TN,1,0,0,0,0,False,False,True,G-Sync,
ASUS PG279Q,,ASUS,90LM0230-B01370,4712900143683,,2560 x 1440,165 Hz,"27""",IPS,4,0,0,0,0,True,False,True,G-Sync,
