Rank,University_Name,National/Regional Rank,Alumni,Award,Hici,N&S,PUB,PCP
95,Xi'an Jiaotong University,12,0.0,0.0,25.2,16.8,77.4,22.0
95,University of Basel,5,21.4,14.1,15.9,29.7,40.1,39.2
97,University of Bristol,8,5.2,13.0,28.4,26.3,46.0,27.4
98,Sichuan University,13,0.0,0.0,21.6,15.4,81.0,22.6
99,University of Helsinki,1,15.6,16.0,18.4,21.7,51.8,26.4
100,Purdue University - West Lafayette,38,11.6,20.9,20.6,19.8,49.3,23.2
101-150,Jilin University,14-22,0.0,0.0,23.5,14.0,65.9,17.0
101-150,Beijing Institute of Technology,14-22,0.0,0.0,36.2,12.7,59.3,22.4
101-150,Southern University of Science and Technology,14-22,0.0,0.0,26.8,23.1,49.2,35.9
101-150,Mayo Clinic College of Medicine and Science,39-50,0.0,0.0,39.6,16.0,48.5,27.4
101-150,Southeast University,14-22,0.0,0.0,23.5,9.6,71.6,21.7
101-150,South China University of Technology,14-22,0.0,0.0,28.4,10.8,61.7,21.9
101-150,Shandong University,14-22,0.0,0.0,21.6,14.3,74.6,18.8
101-150,Tianjin University,14-22,0.0,0.0,32.5,11.1,67.4,22.0
101-150,Northwestern Polytechnical University,14-22,0.0,0.0,34.4,12.1,58.5,21.9
101-150,Harbin Institute of Technology,14-22,0.0,0.0,22.5,16.1,74.1,23.9
101-150,The Chinese University of Hong Kong,2-3,0.0,13.0,19.5,10.6,56.7,25.3
101-150,Boston University,39-50,17.2,10.6,19.5,21.1,51.4,22.0
101-150,The University of Glasgow,9-12,14.7,0.0,25.2,21.4,45.2,24.6
101-150,City University of Hong Kong,2-3,0.0,0.0,36.2,17.7,50.1,31.0
101-150,McMaster University,4-5,18.0,17.2,27.6,12.4,45.1,30.7
101-150,University of Alberta,4-5,10.4,16.0,18.4,16.8,54.9,26.5
101-150,Brown University,39-50,23.8,18.2,11.3,19.8,44.8,33.3
101-150,Nagoya University,3,27.0,23.5,13.0,18.1,43.7,19.8
101-150,Université libre de Bruxelles (ULB),3,18.0,24.4,14.6,17.8,33.6,35.3
101-150,University of Warwick,9-12,12.7,27.6,14.6,19.4,41.0,27.3
101-150,University of Liverpool,9-12,14.7,9.2,18.4,20.2,46.6,26.3
101-150,Moscow State University,1,37.8,29.1,0.0,11.8,49.5,27.3
101-150,University of Nottingham,9-12,18.7,18.4,17.2,14.8,45.2,23.5
101-150,Radboud University Nijmegen,3-6,15.6,0.0,26.0,20.7,48.5,29.2
101-150,Carnegie Mellon University,39-50,28.9,27.6,9.2,22.6,31.5,27.8
101-150,University of Freiburg,5,20.8,14.6,19.5,23.4,38.8,41.8
101-150,Pennsylvania State University - University Park,39-50,9.0,0.0,22.5,32.6,47.9,16.4
101-150,Icahn School of Medicine at Mount Sinai,39-50,0.0,0.0,41.2,27.6,42.5,18.6
101-150,"University of California, Davis",39-50,12.7,0.0,23.5,26.0,54.1,21.6
101-150,Leiden University,3-6,14.7,0.0,29.8,21.6,52.0,27.0
101-150,University of Florida,39-50,15.6,0.0,19.5,20.0,62.9,23.1
101-150,Rice University,39-50,18.7,19.9,21.6,24.1,28.7,33.1
101-150,"Rutgers, The State University of New Jersey - New Brunswick",39-50,7.3,16.0,22.5,19.3,43.1,15.9
101-150,University of Bern,6-7,11.6,0.0,18.4,24.8,47.0,34.4
101-150,The University of Western Australia,6-7,19.4,13.0,24.4,14.3,46.4,33.6
101-150,Sapienza University of Rome,1,14.7,22.6,9.2,14.3,53.1,20.4
101-150,University of Lausanne,6-7,16.4,16.0,15.9,22.4,37.2,24.7
101-150,Emory University,39-50,0.0,0.0,23.5,21.3,53.7,27.5
101-150,University of Utah,39-50,0.0,10.6,14.6,23.6,50.7,21.7
101-150,University of Gothenburg,3-5,0.0,14.1,23.5,16.6,44.7,23.1
101-150,The Australian National University,6-7,12.7,17.4,19.5,24.2,43.5,29.7
101-150,University of Sao Paulo,1,0.0,0.0,17.2,16.3,70.7,17.7
101-150,Université Grenoble Alpes,5-7,11.6,13.0,15.9,22.2,45.9,20.6
101-150,Lund University,3-5,18.0,16.8,17.2,17.8,51.6,24.9
101-150,University of Vienna,1,16.4,11.9,20.6,23.5,40.0,30.3
101-150,University of Strasbourg,5-7,26.0,30.2,6.5,18.9,35.4,22.8
101-150,Erasmus University Rotterdam,3-6,13.7,13.0,25.2,15.0,51.4,32.5
101-150,Aix Marseille University,5-7,16.4,0.0,18.4,21.3,52.3,20.1
101-150,University of Amsterdam,3-6,0.0,0.0,30.5,20.6,54.1,23.9
101-150,Stockholm University,3-5,20.8,22.6,13.0,23.8,40.5,25.8
151-200,Beihang University,23-33,0.0,0.0,22.5,15.3,57.1,19.1
151-200,Nankai University,23-33,0.0,0.0,27.6,15.8,50.8,19.6
151-200,Hunan University,23-33,0.0,0.0,27.6,9.9,51.9,20.4
151-200,Beijing Normal University,23-33,14.7,0.0,15.9,14.0,57.9,20.1
151-200,University of Electronic Science and Technology of China,23-33,0.0,0.0,28.4,12.8,55.8,19.6
151-200,Soochow University,23-33,0.0,0.0,29.8,9.5,58.8,18.5
151-200,Delft University of Technology,7-9,10.4,0.0,15.9,24.8,43.2,22.0
151-200,Wageningen University & Research,7-9,0.0,0.0,27.6,16.8,41.0,28.4
151-200,University of Goettingen,6-11,29.4,0.0,13.0,25.2,34.9,35.5
151-200,Tongji University,23-33,0.0,0.0,9.2,11.0,71.0,21.5
151-200,Arizona State University,51-59,0.0,18.4,18.4,18.9,43.3,18.2
151-200,Shenzhen University,23-33,0.0,0.0,21.6,12.4,57.1,19.2
151-200,Xiamen University,23-33,0.0,0.0,20.6,17.5,57.6,19.6
151-200,University of Rochester,51-59,30.7,5.3,9.2,20.8,37.5,16.7
151-200,Vrije Universiteit Amsterdam,7-9,0.0,0.0,23.5,18.0,48.6,24.6
151-200,University of Cologne,6-11,0.0,9.2,14.6,22.1,39.6,32.1
151-200,Norwegian University of Science and Technology - NTNU,2,11.6,19.5,13.0,13.4,45.4,19.9
151-200,Case Western Reserve University,51-59,29.8,9.2,20.6,13.0,38.0,26.9
151-200,University of Montreal,6-8,10.4,0.0,15.9,21.3,52.2,24.9
151-200,University of Mainz,6-11,0.0,6.5,17.2,20.3,36.4,35.4
151-200,Michigan State University,51-59,7.3,0.0,15.9,21.5,50.6,18.9
151-200,University of Tuebingen,6-11,20.8,0.0,15.9,22.1,40.7,35.8
151-200,Chongqing University,23-33,0.0,0.0,22.5,5.0,62.4,19.4
151-200,Goethe University Frankfurt,6-11,31.6,0.0,14.6,19.1,38.8,34.0
151-200,Zhengzhou University,23-33,0.0,0.0,14.6,8.3,68.0,17.8
151-200,The University of Calgary,6-8,0.0,0.0,25.2,15.2,47.7,21.9
151-200,University of Muenster,6-11,18.0,9.2,13.0,20.7,34.3,29.1
151-200,University of Barcelona,1,0.0,0.0,18.4,13.5,51.0,28.1
151-200,Sungkyunkwan University,2,0.0,0.0,18.4,16.1,52.0,24.2
151-200,University of Arizona,51-59,13.7,0.0,13.0,24.7,47.1,21.1
151-200,"University of California, Santa Cruz",51-59,0.0,0.0,29.1,25.8,28.2,32.3
151-200,The Hong Kong Polytechnic University,4,0.0,0.0,23.5,9.8,58.7,22.3
151-200,Cardiff University,13-20,0.0,15.0,13.0,18.8,39.2,22.0
151-200,London School of Hygiene & Tropical Medicine,13-20,5.2,0.0,28.4,14.7,35.1,36.8
151-200,University of Southampton,13-20,0.0,0.0,22.5,19.9,43.9,25.3
151-200,University of Exeter,13-20,0.0,0.0,25.2,22.0,40.5,24.9
151-200,The University of Sheffield,13-20,16.4,11.3,14.6,17.1,43.4,23.5
151-200,London School of Economics and Political Science,13-20,22.0,15.0,11.3,,30.6,29.0
151-200,Tokyo Institute of Technology,4,11.6,27.6,6.5,14.2,34.4,24.3
151-200,University of Milan,2-3,15.6,0.0,18.4,12.6,50.4,22.4
151-200,University of Pisa,2-3,19.4,20.6,6.5,7.9,40.8,23.4
151-200,Indiana University Bloomington,51-59,15.6,18.4,18.4,13.3,37.7,19.7
151-200,University of Waterloo,6-8,0.0,13.8,23.5,9.2,43.0,22.6
151-200,Technical University of Denmark,3,13.7,9.2,21.6,19.1,39.9,21.6
151-200,Georgia Institute of Technology,51-59,11.6,0.0,23.5,20.5,40.3,29.0
151-200,Tufts University,51-59,17.2,14.6,15.9,11.8,33.3,25.1
151-200,The University of Adelaide,8,12.7,0.0,29.8,13.3,42.8,31.9
151-200,University of Montpellier,8,9.0,0.0,13.0,20.6,47.7,23.6
151-200,University of Birmingham,13-20,16.4,6.5,14.6,18.7,48.4,23.4
151-200,University of Leeds,13-20,15.6,0.0,11.3,20.8,45.3,21.0
201-300,University of Wuerzburg,12-22,18.0,0.0,14.6,20.5,34.3,33.7
201-300,Fuzhou University,34-51,0.0,0.0,18.4,6.3,43.0,16.3
201-300,Beijing University of Chemical Technology,34-51,0.0,0.0,23.5,6.5,38.3,19.8
201-300,East China Normal University,34-51,0.0,0.0,14.6,14.1,45.1,16.1
201-300,Capital Medical University,34-51,0.0,0.0,6.5,9.1,58.6,37.6
201-300,Nanchang University,34-51,0.0,0.0,20.6,5.2,46.3,16.6
201-300,China University of Geosciences,34-51,0.0,0.0,20.6,8.7,47.1,18.9
201-300,Nanjing Medical University,34-51,0.0,0.0,11.3,8.9,53.6,26.0
201-300,Jiangsu University,34-51,0.0,0.0,14.6,2.7,51.7,16.3
201-300,Wuhan University of Technology,34-51,0.0,0.0,21.6,8.0,46.8,15.4
201-300,National Taiwan University,1,10.4,0.0,15.9,9.1,50.5,19.6
201-300,China Agricultural University,34-51,0.0,0.0,26.0,10.0,48.4,20.3
201-300,University of Science and Technology Beijing,34-51,0.0,0.0,13.0,7.6,52.9,19.9
201-300,The University of Auckland,1,12.7,0.0,18.4,9.2,41.6,23.4
201-300,Dalian University of Technology,34-51,0.0,0.0,21.6,6.4,58.2,17.0
201-300,Nanjing University of Aeronautics and Astronautics,34-51,0.0,0.0,19.5,3.2,49.8,18.3
201-300,Shanghai University,34-51,0.0,0.0,14.6,7.9,48.7,14.3
201-300,Northeastern University (Shenyang),34-51,0.0,0.0,13.0,6.9,53.2,19.2
201-300,Peking Union Medical College,34-51,0.0,0.0,17.2,8.7,51.1,33.1
201-300,Jinan University,34-51,0.0,0.0,11.3,9.9,50.2,17.5
201-300,University of Hamburg,12-22,13.7,0.0,9.2,20.2,38.6,28.7
201-300,Lanzhou University,34-51,0.0,0.0,11.3,9.2,50.4,18.1
201-300,Korea Advanced Institute of Science and Technology,3-6,0.0,0.0,11.3,22.1,37.3,28.4
201-300,Griffith University,9-15,0.0,0.0,13.0,13.5,39.4,24.0
201-300,Korea University,3-6,0.0,0.0,13.0,11.3,51.4,21.1
201-300,Karlsruhe Institute of Technology (KIT),12-22,0.0,0.0,11.3,7.3,39.8,37.7
201-300,University of Innsbruck,2-3,0.0,6.5,11.3,19.1,27.9,24.7
201-300,Queen's University,9-12,12.7,19.5,11.3,9.0,35.2,24.5
201-300,University of Ottawa,9-12,0.0,0.0,23.5,11.4,46.3,23.4
201-300,University of Manitoba,9-12,10.4,0.0,19.5,7.2,35.2,19.9
201-300,Queensland University of Technology,9-15,0.0,0.0,20.6,7.0,38.4,23.2
201-300,University of Leipzig,12-22,9.0,9.2,13.0,12.3,35.3,31.1
201-300,Heinrich Heine University Duesseldorf,12-22,10.4,0.0,19.5,12.2,31.9,35.9
201-300,Technical University of Berlin,12-22,12.7,0.0,11.3,16.1,31.0,31.9
201-300,Curtin University,9-15,0.0,0.0,15.9,15.4,39.8,29.3
201-300,Deakin University,9-15,0.0,0.0,19.5,7.4,43.4,25.4
201-300,Macquarie University,9-15,0.0,0.0,9.2,17.0,39.1,26.2
201-300,TU Dresden,12-22,0.0,0.0,20.6,13.2,42.7,34.9
201-300,University of Technology Sydney,9-15,0.0,0.0,21.6,9.2,40.4,26.6
201-300,Swinburne University of Technology,9-15,0.0,0.0,20.6,11.6,29.0,30.0
201-300,Catholic University of Louvain,4,9.0,11.9,17.2,10.0,29.5,25.0
201-300,Medical University of Vienna,2-3,7.3,0.0,14.6,17.4,37.1,27.0
201-300,King Abdullah University of Science and Technology,2-3,0.0,0.0,29.8,15.5,31.7,19.6
201-300,King Abdulaziz University,2-3,0.0,0.0,22.5,4.5,50.2,15.1
201-300,Ulsan National Institute of Science and Technology,3-6,0.0,0.0,19.5,17.7,23.8,32.6
201-300,Yonsei University,3-6,0.0,0.0,13.0,12.9,57.6,21.5
201-300,Kiel University,12-22,7.3,9.2,15.9,11.5,30.0,28.3
201-300,Trinity College Dublin,1,12.7,11.3,18.4,12.8,34.3,18.4
201-300,University of Buenos Aires,1,11.6,20.6,6.5,6.1,32.0,17.0
201-300,National Autonomous University of Mexico,1,11.6,0.0,0.0,12.5,51.8,22.9
201-300,University of Turin,4-8,12.7,0.0,15.9,10.0,45.4,20.4
201-300,Tohoku University,5-9,13.7,0.0,13.0,16.1,48.7,15.7
201-300,University of Delaware,60-78,9.0,15.0,13.0,10.3,31.1,18.8
201-300,University of Lisbon,1-2,0.0,6.5,9.2,12.7,51.1,18.6
201-300,University of Massachusetts Amherst,60-78,12.7,0.0,22.5,18.7,35.1,23.3
201-300,Northeastern University (Boston),60-78,0.0,0.0,17.2,17.1,32.3,18.2
201-300,George Mason University,60-78,0.0,29.1,6.5,12.3,30.6,19.6
201-300,"University of California, Riverside",60-78,11.6,0.0,15.9,21.0,32.2,24.0
201-300,University of Virginia,60-78,0.0,0.0,14.6,22.0,44.1,17.5
201-300,Virginia Commonwealth University,60-78,9.0,13.0,11.3,6.2,34.7,14.3
201-300,University of Sussex,21-25,0.0,20.3,13.0,11.9,29.4,23.5
201-300,Virginia Polytechnic Institute and State University,60-78,10.4,0.0,14.6,15.7,41.0,18.0
201-300,Texas A&M University,60-78,0.0,0.0,13.0,21.1,50.6,18.9
201-300,Colorado State University,60-78,0.0,0.0,14.6,16.4,35.6,19.5
201-300,North Carolina State University - Raleigh,60-78,0.0,0.0,17.2,12.8,40.3,18.5
201-300,Baylor College of Medicine,60-78,0.0,0.0,19.5,22.6,41.8,15.8
201-300,University of Tennessee - Knoxville,60-78,9.0,0.0,13.0,12.6,39.2,19.8
201-300,University of Missouri - Columbia,60-78,7.3,13.8,14.6,8.0,36.2,16.7
201-300,University of Massachusetts Chan Medical School,60-78,0.0,18.4,14.6,20.2,22.6,18.9
201-300,Claude Bernard University Lyon 1,9-11,9.0,0.0,11.3,21.6,39.9,20.7
201-300,Tel Aviv University,4,0.0,0.0,9.2,19.5,50.4,27.6
201-300,University of East Anglia,21-25,22.0,0.0,15.9,12.5,28.3,24.6
201-300,University of Houston,60-78,0.0,0.0,14.6,13.6,38.4,22.3
201-300,University of Naples Federico II,4-8,0.0,0.0,14.6,10.8,50.1,19.5
201-300,University of Valencia,2,0.0,0.0,13.0,10.3,45.7,18.6
201-300,Polytechnic University of Milan,4-8,5.2,13.0,6.5,9.9,39.0,20.6
201-300,University of Padua,4-8,0.0,0.0,13.0,15.8,54.4,22.4
201-300,Newcastle University,21-25,0.0,0.0,11.3,17.4,40.7,20.6
201-300,University of Cape Town,1,16.4,0.0,11.3,13.8,37.5,18.3
201-300,University of Bordeaux,9-11,12.7,0.0,9.2,19.9,38.1,19.1
201-300,University of Erlangen-Nuremberg,12-22,0.0,0.0,13.0,17.7,39.5,29.9
201-300,Ruhr University Bochum,12-22,0.0,0.0,13.0,12.3,36.5,30.2
201-300,RWTH Aachen University,12-22,0.0,0.0,9.2,18.5,44.8,35.9
201-300,Western University,9-12,0.0,0.0,17.2,5.0,44.2,21.4
201-300,University of Aberdeen,21-25,0.0,11.3,20.6,8.0,28.4,24.0
201-300,University of Lorraine,9-11,10.4,13.0,11.3,11.3,35.1,14.6
201-300,The Hong Kong University of Science and Technology,5,0.0,0.0,17.2,9.8,39.3,21.2
201-300,Queen Mary University of London,21-25,15.6,0.0,15.9,17.3,40.7,23.8
201-300,Oregon Health and Science University,60-78,0.0,0.0,15.9,17.7,34.0,18.9
201-300,University of Bergen,3,13.7,0.0,6.5,16.0,37.3,21.5
201-300,Maastricht University,10,0.0,0.0,13.0,7.6,44.3,26.3
201-300,Osaka University,5-9,17.2,0.0,6.5,18.9,49.4,15.6
201-300,KTH Royal Institute of Technology,6,0.0,13.0,9.2,12.8,36.8,27.6
201-300,Hokkaido University,5-9,10.4,15.0,6.5,16.1,42.3,16.6
201-300,Kyushu University,5-9,0.0,0.0,9.2,16.5,42.4,15.5
201-300,University of Porto,1-2,0.0,0.0,13.0,11.6,47.5,21.9
201-300,University of Colorado at Denver,60-78,0.0,0.0,14.6,21.4,48.1,16.1
201-300,University of Bologna,4-8,0.0,0.0,11.3,10.5,54.5,19.3
201-300,University of Tsukuba,5-9,0.0,17.6,0.0,14.6,37.6,16.9
201-300,Oregon State University,60-78,7.3,0.0,13.0,20.5,33.0,23.2
301-400,Toulouse Capitole University,12-16,0.0,27.6,0.0,,11.8,32.3
301-400,Vienna University of Technology,4,14.7,0.0,9.2,16.9,27.0,28.1
301-400,Complutense University of Madrid,3-8,16.4,0.0,0.0,9.2,46.5,16.9
301-400,Albert Einstein College of Medicine,79-98,0.0,0.0,9.2,15.1,28.1,31.5
301-400,Princess Nourah bint Abdulrahman University,4,0.0,0.0,14.6,2.0,44.6,19.9
301-400,Simon Fraser University,13-16,0.0,0.0,9.2,14.6,32.1,18.2
301-400,University of Connecticut,79-98,10.4,0.0,13.0,14.8,34.8,14.9
301-400,Paul Sabatier University (Toulouse 3),12-16,0.0,0.0,14.6,17.4,34.5,18.0
301-400,University of the Basque Country,3-8,0.0,0.0,6.5,13.5,38.6,20.7
301-400,University of Granada,3-8,0.0,0.0,15.9,6.6,43.4,16.4
301-400,University of Lille,12-16,0.0,0.0,9.2,10.5,39.2,14.5
301-400,Autonomous University of Madrid,3-8,0.0,0.0,6.5,10.5,39.2,21.2
301-400,Laval University,13-16,0.0,0.0,13.0,7.2,39.1,18.0
301-400,University of Victoria,13-16,0.0,0.0,14.6,10.2,30.5,19.3
301-400,Institut Polytechnique de Paris,12-16,20.1,15.4,0.0,7.3,27.2,26.9
301-400,Ecole Normale Superieure - Lyon,12-16,20.1,18.4,0.0,7.4,22.1,31.2
301-400,Autonomous University of Barcelona,3-8,0.0,0.0,0.0,11.1,44.9,26.9
301-400,University of Southern Denmark,4,0.0,0.0,9.2,10.8,41.2,18.5
301-400,National and Kapodistrian University of Athens,1,0.0,0.0,14.6,7.6,39.5,18.1
301-400,University of Florence,9-12,0.0,0.0,11.3,11.5,41.5,20.8
301-400,Pohang University of Science and Technology,7-8,0.0,0.0,9.2,14.3,29.0,31.9
301-400,Dalhousie University,13-16,11.6,0.0,11.3,9.0,34.6,20.3
301-400,University of Trento,9-12,0.0,0.0,17.2,9.1,31.6,25.1
301-400,La Trobe University,16-21,0.0,0.0,9.2,11.3,34.9,26.7
301-400,University of St Andrews,26-31,9.0,0.0,11.3,16.7,25.6,22.0
301-400,University of Genoa,9-12,0.0,0.0,15.9,4.9,36.7,21.5
301-400,The University of Texas Health Science Center at Houston,79-98,0.0,14.1,9.2,12.4,32.3,14.6
301-400,Western Sydney University,16-21,0.0,0.0,17.2,9.0,32.0,23.2
301-400,Brandeis University,79-98,22.6,11.3,0.0,14.4,17.6,26.8
301-400,The George Washington University,79-98,10.4,0.0,6.5,14.6,36.7,20.0
301-400,University of Illinois at Chicago,79-98,0.0,0.0,11.3,11.1,41.7,16.6
301-400,University of Cincinnati,79-98,0.0,0.0,9.2,13.7,41.8,15.9
301-400,Indiana University-Purdue University at Indianapolis,79-98,0.0,0.0,15.9,9.0,39.7,13.5
301-400,University of Nebraska - Lincoln,79-98,14.7,0.0,11.3,12.4,31.7,17.8
301-400,Ben-Gurion University of the Negev,5,0.0,0.0,9.2,10.9,34.6,21.5
301-400,Swedish University of Agricultural Sciences,7-8,0.0,0.0,13.0,9.0,29.1,29.0
301-400,Florida State University,79-98,0.0,0.0,11.3,15.7,36.3,19.3
301-400,University of Tasmania,16-21,0.0,0.0,15.9,13.1,31.0,25.0
301-400,University of Miami,79-98,0.0,0.0,6.5,12.8,41.2,20.8
301-400,James Cook University,16-21,0.0,0.0,14.6,13.8,24.8,26.0
301-400,University of Wollongong,16-21,0.0,0.0,14.6,13.4,33.6,26.5
301-400,Cairo University,1,17.2,0.0,0.0,4.0,43.2,19.1
301-400,University of York,26-31,0.0,0.0,9.2,16.0,34.7,21.6
301-400,Lancaster University,26-31,0.0,0.0,13.0,12.9,31.3,20.4
301-400,University of Leicester,26-31,0.0,0.0,11.3,12.3,33.2,23.5
301-400,Queen's University Belfast,26-31,16.4,0.0,11.3,9.9,32.8,20.3
301-400,Durham University,26-31,0.0,0.0,13.0,12.7,36.0,19.9
