index,Format,Metric,Year,Number of Records,Value (Actual)
82,CD Single,Units,2008,1,0.7
83,CD Single,Units,2009,1,0.9
84,CD Single,Units,2010,1,1.0
85,CD Single,Units,2011,1,1.3
86,CD Single,Units,2012,1,1.072870407
87,CD Single,Units,2013,1,0.628895398
88,CD Single,Units,2014,1,0.928725116
89,CD Single,Units,2015,1,0.3867215629999999
90,CD Single,Units,2016,1,0.121745255
91,CD Single,Units,2017,1,0.13261663
92,CD Single,Units,2018,1,0.020854078
93,CD Single,Units,2019,1,0.026257455
94,Cassette,Units,1973,1,15.0
95,Cassette,Units,1974,1,15.3
96,Cassette,Units,1975,1,16.2
97,Cassette,Units,1976,1,21.8
98,Cassette,Units,1977,1,36.9
99,Cassette,Units,1978,1,61.3
100,Cassette,Units,1979,1,78.5
101,Cassette,Units,1980,1,99.0
102,Cassette,Units,1981,1,124.0
103,Cassette,Units,1982,1,183.2
104,Cassette,Units,1983,1,236.8
105,Cassette,Units,1984,1,332.0
106,Cassette,Units,1985,1,339.1
107,Cassette,Units,1986,1,344.5
108,Cassette,Units,1987,1,410.0
109,Cassette,Units,1988,1,450.1
110,Cassette,Units,1989,1,446.2
111,Cassette,Units,1990,1,442.2
112,Cassette,Units,1991,1,360.1
113,Cassette,Units,1992,1,366.4
114,Cassette,Units,1993,1,339.5
115,Cassette,Units,1994,1,345.4
116,Cassette,Units,1995,1,272.6
117,Cassette,Units,1996,1,225.3
118,Cassette,Units,1997,1,172.6
119,Cassette,Units,1998,1,158.5
120,Cassette,Units,1999,1,123.6
121,Cassette,Units,2000,1,76.0
122,Cassette,Units,2001,1,45.0
123,Cassette,Units,2002,1,31.1
124,Cassette,Units,2003,1,17.2
125,Cassette,Units,2004,1,5.2
126,Cassette,Units,2005,1,2.5
127,Cassette,Units,2006,1,0.7
128,Cassette,Units,2007,1,0.4
129,Cassette,Units,2008,1,0.1
130,Cassette,Units,2009,1,0.0
131,Cassette,Units,2010,1,0.0
132,Cassette,Units,2011,1,0.0
133,Cassette,Units,2012,1,
134,Cassette,Units,2013,1,
135,Cassette,Units,2014,1,
136,Cassette,Units,2015,1,
137,Cassette,Units,2016,1,
138,Cassette,Units,2017,1,
139,Cassette,Units,2018,1,
140,Cassette,Units,2019,1,
141,Cassette Single,Units,1973,1,
142,Cassette Single,Units,1974,1,
143,Cassette Single,Units,1975,1,
144,Cassette Single,Units,1976,1,
145,Cassette Single,Units,1977,1,
146,Cassette Single,Units,1978,1,
147,Cassette Single,Units,1979,1,
148,Cassette Single,Units,1980,1,
149,Cassette Single,Units,1981,1,
150,Cassette Single,Units,1982,1,
151,Cassette Single,Units,1983,1,
152,Cassette Single,Units,1984,1,
153,Cassette Single,Units,1985,1,
154,Cassette Single,Units,1986,1,
155,Cassette Single,Units,1987,1,5.1
156,Cassette Single,Units,1988,1,22.5
157,Cassette Single,Units,1989,1,76.2
158,Cassette Single,Units,1990,1,87.4
159,Cassette Single,Units,1991,1,69.0
160,Cassette Single,Units,1992,1,84.6
161,Cassette Single,Units,1993,1,85.6
162,Cassette Single,Units,1994,1,81.09999999999998
163,Cassette Single,Units,1995,1,70.7
164,Cassette Single,Units,1996,1,59.9
165,Cassette Single,Units,1997,1,42.2
166,Cassette Single,Units,1998,1,26.4
167,Cassette Single,Units,1999,1,14.2
168,Cassette Single,Units,2000,1,1.3
169,Cassette Single,Units,2001,1,-1.5
170,Cassette Single,Units,2002,1,-0.5
171,Cassette Single,Units,2003,1,0.0
172,Cassette Single,Units,2004,1,0.0
173,Cassette Single,Units,2005,1,0.0
174,Cassette Single,Units,2006,1,0.0
175,Cassette Single,Units,2007,1,0.0
176,Cassette Single,Units,2008,1,0.0
177,Cassette Single,Units,2009,1,0.0
178,Cassette Single,Units,2010,1,0.0
179,Cassette Single,Units,2011,1,0.0
180,Cassette Single,Units,2012,1,
181,Cassette Single,Units,2013,1,
182,Cassette Single,Units,2014,1,
183,Cassette Single,Units,2015,1,
184,Cassette Single,Units,2016,1,
185,Cassette Single,Units,2017,1,
186,Cassette Single,Units,2018,1,
187,Cassette Single,Units,2019,1,
188,LP/EP,Units,1973,1,280.0
189,LP/EP,Units,1974,1,276.0
190,LP/EP,Units,1975,1,257.0
191,LP/EP,Units,1976,1,273.0
192,LP/EP,Units,1977,1,344.0
193,LP/EP,Units,1978,1,341.3
194,LP/EP,Units,1979,1,290.0
195,LP/EP,Units,1980,1,308.0
196,LP/EP,Units,1981,1,295.2
197,LP/EP,Units,1982,1,243.9
198,LP/EP,Units,1983,1,209.6
199,LP/EP,Units,1984,1,204.6
200,LP/EP,Units,1985,1,167.0
201,LP/EP,Units,1986,1,125.2
202,LP/EP,Units,1987,1,107.0
203,LP/EP,Units,1988,1,72.4
204,LP/EP,Units,1989,1,34.6
205,LP/EP,Units,1990,1,11.7
206,LP/EP,Units,1991,1,4.8
207,LP/EP,Units,1992,1,2.3
208,LP/EP,Units,1993,1,1.2
209,LP/EP,Units,1994,1,1.9
210,LP/EP,Units,1995,1,2.2
211,LP/EP,Units,1996,1,2.9
212,LP/EP,Units,1997,1,2.7
213,LP/EP,Units,1998,1,3.4
214,LP/EP,Units,1999,1,2.9
215,LP/EP,Units,2000,1,2.2
216,LP/EP,Units,2001,1,2.3
217,LP/EP,Units,2002,1,1.743
218,LP/EP,Units,2003,1,1.5
219,LP/EP,Units,2004,1,1.4
220,LP/EP,Units,2005,1,1.0
221,LP/EP,Units,2006,1,0.9
222,LP/EP,Units,2007,1,1.3
223,LP/EP,Units,2008,1,2.9
224,LP/EP,Units,2009,1,3.5
225,LP/EP,Units,2010,1,4.2
226,LP/EP,Units,2011,1,5.5
227,LP/EP,Units,2012,1,6.915365189
228,LP/EP,Units,2013,1,9.351285870000002
229,LP/EP,Units,2014,1,10.315563906
230,LP/EP,Units,2015,1,13.68102972
231,LP/EP,Units,2016,1,14.770886026
232,LP/EP,Units,2017,1,15.556089168
233,LP/EP,Units,2018,1,16.670127326
234,LP/EP,Units,2019,1,19.103162826
235,Vinyl Single,Units,1973,1,228.0
236,Vinyl Single,Units,1974,1,204.0
237,Vinyl Single,Units,1975,1,164.0
238,Vinyl Single,Units,1976,1,190.0
239,Vinyl Single,Units,1977,1,190.0
240,Vinyl Single,Units,1978,1,190.0
241,Vinyl Single,Units,1979,1,212.0
242,Vinyl Single,Units,1980,1,157.0
243,Vinyl Single,Units,1981,1,154.7
244,Vinyl Single,Units,1982,1,137.2
245,Vinyl Single,Units,1983,1,124.8
246,Vinyl Single,Units,1984,1,131.5
247,Vinyl Single,Units,1985,1,120.7
248,Vinyl Single,Units,1986,1,93.9
249,Vinyl Single,Units,1987,1,82.0
250,Vinyl Single,Units,1988,1,65.6
251,Vinyl Single,Units,1989,1,36.6
252,Vinyl Single,Units,1990,1,27.6
253,Vinyl Single,Units,1991,1,22.0
254,Vinyl Single,Units,1992,1,19.8
255,Vinyl Single,Units,1993,1,15.1
256,Vinyl Single,Units,1994,1,11.7
257,Vinyl Single,Units,1995,1,10.2
258,Vinyl Single,Units,1996,1,10.1
259,Vinyl Single,Units,1997,1,7.5
260,Vinyl Single,Units,1998,1,5.4
261,Vinyl Single,Units,1999,1,5.3
262,Vinyl Single,Units,2000,1,4.8
263,Vinyl Single,Units,2001,1,5.5
264,Vinyl Single,Units,2002,1,4.4
265,Vinyl Single,Units,2003,1,3.8
266,Vinyl Single,Units,2004,1,3.5
267,Vinyl Single,Units,2005,1,2.3
268,Vinyl Single,Units,2006,1,1.5
269,Vinyl Single,Units,2007,1,0.6
270,Vinyl Single,Units,2008,1,0.4
271,Vinyl Single,Units,2009,1,0.3
272,Vinyl Single,Units,2010,1,0.3
273,Vinyl Single,Units,2011,1,0.4
274,Vinyl Single,Units,2012,1,0.388573687
275,Vinyl Single,Units,2013,1,0.3158170539999999
276,Vinyl Single,Units,2014,1,0.4811982779999999
277,Vinyl Single,Units,2015,1,0.50786991
278,Vinyl Single,Units,2016,1,0.4043306509999999
279,Vinyl Single,Units,2017,1,0.402959365
280,Vinyl Single,Units,2018,1,0.346165002
281,Vinyl Single,Units,2019,1,0.336120488
282,8 - Track,Units,1973,1,91.0
283,8 - Track,Units,1974,1,96.7
284,8 - Track,Units,1975,1,94.6
285,8 - Track,Units,1976,1,106.1
286,8 - Track,Units,1977,1,127.3
287,8 - Track,Units,1978,1,133.6
288,8 - Track,Units,1979,1,102.3
289,8 - Track,Units,1980,1,85.0
290,8 - Track,Units,1981,1,50.0
291,8 - Track,Units,1982,1,13.7
292,8 - Track,Units,1983,1,0.0
293,8 - Track,Units,1984,1,0.0
294,8 - Track,Units,1985,1,0.0
295,8 - Track,Units,1986,1,0.0
296,8 - Track,Units,1987,1,0.0
297,8 - Track,Units,1988,1,0.0
298,8 - Track,Units,1989,1,0.0
299,8 - Track,Units,1990,1,0.0
300,8 - Track,Units,1991,1,0.0
301,8 - Track,Units,1992,1,0.0
302,8 - Track,Units,1993,1,0.0
303,8 - Track,Units,1994,1,0.0
304,8 - Track,Units,1995,1,0.0
305,8 - Track,Units,1996,1,0.0
306,8 - Track,Units,1997,1,0.0
307,8 - Track,Units,1998,1,0.0
308,8 - Track,Units,1999,1,0.0
309,8 - Track,Units,2000,1,0.0
310,8 - Track,Units,2001,1,0.0
311,8 - Track,Units,2002,1,0.0
312,8 - Track,Units,2003,1,0.0
313,8 - Track,Units,2004,1,0.0
314,8 - Track,Units,2005,1,0.0
315,8 - Track,Units,2006,1,0.0
316,8 - Track,Units,2007,1,0.0
317,8 - Track,Units,2008,1,0.0
318,8 - Track,Units,2009,1,0.0
319,8 - Track,Units,2010,1,0.0
320,8 - Track,Units,2011,1,0.0
321,8 - Track,Units,2012,1,
322,8 - Track,Units,2013,1,
323,8 - Track,Units,2014,1,
324,8 - Track,Units,2015,1,
325,8 - Track,Units,2016,1,
326,8 - Track,Units,2017,1,
327,8 - Track,Units,2018,1,
328,8 - Track,Units,2019,1,
329,Other Tapes,Units,1973,1,2.2
330,Other Tapes,Units,1974,1,1.9
331,Other Tapes,Units,1975,1,1.5
332,Other Tapes,Units,1976,1,0.7
333,Other Tapes,Units,1977,1,0.0
334,Other Tapes,Units,1978,1,0.0
335,Other Tapes,Units,1979,1,0.0
336,Other Tapes,Units,1980,1,0.0
337,Other Tapes,Units,1981,1,0.0
338,Other Tapes,Units,1982,1,0.0
339,Other Tapes,Units,1983,1,0.0
340,Other Tapes,Units,1984,1,0.0
341,Other Tapes,Units,1985,1,0.0
342,Other Tapes,Units,1986,1,0.0
343,Other Tapes,Units,1987,1,0.0
344,Other Tapes,Units,1988,1,0.0
345,Other Tapes,Units,1989,1,0.0
346,Other Tapes,Units,1990,1,0.0
347,Other Tapes,Units,1991,1,0.0
348,Other Tapes,Units,1992,1,0.0
349,Other Tapes,Units,1993,1,0.0
350,Other Tapes,Units,1994,1,0.0
351,Other Tapes,Units,1995,1,0.0
352,Other Tapes,Units,1996,1,0.0
353,Other Tapes,Units,1997,1,0.0
354,Other Tapes,Units,1998,1,0.0
355,Other Tapes,Units,1999,1,0.0
356,Other Tapes,Units,2000,1,0.0
357,Other Tapes,Units,2001,1,0.0
358,Other Tapes,Units,2002,1,0.0
359,Other Tapes,Units,2003,1,0.0
360,Other Tapes,Units,2004,1,0.0
361,Other Tapes,Units,2005,1,0.0
362,Other Tapes,Units,2006,1,0.0
363,Other Tapes,Units,2007,1,0.0
364,Other Tapes,Units,2008,1,0.0
365,Other Tapes,Units,2009,1,0.0
366,Other Tapes,Units,2010,1,0.0
367,Other Tapes,Units,2011,1,0.0
368,Other Tapes,Units,2012,1,
369,Other Tapes,Units,2013,1,
370,Other Tapes,Units,2014,1,
371,Other Tapes,Units,2015,1,
372,Other Tapes,Units,2016,1,
373,Other Tapes,Units,2017,1,
374,Other Tapes,Units,2018,1,
375,Other Tapes,Units,2019,1,
376,Music Video (Physical),Units,1973,1,
377,Music Video (Physical),Units,1974,1,
378,Music Video (Physical),Units,1975,1,
379,Music Video (Physical),Units,1976,1,
380,Music Video (Physical),Units,1977,1,
381,Music Video (Physical),Units,1978,1,
382,Music Video (Physical),Units,1979,1,
383,Music Video (Physical),Units,1980,1,
384,Music Video (Physical),Units,1981,1,
385,Music Video (Physical),Units,1982,1,
386,Music Video (Physical),Units,1983,1,
387,Music Video (Physical),Units,1984,1,
388,Music Video (Physical),Units,1985,1,
389,Music Video (Physical),Units,1986,1,
390,Music Video (Physical),Units,1987,1,
391,Music Video (Physical),Units,1988,1,
392,Music Video (Physical),Units,1989,1,6.1
393,Music Video (Physical),Units,1990,1,9.2
394,Music Video (Physical),Units,1991,1,6.1
395,Music Video (Physical),Units,1992,1,7.6
396,Music Video (Physical),Units,1993,1,11.0
397,Music Video (Physical),Units,1994,1,11.2
398,Music Video (Physical),Units,1995,1,12.6
399,Music Video (Physical),Units,1996,1,16.9
400,Music Video (Physical),Units,1997,1,18.6
401,Music Video (Physical),Units,1998,1,27.2
402,Music Video (Physical),Units,1999,1,19.8
403,Music Video (Physical),Units,2000,1,18.2
404,Music Video (Physical),Units,2001,1,17.7
405,Music Video (Physical),Units,2002,1,14.7
406,Music Video (Physical),Units,2003,1,19.9
407,Music Video (Physical),Units,2004,1,32.8
408,Music Video (Physical),Units,2005,1,33.8
409,Music Video (Physical),Units,2006,1,23.2
410,Music Video (Physical),Units,2007,1,27.5
411,Music Video (Physical),Units,2008,1,13.2
412,Music Video (Physical),Units,2009,1,11.6
413,Music Video (Physical),Units,2010,1,9.1
414,Music Video (Physical),Units,2011,1,7.7
415,Music Video (Physical),Units,2012,1,6.032725467
416,Music Video (Physical),Units,2013,1,4.814626524
417,Music Video (Physical),Units,2014,1,4.065323601
418,Music Video (Physical),Units,2015,1,3.133228006
419,Music Video (Physical),Units,2016,1,2.495531725
420,Music Video (Physical),Units,2017,1,1.87712837
421,Music Video (Physical),Units,2018,1,1.395058021
422,Music Video (Physical),Units,2019,1,1.32294236
423,DVD Audio,Units,1973,1,
424,DVD Audio,Units,1974,1,
425,DVD Audio,Units,1975,1,
426,DVD Audio,Units,1976,1,
427,DVD Audio,Units,1977,1,
428,DVD Audio,Units,1978,1,
429,DVD Audio,Units,1979,1,
430,DVD Audio,Units,1980,1,
431,DVD Audio,Units,1981,1,
432,DVD Audio,Units,1982,1,
433,DVD Audio,Units,1983,1,
434,DVD Audio,Units,1984,1,
435,DVD Audio,Units,1985,1,
436,DVD Audio,Units,1986,1,
437,DVD Audio,Units,1987,1,
438,DVD Audio,Units,1988,1,
439,DVD Audio,Units,1989,1,
440,DVD Audio,Units,1990,1,
441,DVD Audio,Units,1991,1,
442,DVD Audio,Units,1992,1,
443,DVD Audio,Units,1993,1,
444,DVD Audio,Units,1994,1,
445,DVD Audio,Units,1995,1,
446,DVD Audio,Units,1996,1,
447,DVD Audio,Units,1997,1,
448,DVD Audio,Units,1998,1,
449,DVD Audio,Units,1999,1,
450,DVD Audio,Units,2000,1,
451,DVD Audio,Units,2001,1,0.263
452,DVD Audio,Units,2002,1,0.43
453,DVD Audio,Units,2003,1,0.4
454,DVD Audio,Units,2004,1,0.3
455,DVD Audio,Units,2005,1,0.5
456,DVD Audio,Units,2006,1,0.1
457,DVD Audio,Units,2007,1,0.2
458,DVD Audio,Units,2008,1,0.04
459,DVD Audio,Units,2009,1,0.1
460,DVD Audio,Units,2010,1,0.04
461,DVD Audio,Units,2011,1,0.01
462,DVD Audio,Units,2012,1,0.008533145
463,DVD Audio,Units,2013,1,-0.054735168
464,DVD Audio,Units,2014,1,0.066542722
465,DVD Audio,Units,2015,1,0.179506738
466,DVD Audio,Units,2016,1,0.0858989319999999
467,DVD Audio,Units,2017,1,0.061332251
468,DVD Audio,Units,2018,1,0.092803246
469,DVD Audio,Units,2019,1,0.027982262
470,SACD,Units,1973,1,
471,SACD,Units,1974,1,
472,SACD,Units,1975,1,
473,SACD,Units,1976,1,
474,SACD,Units,1977,1,
475,SACD,Units,1978,1,
476,SACD,Units,1979,1,
477,SACD,Units,1980,1,
478,SACD,Units,1981,1,
479,SACD,Units,1982,1,
480,SACD,Units,1983,1,
481,SACD,Units,1984,1,
482,SACD,Units,1985,1,
483,SACD,Units,1986,1,
484,SACD,Units,1987,1,
485,SACD,Units,1988,1,
486,SACD,Units,1989,1,
487,SACD,Units,1990,1,
488,SACD,Units,1991,1,
489,SACD,Units,1992,1,
490,SACD,Units,1993,1,
491,SACD,Units,1994,1,
492,SACD,Units,1995,1,
493,SACD,Units,1996,1,
494,SACD,Units,1997,1,
495,SACD,Units,1998,1,
496,SACD,Units,1999,1,
497,SACD,Units,2000,1,
498,SACD,Units,2001,1,
499,SACD,Units,2002,1,
500,SACD,Units,2003,1,1.3
501,SACD,Units,2004,1,0.8
502,SACD,Units,2005,1,0.5
503,SACD,Units,2006,1,0.3
504,SACD,Units,2007,1,0.2
505,SACD,Units,2008,1,0.1
506,SACD,Units,2009,1,0.1
507,SACD,Units,2010,1,0.1
508,SACD,Units,2011,1,0.1
509,SACD,Units,2012,1,0.065446
510,SACD,Units,2013,1,0.044683
511,SACD,Units,2014,1,0.030486
512,SACD,Units,2015,1,0.041633
513,SACD,Units,2016,1,0.045272
514,SACD,Units,2017,1,0.032749
515,SACD,Units,2018,1,0.032804
516,SACD,Units,2019,1,0.017654
517,Download Single,Units,1973,1,
518,Download Single,Units,1974,1,
519,Download Single,Units,1975,1,
520,Download Single,Units,1976,1,
521,Download Single,Units,1977,1,
522,Download Single,Units,1978,1,
523,Download Single,Units,1979,1,
524,Download Single,Units,1980,1,
525,Download Single,Units,1981,1,
526,Download Single,Units,1982,1,
527,Download Single,Units,1983,1,
528,Download Single,Units,1984,1,
529,Download Single,Units,1985,1,
530,Download Single,Units,1986,1,
531,Download Single,Units,1987,1,
532,Download Single,Units,1988,1,
533,Download Single,Units,1989,1,
534,Download Single,Units,1990,1,
535,Download Single,Units,1991,1,
536,Download Single,Units,1992,1,
537,Download Single,Units,1993,1,
538,Download Single,Units,1994,1,
539,Download Single,Units,1995,1,
540,Download Single,Units,1996,1,
541,Download Single,Units,1997,1,
542,Download Single,Units,1998,1,
543,Download Single,Units,1999,1,
544,Download Single,Units,2000,1,
545,Download Single,Units,2001,1,
546,Download Single,Units,2002,1,
547,Download Single,Units,2003,1,
548,Download Single,Units,2004,1,139.4
549,Download Single,Units,2005,1,366.9
550,Download Single,Units,2006,1,586.4
551,Download Single,Units,2007,1,819.4
552,Download Single,Units,2008,1,1042.7
553,Download Single,Units,2009,1,1124.4
554,Download Single,Units,2010,1,1177.4
555,Download Single,Units,2011,1,1332.3
556,Download Single,Units,2012,1,1402.739373
557,Download Single,Units,2013,1,1332.795366
558,Download Single,Units,2014,1,1154.379327
559,Download Single,Units,2015,1,986.2550359
560,Download Single,Units,2016,1,743.003413783
561,Download Single,Units,2017,1,553.516151775
562,Download Single,Units,2018,1,399.773852346
563,Download Single,Units,2019,1,335.339193535
564,Download Album,Units,1973,1,
565,Download Album,Units,1974,1,
566,Download Album,Units,1975,1,
567,Download Album,Units,1976,1,
568,Download Album,Units,1977,1,
569,Download Album,Units,1978,1,
570,Download Album,Units,1979,1,
571,Download Album,Units,1980,1,
572,Download Album,Units,1981,1,
573,Download Album,Units,1982,1,
574,Download Album,Units,1983,1,
575,Download Album,Units,1984,1,
576,Download Album,Units,1985,1,
577,Download Album,Units,1986,1,
578,Download Album,Units,1987,1,
579,Download Album,Units,1988,1,
580,Download Album,Units,1989,1,
581,Download Album,Units,1990,1,
582,Download Album,Units,1991,1,
583,Download Album,Units,1992,1,
584,Download Album,Units,1993,1,
585,Download Album,Units,1994,1,
586,Download Album,Units,1995,1,
587,Download Album,Units,1996,1,
588,Download Album,Units,1997,1,
589,Download Album,Units,1998,1,
590,Download Album,Units,1999,1,
591,Download Album,Units,2000,1,
592,Download Album,Units,2001,1,
593,Download Album,Units,2002,1,
594,Download Album,Units,2003,1,
595,Download Album,Units,2004,1,4.6
596,Download Album,Units,2005,1,13.6
597,Download Album,Units,2006,1,27.6
598,Download Album,Units,2007,1,49.8
599,Download Album,Units,2008,1,63.6
600,Download Album,Units,2009,1,74.5
601,Download Album,Units,2010,1,85.8
602,Download Album,Units,2011,1,103.9
603,Download Album,Units,2012,1,116.733631841
604,Download Album,Units,2013,1,117.979213042
605,Download Album,Units,2014,1,114.230470801
606,Download Album,Units,2015,1,106.783884116
607,Download Album,Units,2016,1,85.12334989299998
608,Download Album,Units,2017,1,66.386103763
609,Download Album,Units,2018,1,49.734924535
610,Download Album,Units,2019,1,40.202712338
611,Kiosk,Units,1973,1,
612,Kiosk,Units,1974,1,
613,Kiosk,Units,1975,1,
614,Kiosk,Units,1976,1,
615,Kiosk,Units,1977,1,
616,Kiosk,Units,1978,1,
617,Kiosk,Units,1979,1,
618,Kiosk,Units,1980,1,
619,Kiosk,Units,1981,1,
620,Kiosk,Units,1982,1,
621,Kiosk,Units,1983,1,
622,Kiosk,Units,1984,1,
623,Kiosk,Units,1985,1,
624,Kiosk,Units,1986,1,
625,Kiosk,Units,1987,1,
626,Kiosk,Units,1988,1,
627,Kiosk,Units,1989,1,
628,Kiosk,Units,1990,1,
629,Kiosk,Units,1991,1,
630,Kiosk,Units,1992,1,
631,Kiosk,Units,1993,1,
632,Kiosk,Units,1994,1,
633,Kiosk,Units,1995,1,
634,Kiosk,Units,1996,1,
635,Kiosk,Units,1997,1,
636,Kiosk,Units,1998,1,
637,Kiosk,Units,1999,1,
638,Kiosk,Units,2000,1,
639,Kiosk,Units,2001,1,
640,Kiosk,Units,2002,1,
641,Kiosk,Units,2003,1,
642,Kiosk,Units,2004,1,
643,Kiosk,Units,2005,1,0.7
644,Kiosk,Units,2006,1,1.4
645,Kiosk,Units,2007,1,1.8
646,Kiosk,Units,2008,1,1.6
647,Kiosk,Units,2009,1,1.7
648,Kiosk,Units,2010,1,1.7
649,Kiosk,Units,2011,1,1.3
650,Kiosk,Units,2012,1,1.95507
651,Kiosk,Units,2013,1,3.7442
652,Kiosk,Units,2014,1,1.592073358
653,Kiosk,Units,2015,1,2.202659889
654,Kiosk,Units,2016,1,1.74878121
655,Kiosk,Units,2017,1,1.322377717
656,Kiosk,Units,2018,1,1.097856529
657,Kiosk,Units,2019,1,0.8997038649999999
658,Download Music Video,Units,1973,1,
659,Download Music Video,Units,1974,1,
660,Download Music Video,Units,1975,1,
661,Download Music Video,Units,1976,1,
662,Download Music Video,Units,1977,1,
663,Download Music Video,Units,1978,1,
664,Download Music Video,Units,1979,1,
665,Download Music Video,Units,1980,1,
666,Download Music Video,Units,1981,1,
667,Download Music Video,Units,1982,1,
668,Download Music Video,Units,1983,1,
669,Download Music Video,Units,1984,1,
670,Download Music Video,Units,1985,1,
671,Download Music Video,Units,1986,1,
672,Download Music Video,Units,1987,1,
673,Download Music Video,Units,1988,1,
674,Download Music Video,Units,1989,1,
675,Download Music Video,Units,1990,1,
676,Download Music Video,Units,1991,1,
677,Download Music Video,Units,1992,1,
678,Download Music Video,Units,1993,1,
679,Download Music Video,Units,1994,1,
680,Download Music Video,Units,1995,1,
681,Download Music Video,Units,1996,1,
682,Download Music Video,Units,1997,1,
683,Download Music Video,Units,1998,1,
684,Download Music Video,Units,1999,1,
685,Download Music Video,Units,2000,1,
686,Download Music Video,Units,2001,1,
687,Download Music Video,Units,2002,1,
688,Download Music Video,Units,2003,1,
689,Download Music Video,Units,2004,1,
690,Download Music Video,Units,2005,1,1.9
691,Download Music Video,Units,2006,1,9.9
692,Download Music Video,Units,2007,1,14.2
693,Download Music Video,Units,2008,1,20.8
694,Download Music Video,Units,2009,1,20.5
695,Download Music Video,Units,2010,1,18.4
696,Download Music Video,Units,2011,1,16.3
697,Download Music Video,Units,2012,1,10.473489
698,Download Music Video,Units,2013,1,8.412464
699,Download Music Video,Units,2014,1,6.82264392
700,Download Music Video,Units,2015,1,3.223325002
701,Download Music Video,Units,2016,1,2.145427196
702,Download Music Video,Units,2017,1,1.399889693
703,Download Music Video,Units,2018,1,1.115985226
704,Download Music Video,Units,2019,1,0.93412583
705,Ringtones & Ringbacks,Units,1973,1,
706,Ringtones & Ringbacks,Units,1974,1,
707,Ringtones & Ringbacks,Units,1975,1,
708,Ringtones & Ringbacks,Units,1976,1,
709,Ringtones & Ringbacks,Units,1977,1,
710,Ringtones & Ringbacks,Units,1978,1,
711,Ringtones & Ringbacks,Units,1979,1,
712,Ringtones & Ringbacks,Units,1980,1,
713,Ringtones & Ringbacks,Units,1981,1,
714,Ringtones & Ringbacks,Units,1982,1,
715,Ringtones & Ringbacks,Units,1983,1,
716,Ringtones & Ringbacks,Units,1984,1,
717,Ringtones & Ringbacks,Units,1985,1,
718,Ringtones & Ringbacks,Units,1986,1,
719,Ringtones & Ringbacks,Units,1987,1,
720,Ringtones & Ringbacks,Units,1988,1,
721,Ringtones & Ringbacks,Units,1989,1,
722,Ringtones & Ringbacks,Units,1990,1,
723,Ringtones & Ringbacks,Units,1991,1,
