country,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Bahamas,81644,82895,84589,86739,89352,92444,96004,100005,104409,109233,114500,120216,126305,132639,138785,144849,151323,158197,165456,172745,179129,184435,189181,193563,197767,201881,206096,210534,215016,219426,223752,227956,232177,236586,241166,245935,250804,255618,260452,265493,270679,276058,281973,288164,293997,299554,304933,310171,315398,320272,325014,329626,334002,338490,343089,347804,352664,357666,362795,368057,373272,377950,382061,385650,389131,392697,395976,399020,401906,404557,406471,407906,409984,412623
Bahrain,117149,120354,123685,127186,130895,134865,139171,143897,149077,154685,160691,166970,173359,179891,186587,193012,199019,204916,210801,216696,222555,230992,243143,256632,270627,285116,300044,315337,330912,346697,362595,377430,391017,404772,419217,434375,450196,466565,483337,500349,517418,535415,554470,573755,593254,612934,632756,652643,672484,692133,711442,730257,748324,778256,833451,901921,970981,1040532,1110343,1179453,1213645,1212077,1224939,1261673,1311134,1362142,1409661,1456834,1487340,1494188,1477469,1463265,1472233,1485509
Bangladesh,39728535,40548590,41426885,42329279,43282032,44315548,45407666,46560522,47742791,49004963,50396429,51882769,53461661,55094115,56774465,58500159,60265259,62104488,63995652,65866908,67541860,68376204,69346705,71144818,72947807,74700345,76380080,78137788,80007550,81908151,83929765,86154836,88555336,91045478,93534239,95959099,98271746,100490256,102688833,104893674,107147651,109242834,111272102,113418757,115614891,117793338,119876868,122039226,124350471,126754824,129193327,131670484,134139826,136503206,138789725,140912590,142628831,144135934,145421318,146706810,148391139,150211005,152090649,154030139,155961299,157830000,159784568,161793964,163683958,165516222,167420951,169356251,171186372,172954319
Barbados,210548,215430,219469,222730,225309,227320,228615,229458,230350,231404,232550,233698,234829,235875,236834,237694,238494,239238,239905,240594,241397,242350,243458,244643,245851,247090,248359,249663,251009,252334,253575,254684,255642,256505,257279,257911,258370,258654,258762,258759,258868,259402,260212,260995,261712,262303,262793,263224,263642,264170,264657,265377,266455,267499,268505,269477,270425,271444,272635,273791,274711,275486,276197,276865,277493,278083,278649,279187,279688,280180,280693,281200,281635,281995
Belarus,7906860,7879085,7875527,7893237,7927675,7976356,8037362,8109539,8194565,8288638,8389183,8495746,8599859,8694986,8779744,8854528,8921796,8985772,9047801,9108451,9170786,9236766,9303940,9369574,9435592,9500738,9564377,9628875,9693316,9756248,9817257,9877121,9938931,10004049,10069349,10133211,10201670,10270609,10333480,10387610,10428525,10457617,10475907,10480484,10475395,10461696,10436459,10400924,10357466,10308283,10256483,10201209,10135388,10065878,9999712,9935163,9874700,9825986,9787826,9757708,9731427,9706981,9693749,9691137,9693739,9700609,9708110,9707876,9695574,9673971,9633740,9578167,9534954,9498238
Belgium,8617344,8655405,8695582,8740410,8787229,8834526,8881501,8931969,8987674,9049391,9108724,9168469,9230329,9288221,9350467,9412087,9466115,9515229,9556254,9592100,9629376,9666395,9700298,9727980,9749065,9763430,9773537,9786373,9800206,9814137,9828986,9843592,9857343,9866532,9873600,9880534,9887815,9900221,9917995,9937170,9959560,9987070,10016455,10043738,10069182,10095198,10123229,10154872,10188538,10224220,10264343,10309255,10355568,10402550,10456163,10516978,10582975,10653697,10726716,10801356,10877947,10955743,11031139,11103257,11176723,11248303,11316836,11384489,11448595,11510568,11561717,11611419,11655930,11686140
Belize,69116,71220,73461,75642,77807,79986,82196,84451,86746,89061,91403,93757,96188,98862,101772,104838,108062,111411,114825,118145,120905,123091,125054,126875,128620,130801,133471,136183,138933,141823,145133,148764,152409,156053,159721,163436,167191,170980,174817,178695,182589,186462,190299,194177,198416,203556,209840,217117,224907,232733,240406,248100,255987,263998,272128,280375,288729,297173,305671,314171,322106,329538,337059,344688,352335,359871,367313,374693,382066,389095,394921,400031,405272,410825
Benin,2264452,2280678,2297832,2316684,2337371,2360081,2385282,2413053,2443407,2476498,2512284,2551216,2593302,2638082,2685619,2735843,2788642,2843739,2901218,2961166,3023443,3088381,3156408,3227380,3301276,3378703,3460329,3546454,3636927,3732394,3833939,3941569,4054385,4171526,4293070,4419552,4551382,4688787,4831624,4979680,5133419,5293046,5457778,5706181,5923394,6046511,6203860,6387026,6584183,6788589,6998023,7212041,7431783,7659208,7894554,8149419,8402631,8647761,8906469,9172514,9445710,9726380,10014078,10308730,10614844,10932783,11260085,11596779,11940683,12290444,12643123,12996895,13352864,13712828
Bermuda,37142,37541,37910,38297,38708,39136,39630,40198,40798,41398,42026,42889,43926,44950,45996,47074,48133,49142,50148,51136,52019,52539,52743,52925,53102,53256,53373,53434,53462,53456,53565,53907,54338,54765,55197,55611,55995,56367,56740,57111,57470,57874,58322,58739,59111,59465,59840,60227,60603,60981,61371,61763,62139,62468,62740,62959,63081,63156,63258,63353,63447,63533,63560,63506,63355,63144,63068,63275,63571,63812,64031,64185,64184,64069
Bhutan,176367,179833,183545,187481,191638,196014,200607,205425,210468,215741,221266,227071,233417,240268,247444,255010,262976,271339,280102,289296,298894,308837,319128,329800,340842,352269,364119,376387,389072,402063,415257,428641,442201,456033,470165,484528,499151,514026,529051,544209,558442,567710,545944,520838,521260,527536,537494,546865,557143,570990,587207,603234,619048,634627,649991,663323,673260,681614,689737,697678,705516,713331,721145,728889,736357,743274,749761,756121,762096,767459,772506,777486,782455,787424
Bolivia,3089843,3136895,3186943,3240439,3297544,3357923,3421566,3488300,3558666,3632171,3707515,3784744,3864140,3945729,4029472,4115511,4204065,4295269,4389249,4486098,4585693,4688267,4793804,4902248,5013765,5127776,5244355,5363917,5486132,5610380,5736088,5862990,5991118,6120620,6251926,6385630,6521983,6661434,6804072,6949139,7096194,7244891,7394419,7544489,7693722,7841471,7989367,8137619,8286928,8439052,8592656,8746084,8900583,9057378,9216279,9377388,9542663,9711152,9880593,10051317,10223270,10396246,10569697,10743349,10916987,11090085,11263015,11435533,11606905,11777315,11936162,12079472,12224110,12388571
Bosnia and Herzegovina,2692907,2738117,2787378,2841474,2899026,2958430,3018301,3078137,3138472,3200048,3262539,3325333,3387512,3448532,3507959,3565517,3620849,3673367,3723067,3770376,3815561,3859242,3901895,3943152,3983063,4022090,4060039,4096516,4131521,4165511,4199820,4235970,4274013,4312521,4349597,4383306,4413374,4440300,4463320,4481230,4494310,4502386,4275730,3942981,3762330,3750527,3907751,4047748,4115059,4153014,4179350,4194932,4198410,4183757,4142860,4094297,4058086,4007876,3943392,3877750,3811088,3743142,3674374,3617559,3571068,3524324,3480986,3440027,3400129,3360711,3318407,3270943,3233526,3210847
Botswana,413481,422885,432592,442483,452263,461880,471466,481225,491313,501837,512865,524403,536428,549041,562274,570975,574855,578723,582655,586737,592244,604139,626601,657246,691569,727930,766424,806968,849394,893500,938578,982747,1023009,1060717,1099170,1138704,1179263,1220361,1261272,1301671,1341474,1380584,1420695,1462262,1503544,1543634,1582169,1619354,1655699,1691558,1726985,1761930,1795130,1826863,1859085,1892807,1928704,1966977,2007320,2048997,2091664,2134037,2175425,2217278,2260376,2305171,2352416,2401840,2451409,2499702,2546402,2588423,2630296,2675352
Brazil,37189369,37903171,38624425,39347719,40082479,40839223,41616571,42413359,43214753,44044231,44928342,45855507,46821845,47822569,48856332,49925799,51020296,52106681,53210119,54360750,55569264,56837614,58173834,59605446,61157931,62851312,64658315,66589655,68633344,70750307,72951439,75175387,77388067,79351586,81337553,83585251,85804185,88044187,90351467,92744064,95214257,97685360,100182045,102775465,105456121,108187610,110956183,113791181,116690527,119695565,122851984,126152678,129583026,133119801,136756848,140490722,144329764,148294028,152382506,156595758,160952853,165463745,170075932,174726123,179379016,183995785,188666931,193495907,198387623,203304492,208327405,213401323,218541212,223804632
British Virgin Islands,7358,7364,7370,7411,7470,7516,7546,7590,7663,7765,7850,7885,7902,7919,7949,8018,8139,8337,8649,9117,9581,9813,9907,10018,10146,10282,10428,10578,10727,10876,11109,11472,11889,12315,12753,13202,13656,14117,14593,15091,15617,16090,16476,16855,17255,17674,18120,18591,19079,19586,20104,20657,21288,21982,22715,23497,24323,25191,26115,27044,27556,27962,28421,28657,28971,29366,29739,30060,30335,30610,30910,31122,31305,31538
Brunei,48269,51093,54022,57177,60591,64267,68204,72376,76689,81046,85346,89561,93837,98277,102904,107686,112597,117628,122764,128012,133343,138666,143886,149065,154314,159653,165064,170560,176176,181951,187921,194099,200630,207523,214682,222119,229815,237712,245729,253821,261928,269860,277416,284713,291935,299097,306196,313215,320152,327045,333926,340748,347463,354045,360461,366717,372808,378748,384568,390311,396053,401506,406634,411702,416656,421437,425994,430276,434274,438048,441725,445373,449002,452524
Bulgaria,7157632,7228734,7293468,7362708,7439598,7517922,7596096,7672059,7749341,7820753,7891756,7969342,8040772,8108153,8177721,8245072,8308899,8369836,8438288,8512919,8582950,8646260,8700153,8753489,8810675,8860971,8902474,8935452,8958267,8974427,8980606,8978412,8970485,8956433,8939490,8917076,8892100,8865755,8835815,8804430,8767778,8721660,8668540,8611535,8548466,8477579,8401376,8318966,8234927,8162301,8097691,8034860,7974810,7917739,7865316,7815221,7766036,7719035,7674913,7634735,7592273,7543130,7488344,7431167,7372141,7309253,7245975,7182428,7117431,7052532,6979175,6885868,6781953,6687717
Burkina Faso,4213757,4261979,4312573,4364030,4417092,4472824,4530885,4591019,4651801,4715489,4783259,4852833,4924497,4998671,5076111,5157929,5242797,5330613,5422119,5515747,5611666,5707793,5805283,5907742,6018141,6138444,6269765,6416569,6577779,6749939,6932967,7123730,7321817,7531184,7751476,7979185,8207827,8434996,8663720,8895234,9131361,9365064,9598555,9840075,10091256,10353263,10621210,10897353,11201063,11533554,11882888,12249764,12632269,13030591,13445977,13876127,14316242,14757074,15197915,15650022,16116845,16602651,17113732,17636408,18169842,18718019,19275498,19835858,20392723,20951639,21522626,22100683,22673762,23251485
Burundi,2254113,2303248,2351535,2399099,2446758,2495193,2544258,2593840,2643153,2693642,2746628,2815972,2887398,2948133,3033221,3118134,3193378,3274493,3352397,3424429,3497834,3582070,3579195,3571450,3660032,3749232,3830889,3927428,4039410,4137437,4312834,4490743,4602271,4726506,4842268,4948024,5041706,5157769,5271840,5373697,5483793,5594828,5743085,5555220,5586408,5932783,5930507,5923862,6035340,6180180,6307659,6465729,6648938,6860846,7120496,7388874,7658190,7944609,8278109,8709366,9126605,9455733,9795479,10149577,10494913,10727148,10903327,11155593,11493472,11874838,12220227,12551213,12889576,13238559
Cambodia,4380380,4485391,4592875,4702061,4814378,4931224,5051841,5175949,5298409,5419152,5541676,5664654,5788854,5913680,6040847,6170727,6299230,6426445,6553109,6679708,6708525,6696324,6766289,6852360,6913408,6727922,6307122,6040197,5961193,6051808,6198959,6364472,6619699,6881962,7133899,7376090,7661317,7975597,8269780,8570928,8910808,9259362,9718215,10243550,10636353,10919528,11182612,11431569,11669077,11899006,12118841,12338192,12561779,12787710,13016371,13246583,13477779,13714791,13943888,14155740,14363532,14573885,14786640,14999683,15210817,15417523,15624584,15830689,16025238,16207746,16396860,16589023,16767842,16944826
Cameroon,4315816,4381975,4449602,4519183,4592370,4670538,4753921,4840930,4931680,5028160,5117608,5200355,5303841,5427511,5556209,5690086,5829580,5975087,6127193,6286232,6452787,6627350,6809468,6998688,7194697,7397417,7598028,7796825,8013279,8243377,8519891,8829048,9046986,9240672,9508570,9804254,10112712,10433905,10759573,11089222,11430520,11777719,12128604,12486773,12848862,13211647,13575324,13941181,14314599,14698973,15091594,15493253,15914033,16354326,16809407,17275171,17751333,18251866,18777081,19319274,19878036,20448873,21032684,21632850,22299585,23012646,23711630,24393181,25076747,25782341,26491087,27198628,27914536,28647293
Canada,13743069,14085724,14485745,14901525,15323201,15733923,16167047,16650052,17113389,17524906,17909356,18273684,18622345,18971005,19326326,19688805,20055232,20408050,20731929,21033940,21434577,21888679,22222221,22502029,22812432,23136252,23442114,23715308,23962690,24219124,24511510,24815786,25101518,25360726,25602075,25843922,26116071,26436889,26815064,27244406,27657204,28015761,28347641,28668166,28981189,29289423,29593849,29882752,30144812,30399778,30683313,31002763,31322398,31619450,31911668,32215916,32531867,32862459,33218541,33593917,33963412,34323531,34691878,35063691,35404608,35732126,36113532,36554348,37035254,37522584,37888705,38155012,38454327,38781291
Cape Verde,184999,187255,189468,191523,193466,195389,197459,199860,202736,206150,209849,214788,221484,228814,236362,244156,252238,260648,269408,278524,287262,293505,296818,299191,301682,304375,307015,309389,311685,313995,317234,321634,326319,330971,335473,339874,344271,348718,353233,358150,364563,372721,381947,391749,401655,411382,421007,430654,440214,449627,458251,465958,473231,480089,486583,492827,498884,504733,510336,515638,521212,527521,533864,539940,546076,552166,558394,564954,571202,577030,582640,587925,593149,598682
Caribbean Netherlands,6989,7010,7069,7168,7381,7527,7518,7523,7550,7596,7678,7798,7937,8098,8281,8482,8697,8930,9177,9428,9681,9931,10156,10329,10480,10646,10822,11001,11184,11363,11543,11694,11791,11878,11970,12063,12156,12258,12365,12481,12604,12726,12842,12950,13070,13206,13348,13495,13646,13800,13960,14241,14754,15391,16050,16724,17405,18097,18800,19512,20224,20873,21445,22003,22570,23164,23770,24366,24970,25570,26153,26706,27026,27148
Cayman Islands,6912,7106,7454,7686,7934,8129,8204,8275,8328,8374,8473,8626,8799,8985,9172,9366,9566,9771,9981,10181,10533,11117,11778,12443,13118,13791,14456,15116,15746,16378,17100,17904,18729,19572,20433,21313,22195,23075,23956,24888,26027,27340,28677,30038,31418,32802,34194,35579,36947,38295,39658,41054,42456,43862,45286,46727,48177,49647,51123,52602,54074,55492,56860,58212,59559,60911,62255,63581,64884,66134,67311,68136,68706,69310
Central African Republic,1436591,1456939,1477900,1499680,1522317,1545898,1570453,1596022,1622618,1650466,1679728,1710364,1742502,1776214,1811694,1849171,1888853,1930861,1975257,2021519,2067356,2111224,2153613,2195905,2239305,2283927,2318349,2342048,2365957,2390329,2415276,2441010,2467635,2495097,2523538,2553075,2583631,2615594,2657235,2724109,2809221,2898052,2991727,3089146,3187844,3276706,3363570,3458472,3555064,3655360,3759170,3844773,3930648,4026841,4115138,4208834,4294352,4375569,4467233,4564540,4660067,4732022,4773306,4802428,4798734,4819333,4904177,4996741,5094780,5209324,5343020,5457154,5579144,5742315
Chad,2512688,2560171,2607678,2656088,2705622,2756169,2807901,2860901,2915287,2971246,3028688,3087657,3148242,3210296,3273419,3336338,3398664,3461664,3526770,3595152,3667394,3742534,3824399,3912905,4000559,4084110,4163051,4238551,4313479,4402942,4408230,4409225,4622828,4859173,4920556,4967590,5118160,5300852,5483038,5670619,5827069,6042428,6302926,6448280,6592998,6888856,7200291,7450874,7709115,7981889,8259137,8538804,8838369,9196366,9613503,10005012,10365614,10722731,11098664,11496128,11894727,12317730,12754906,13216766,13697126,14140274,14592585,15085884,15604210,16126866,16644701,17179740,17723315,18278568
Chile,6623645,6748673,6882966,7024138,7171410,7323194,7480649,7641931,7806572,7973548,8141820,8313535,8486120,8656006,8825046,8994936,9161649,9326268,9491502,9656299,9820481,9984378,10145765,10307842,10472743,10639531,10804869,10969861,11137748,11304331,11469828,11637613,11807408,11976513,12147758,12326396,12514502,12712784,12918389,13128619,13342868,13561945,13782297,13998386,14210674,14416796,14615483,14809289,14996742,15176410,15351799,15523978,15693790,15859112,16017966,16175311,16334575,16495538,16661462,16833447,17004162,17173573,17341771,17509925,17687108,17870124,18083879,18368577,18701450,19039485,19300315,19493184,19603733,19629590
China,543979233,553613988,564954522,577378682,589936004,603320147,616283022,630003025,643791581,652179194,654170692,655260380,664614650,683903557,704593772,723846349,742948541,761006260,780371956,801430976,822534450,843285424,862840403,881652080,899367640,915124661,929375924,942581333,955138943,968298969,982372466,997259502,1013483166,1029226907,1044172197,1060239979,1077770523,1096851843,1115889802,1134414723,1153704252,1170626171,1183813389,1195855558,1207286675,1218144426,1228298836,1237801448,1246836105,1255433236,1264099069,1272739582,1280926120,1288873367,1296816711,1304887562,1313086567,1321513224,1330167148,1339125595,1348191368,1357095481,1366560818,1376100308,1385189668,1393715448,1401889681,1410275957,1417069468,1421864031,1424929781,1425893465,1425887337,1425671352
Colombia,11769748,12087058,12419968,12767237,13130649,13512612,13911407,14329355,14760798,15211087,15687688,16182414,16691282,17210956,17739754,18275814,18811407,19343961,19872503,20392264,20905254,21405413,21898055,22396318,22897871,23403731,23913002,24443926,25003608,25579323,26176195,26785982,27405194,28042329,28689032,29326260,29960101,30603048,31256727,31923117,32601393,33272628,33939039,34614735,35295461,35970101,36632573,37291946,37944414,38585033,39215135,39837875,40454050,41057687,41648268,42220940,42772910,43306582,43815313,44313917,44816108,45308899,45782417,46237930,46677947,47119728,47625955,48351671,49276961,50187406,50930662,51516562,51874024,52085168
Comoros,161814,165143,168297,171607,174805,177885,180863,184065,187640,191246,194852,198617,202527,206546,210665,214939,219369,224321,229971,236002,242351,249066,256187,263728,271719,280036,288810,298152,307938,318123,328328,337986,347053,356137,365664,375650,386068,396887,408070,419584,431119,442277,452990,463318,473478,483760,494288,505033,515959,526443,536758,547741,559047,570130,581154,592683,604658,616899,629470,642493,656024,670071,684553,699393,714612,730216,746232,761664,776313,790986,806166,821625,836774,852075
Congo,835132,853253,872082,891707,912130,933418,955725,979064,1003497,1029055,1055693,1083431,1112348,1142600,1174269,1207412,1242116,1278312,1316130,1355699,1396989,1440159,1485274,1532069,1580280,1624935,1665418,1706181,1747207,1788218,1829256,1870540,1911634,1951851,2001739,2062555,2124863,2188654,2253336,2319177,2385435,2452675,2520958,2594168,2669220,2742309,2816595,2875037,2937166,3016659,3134030,3254101,3331158,3424653,3543012,3672839,3813323,3956329,4089602,4257230,4437884,4584216,4713257,4828066,4944861,5064386,5186824,5312340,5441062,5570733,5702174,5835806,5970424,6106869
Cook Islands,14683,15027,15309,15573,15845,16129,16413,16675,16941,17259,17631,18014,18264,18406,18571,18767,19003,19314,19677,20066,20470,20850,20759,20177,19535,18863,18216,17876,17809,17733,17651,17559,17404,17178,16925,16657,16494,16557,16735,16924,17123,17308,17456,17564,17656,17735,17798,17581,17067,16500,15897,15294,15028,15077,15113,15146,15199,15507,16063,16634,17212,17769,18000,17916,17816,17695,17546,17395,17253,17110,17029,17003,17011,17044
Costa Rica,948487,979749,1012947,1048055,1085099,1123982,1164562,1207056,1251605,1298054,1346302,1396138,1447037,1498647,1550661,1602736,1654619,1706062,1756333,1805968,1855697,1905486,1955547,2006247,2058235,2111850,2167544,2225630,2286210,2349258,2414303,2481334,2550780,2622532,2696200,2771463,2847849,2924595,3001461,3079001,3158253,3239414,3321939,3405372,3489152,3572856,3656234,3739421,3821421,3901430,3979193,4053222,4122623,4188610,4252800,4315887,4378172,4440019,4501921,4563127,4622252,4679926,4736593,4791535,4844288,4895242,4945205,4993842,5040734,5084532,5123105,5153957,5180829,5212173
Côte d'Ivoire,2736909,2814320,2893687,2976271,3062945,3154282,3251073,3353893,3463232,3580593,3708661,3848336,3998287,4156453,4321368,4492890,4671196,4856689,5050106,5255149,5477086,5718867,5979984,6257373,6548923,6853981,7142690,7415900,7700816,7996368,8303810,8621621,8948119,9282050,9621405,9964075,10309440,10663498,11043193,11462943,11910540,12369269,12838314,13316448,13802285,14299727,14810946,15335453,15858990,16345894,16799670,17245468,17683897,18116451,18544903,18970215,19394057,19817700,20244449,20677762,21120042,21562914,22010712,22469268,22995555,23596741,24213622,24848016,25493988,26147551,26811790,27478249,28160542,28873034
