Entity,Code,Year,Number of one-year-olds vaccinated with HepB3,"Number of one-year-olds vaccinated with DTP containing vaccine, 3rd dose","Number of one-year-olds vaccinated with polio, 3rd dose",Population - Sex: all - Age: 0 - Variant: estimates,"Number of one-year-olds vaccinated with measles-containing vaccine, 1st dose",Number of one-year-olds vaccinated with Hib3,"Number of one-year-olds vaccinated with rubella-containing vaccine, 1st dose","Number of one-year-olds vaccinated with rotavirus, last dose",Number of one-year-olds vaccinated with BCG
Antigua and Barbuda,ATG,2005,1251,1251,1239,1248,1251,1251,1251,,
Antigua and Barbuda,ATG,2006,1236,1236,1236,1245,1236,1236,1236,,
Antigua and Barbuda,ATG,2007,1211,1236,1223,1262,1236,1236,1236,,
Antigua and Barbuda,ATG,2008,1241,1253,1253,1343,1253,1228,1253,,
Antigua and Barbuda,ATG,2009,1319,1333,1319,1405,1333,1265,1333,,
Antigua and Barbuda,ATG,2010,1379,1379,1393,1326,1379,1379,1379,,
Antigua and Barbuda,ATG,2011,1314,1314,1314,1243,1314,1314,1314,,
Antigua and Barbuda,ATG,2012,1219,1219,1207,1204,1219,1219,1219,,
Antigua and Barbuda,ATG,2013,1194,1194,1182,1137,1158,1194,1158,,
Antigua and Barbuda,ATG,2014,1126,1126,1092,1097,1057,1126,1057,,
Antigua and Barbuda,ATG,2015,1085,1085,943,1111,997,1085,997,,
Antigua and Barbuda,ATG,2016,1020,1020,965,1088,976,1020,976,,
Antigua and Barbuda,ATG,2017,1033,1033,1022,1060,1076,1033,1076,,
Antigua and Barbuda,ATG,2018,1005,1005,995,1027,1016,1005,1016,,
Antigua and Barbuda,ATG,2019,1016,975,975,1020,954,1016,954,,
Antigua and Barbuda,ATG,2020,967,977,967,1088,906,1008,906,,
Antigua and Barbuda,ATG,2021,1000,1000,1000,1123,924,1000,924,,
Argentina,ARG,1980,,290813,218110,668242,403173,,,,409782
Argentina,ARG,1981,,325152,265430,667520,510954,,,,464503
Argentina,ARG,1982,,384731,318398,665495,444430,,,,510763
Argentina,ARG,1983,,403645,522753,663982,443348,,,,463199
Argentina,ARG,1984,,409526,475579,664286,521816,,,,515210
Argentina,ARG,1985,,436298,482572,666296,356971,,,,594952
Argentina,ARG,1986,,444383,523974,669979,577034,,,,656625
Argentina,ARG,1987,,500320,567030,674982,533675,,,,627068
Argentina,ARG,1988,,537772,604994,680571,584827,,,,611716
Argentina,ARG,1989,,542277,582948,686194,603283,,,,623618
Argentina,ARG,1990,,594579,615082,695542,635584,,,,676590
Argentina,ARG,1991,,554141,595701,704948,685749,,,,685749
Argentina,ARG,1992,,568716,596800,710351,645949,,,,695097
Argentina,ARG,1993,,573209,580285,716148,672282,,,,700588
Argentina,ARG,1994,,585124,606531,721902,685023,,,,706430
Argentina,ARG,1995,,611505,647476,721769,712224,,,,712224
Argentina,ARG,1996,,597105,647464,714751,712210,,,,712210
Argentina,ARG,1997,,627009,655509,706744,662634,,662634,,705385
Argentina,ARG,1998,,591870,634146,703019,669377,345257,669377,,690515
Argentina,ARG,1999,,602832,637880,706091,679938,602832,679938,,672928
Argentina,ARG,2000,,584390,619594,707845,640716,584390,640716,,668880
Argentina,ARG,2001,,585880,599998,703470,628233,585880,628233,,649410
Argentina,ARG,2002,462958,652349,659364,700085,666378,652349,666378,,666378
Argentina,ARG,2003,509547,670090,663110,697783,677070,670090,677070,,691030
Argentina,ARG,2004,563569,681849,633145,697699,688806,681849,688806,,688806
Argentina,ARG,2005,612239,681811,660940,703356,681811,681811,681811,,688769
Argentina,ARG,2006,589196,638296,645310,707919,680381,638296,680381,,694410
Argentina,ARG,2007,600141,642504,649564,708678,663685,642504,663685,,698988
Argentina,ARG,2008,636214,657422,664491,708580,678629,657422,678629,,699836
Argentina,ARG,2009,664506,664506,685713,712987,678644,664506,678644,,699852
Argentina,ARG,2010,668724,668724,675838,721785,675838,668724,675838,,704294
Argentina,ARG,2011,655453,655453,669859,728596,684264,655453,684264,,713075
Argentina,ARG,2012,661727,661727,654456,733504,683543,661727,683543,,719901
Argentina,ARG,2013,688225,688225,658939,737786,688225,688225,688225,,724832
Argentina,ARG,2014,692299,692299,677569,740933,699664,692299,699664,,729123
Argentina,ARG,2015,695292,695292,687895,742635,658308,695292,658308,451200,710085
Argentina,ARG,2016,682094,682094,645023,735438,667265,682094,667265,556054,682094
Argentina,ARG,2017,631460,631460,616775,717583,653488,631460,653488,572720,697543
Argentina,ARG,2018,616156,616156,601826,687918,673472,616156,673472,573168,666308
Argentina,ARG,2019,570097,570097,570097,662120,590703,570097,590703,528885,583834
Argentina,ARG,2020,489233,489233,489233,643279,509067,489233,509067,476011,495844
Argentina,ARG,2021,488174,488174,475327,627545,520291,488174,520291,475327,520291
Armenia,ARM,1980,,,,74199,,,,,
Armenia,ARM,1981,,,,76376,,,,,
Armenia,ARM,1982,,,,78457,,,,,
Armenia,ARM,1983,,,,80960,,,,,
Armenia,ARM,1984,,,,83781,,,,,
Armenia,ARM,1985,,,,84531,,,,,
Armenia,ARM,1986,,,,83003,,,,,
Armenia,ARM,1987,,,,81981,,,,,
Armenia,ARM,1988,,,,80617,,,,,
Armenia,ARM,1989,,,,80158,,,,,
Armenia,ARM,1990,,,,82138,,,,,
Armenia,ARM,1991,,,,81724,,,,,
Armenia,ARM,1992,,67711,73287,77595,74084,,,,70101
Armenia,ARM,1993,,63492,68721,69807,70962,,,,62745
Armenia,ARM,1994,,58136,62192,61319,64220,,,,56108
Armenia,ARM,1995,,58554,55567,55545,57359,,,,50189
Armenia,ARM,1996,,46848,52840,51559,48482,,,,44669
Armenia,ARM,1997,,44466,48003,48656,46487,,,,36381
Armenia,ARM,1998,,39080,45752,45745,44799,,,,45275
Armenia,ARM,1999,,40746,43433,42986,41194,,,,41642
Armenia,ARM,2000,23128,39106,40368,40371,38686,,,,40788
Armenia,ARM,2001,27270,37151,38336,38212,36755,,,,37941
Armenia,ARM,2002,34286,35416,36170,37336,34286,,34286,,36547
Armenia,ARM,2003,34471,34842,35583,37544,34842,,34842,,34101
Armenia,ARM,2004,33937,33937,34682,38289,34310,,34310,,35801
Armenia,ARM,2005,34621,34240,35001,38927,35762,,35762,,35762
Armenia,ARM,2006,30179,33661,33661,37118,35596,,35596,,35209
Armenia,ARM,2007,31359,32466,33204,36210,33942,,33942,,34679
Armenia,ARM,2008,32030,32030,32750,37892,33830,,33830,,35269
Armenia,ARM,2009,35033,35033,35410,40144,36163,,36163,,37293
Armenia,ARM,2010,37524,37524,38322,41188,38721,19161,38721,,37923
Armenia,ARM,2011,38922,38922,39331,40651,39741,38922,39741,,39331
