Entity,Code,Year,Indicator:Number of cases of yaws reported,Total (estimated) polio cases,Reported cases of guinea worm disease in humans,"Number of new cases of rabies, in both sexes aged all ages","Number of new cases of malaria, in both sexes aged all ages","Number of new cases of hiv/aids, in both sexes aged all ages","Number of new cases of tuberculosis, in both sexes aged all ages",Number of reported smallpox cases,Reported cholera cases
Afghanistan,AFG,2010,,33,0,3.4966226,324376.8,301.3223,22966.498,,2369
Afghanistan,AFG,2011,,90,0,3.4693305,313173.53,330.21848,23015.777,,3733
Afghanistan,AFG,2012,,51,0,3.4304512,303789.6,459.22284,23064.814,,12
Afghanistan,AFG,2013,,19,0,3.3869221,297651.5,525.6841,23117.854,,3957
Afghanistan,AFG,2014,,31,0,3.3300812,294260.03,592.7875,23040.713,,45481
Afghanistan,AFG,2015,,22,0,3.3108234,298038.5,669.6386,23044.637,,58064
Afghanistan,AFG,2016,,14,0,3.3374228,345016.8,718.0141,23112.873,,677
Afghanistan,AFG,2017,,16,0,3.379239,427513.62,765.24567,23483.064,,33
Afghanistan,AFG,2018,,23,0,3.3948505,629438.06,810.9223,23930.367,,
Afghanistan,AFG,2019,,32,0,3.387213,998712.1,849.66254,23717.326,,2
Afghanistan,AFG,2020,,404,0,,,,,,
Afghanistan,AFG,1992,,,0,2.6180408,1081609.6,119.9334,19786.672,,
Afghanistan,AFG,1993,,,0,2.8531172,963817.1,127.2633,21195.934,,37046
Afghanistan,AFG,1994,,,0,2.9899871,818779.5,133.06308,21658.172,,38735
Afghanistan,AFG,1996,,,0,3.281437,665807.44,152.26442,22701.54,,
Afghanistan,AFG,2021,,,0,,,,,,4755
Afghanistan,AFG,2022,,,0,,,,,,
Afghanistan,AFG,1960,,,,,,,,,887
Afghanistan,AFG,1965,,,,,,,,,218
Africa,,1980,,35882,,,,,,,18742
Africa,,1981,,29337,,,,,,,19415
Africa,,1982,,27279,,,,,,,46924
Africa,,1983,,21462,,,,,,,37383
Africa,,1984,,20776,,,,,,,17504
Africa,,1985,,27545,,,,,,,31884
Africa,,1986,,23975,,,,,,,35585
Africa,,1987,,19474,,,,,,,34358
Africa,,1988,,31801,,,,,,,23012
Africa,,1989,,21672,,,,,,,35857
Africa,,1990,,29596,,,,,,,43262
Africa,,1991,,12096,,,,,,,153367
Africa,,1992,,10885,,,,,,,92079
Africa,,1993,,14105,,,,,,,76713
Africa,,1994,,11158,,,,,,,162413
Africa,,1995,,15386,,,,,,,72597
Africa,,1996,,2163,,,,,,,108535
Africa,,1997,,1208,,,,,,,118367
Africa,,1998,,1100,,,,,,,211761
Africa,,1999,,3176,,,,,,,210820
Africa,,2000,,2068,,,,,,,124484
Africa,,2001,,134,,,,,,,173954
Africa,,2002,,241,,,,,,,137866
Africa,,2003,,563,,,,,,,108067
Africa,,2004,,1112,,,,,,,95560
Africa,,2005,,1000,,,,,,,125018
Africa,,2006,,1347,,,,,,,234226
Africa,,2007,,483,,,,,,,167298
Africa,,2008,,1106,,,,,,,179323
Africa,,2009,,983,,,,,,,217333
Africa,,2010,,1196,,,,,,,115106
Africa,,2011,,473,,,,,,,188678
Africa,,2012,,187,,,,,,,117570
Africa,,2013,,102,,,,,,,56329
Africa,,2014,,66,,,,,,,105287
Africa,,2015,,35,,,,,,,71176
Africa,,2016,,6,,,,,,,71058
Africa,,2017,,24,,,,,,,179835
Africa,,2018,,100,,,,,,,120650
Africa,,2019,,390,,,,,,,55087
Africa,,2020,,1106,,,,,,,47256
Africa,,1970,,,,,,,,,11086
Africa,,1971,,,,,,,,,72654
Africa,,1972,,,,,,,,,5137
Africa,,1973,,,,,,,,,6337
Africa,,1974,,,,,,,,,6074
Africa,,1975,,,,,,,,,6650
Africa,,1976,,,,,,,,,3180
Africa,,1977,,,,,,,,,9502
Africa,,1978,,,,,,,,,24643
Africa,,1979,,,,,,,,,21586
Africa,,2021,,,,,,,,,141467
African Region (WHO),,1990,,,,4283.073,161375200,1716678.8,1419726.5,,
African Region (WHO),,1991,,,,4313.576,165035680,1980984.6,1434700.4,,
African Region (WHO),,1992,,,,4331.9033,168662370,2202246.8,1449645.9,,
African Region (WHO),,1993,,,,4357.962,172655120,2377334.2,1468058.6,,
African Region (WHO),,1994,,,,4400.228,177230720,2503192.8,1492668.4,,
African Region (WHO),,1995,,,,4456.0347,182234530,2581305,1522851.1,,
African Region (WHO),,1996,,,,4510.268,187688080,2614399.5,1558219.9,,
African Region (WHO),,1997,,,,4549.6543,193372940,2604932.8,1594918.9,,
African Region (WHO),,1998,,,,4581.116,199060340,2559209.8,1631313.5,,
African Region (WHO),,1999,,,,4620.6855,204628030,2488686.2,1667108.6,,
African Region (WHO),,2000,,,,4678.3706,209941220,2405363.5,1701471,,
African Region (WHO),,2001,,,,4740.867,213435950,2316862.2,1732910.6,,
African Region (WHO),,2002,,,,4786.3623,214484400,2230152.8,1760702.8,,
African Region (WHO),,2003,,,,4821.4214,214443200,2152552,1785754.9,,
African Region (WHO),,2004,,,,4854.029,214835630,2085618.8,1809741.5,,
African Region (WHO),,2005,,,,4899.1133,217326910,2028997.4,1835039.1,,
African Region (WHO),,2006,,,,4917.784,220825820,1979671.6,1858906,,
African Region (WHO),,2007,,,,4889.0737,223291800,1934594.2,1878487.4,,
African Region (WHO),,2008,,,,4839.0522,225111970,1888093,1896233.6,,
African Region (WHO),,2009,,,,4794.837,226734260,1842407,1914051.4,,
African Region (WHO),,2010,,,,4784.052,228677900,1800206.8,1934128.2,,
African Region (WHO),,2011,,,,4793.85,227489760,1751435.6,1951540.1,,
African Region (WHO),,2012,,,,4785.1816,221134030,1697838.9,1961798.9,,
African Region (WHO),,2013,,,,4765.865,212518110,1642837.2,1969224,,
African Region (WHO),,2014,,,,4745.492,204792480,1587862.9,1979421.6,,
African Region (WHO),,2015,,,,4737.088,201284940,1539597.5,1998911.9,,
African Region (WHO),,2016,,,,4698.191,201363570,1491492,2030172.9,,
African Region (WHO),,2017,,,,4636.3047,202922140,1425484.4,2066353.5,,
African Region (WHO),,2018,,,,4540.8877,205775100,1337115.1,2084405.4,,
African Region (WHO),,2019,,,,4378.748,208118370,1287112.1,2078586.6,,
Albania,ALB,1980,,7,0,,,,,,
Albania,ALB,1981,,7,0,,,,,,
Albania,ALB,1982,,0,0,,,,,,
Albania,ALB,1983,,0,0,,,,,,
Albania,ALB,1984,,0,0,,,,,,
Albania,ALB,1985,,7,0,,,,,,
Albania,ALB,1986,,0,0,,,,,,
Albania,ALB,1987,,0,0,,,,,,
Albania,ALB,1988,,0,0,,,,,,
Albania,ALB,1989,,0,0,,,,,,
Albania,ALB,1990,,0,0,0.024380464,0,3.1844528,216.81024,,
Albania,ALB,1991,,7,0,0.024485007,0,3.4546475,211.27489,,
Albania,ALB,1992,,0,0,0.02434144,0,3.6710289,205.64603,,
Albania,ALB,1993,,7,0,0.024078405,0,3.7128205,200.16772,,
Albania,ALB,1994,,0,0,0.023829417,0,3.6294198,195.05692,,626
Albania,ALB,1995,,0,0,0.023583047,0,3.6543012,190.382,,
Albania,ALB,1996,,153,0,0.023025803,0,3.6918812,186.26813,,
Albania,ALB,1997,,0,0,0.02228408,0,3.6656888,187.33731,,
Albania,ALB,1998,,0,0,0.021406677,0,3.3509865,188.06995,,
Albania,ALB,1999,,0,0,0.020316478,0,3.0105524,178.31313,,
Albania,ALB,2000,,0,0,0.019605858,0,2.8395562,169.36588,,
Albania,ALB,2001,,0,0,0.018726408,0,3.0764673,164.97337,,
Albania,ALB,2002,,0,0,0.016977258,0,3.2796018,160.23256,,
Albania,ALB,2003,,0,0,0.014738346,0,3.499513,155.23741,,
Albania,ALB,2004,,0,0,0.012657572,0,3.3179362,150.11584,,
Albania,ALB,2005,,0,0,0.011491771,0,2.9770734,145.20651,,
Albania,ALB,2006,,0,0,0.011053416,0,2.705119,140.29532,,
Albania,ALB,2007,,0,0,0.0106599545,0,2.559985,135.0837,,
Albania,ALB,2008,,0,0,0.010366663,0,2.4835765,129.90475,,
Albania,ALB,2009,,0,0,0.0102469465,0,2.385676,125.13413,,
Albania,ALB,2010,,0,0,0.0103962235,0,2.3353004,121.22562,,
Albania,ALB,2011,,0,0,0.01075592,0,2.4660115,117.806366,,
Albania,ALB,2012,,0,0,0.01119073,0,2.3746042,114.17741,,
Albania,ALB,2013,,0,0,0.011662849,0,2.2445052,110.22334,,
Albania,ALB,2014,,0,0,0.012138092,0,2.4224427,106.195076,,
Albania,ALB,2015,,0,0,0.012588923,0,2.6274543,102.467834,,
Albania,ALB,2016,,0,0,0.013460109,0,2.661325,97.58413,,
Albania,ALB,2017,,0,0,0.014326912,0,2.6962876,94.34844,,
Albania,ALB,2018,,0,0,0.0145095,0,2.728043,94.39895,,
Albania,ALB,2019,,0,0,0.014224869,0,2.6898444,95.83574,,
Albania,ALB,2020,,0,0,,,,,,
Albania,ALB,2021,,,0,,,,,,
Albania,ALB,2022,,,0,,,,,,
Algeria,DZA,1980,,812,0,,,,,,614
Algeria,DZA,1981,,798,0,,,,,,
Algeria,DZA,1982,,497,0,,,,,,
Algeria,DZA,1983,,924,0,,,,,,218
Algeria,DZA,1984,,756,0,,,,,,45
Algeria,DZA,1985,,462,0,,,,,,
Algeria,DZA,1986,,203,0,,,,,,
Algeria,DZA,1987,,245,0,,,,,,1507
Algeria,DZA,1988,,63,0,,,,,,699
Algeria,DZA,1989,,126,0,,,,,,393
Algeria,DZA,1990,,14,0,1.7746575,2428.5056,124.47287,10231.118,,1299
Algeria,DZA,1991,,0,0,1.7726839,2030.1178,135.8765,9977.904,,
Algeria,DZA,1992,,7,0,1.7645701,1641.9749,158.94077,9721.126,,69
Algeria,DZA,1993,,7,0,1.7526449,1284.2754,172.61952,9470.078,,
Algeria,DZA,1994,,28,0,1.7383995,979.4008,198.84825,9237.549,,118
Algeria,DZA,1995,,28,0,1.7248231,751.8313,229.40805,9036.629,,
Algeria,DZA,1996,,8,0,1.7078826,569.6513,249.64938,8853.549,,
Algeria,DZA,1997,,0,0,1.6842893,393.7096,285.9304,8666.493,,
Algeria,DZA,1998,,0,0,1.6557883,240.33974,325.85864,8482.409,,
Algeria,DZA,1999,,11,0,1.628756,127.375824,354.126,8306.235,,
Algeria,DZA,2000,,0,0,1.6059587,74.05169,413.72794,8143.844,,
Algeria,DZA,2001,,2,0,1.5867167,58.935696,458.6117,7989.962,,
Algeria,DZA,2002,,0,0,1.567329,46.90413,485.5604,7838.249,,
Algeria,DZA,2003,,0,0,1.5499105,37.648167,543.68384,7691.8486,,
Algeria,DZA,2004,,0,0,1.5327456,30.810043,589.6671,7555.5605,,
Algeria,DZA,2005,,0,0,1.516881,25.98132,619.7907,7431.977,,0
Algeria,DZA,2006,,0,0,1.4968573,21.855423,659.29315,7308.8574,,0
Algeria,DZA,2007,,0,0,1.4696891,17.753695,727.65765,7181.0386,,
Algeria,DZA,2008,,0,0,1.4403008,14.199883,757.0938,7062.9556,,
Algeria,DZA,2009,,0,0,1.415227,11.758157,781.954,6972.407,,
Algeria,DZA,2010,,0,0,1.4001803,11.032654,828.42773,6927.125,,
Algeria,DZA,2011,,0,0,1.3923714,11.914819,836.8864,6927.1875,,
Algeria,DZA,2012,,0,0,1.3844948,13.567051,883.8523,6949.8745,,
Algeria,DZA,2013,,0,0,1.376196,15.501364,839.57666,6980.994,,
Algeria,DZA,2014,,0,0,1.3679993,17.193447,840.17163,7004.667,,
Algeria,DZA,2015,,0,0,1.3615261,18.083479,749.411,7003.6787,,
Algeria,DZA,2016,,0,0,1.3521076,12.584504,632.9256,6930.4746,,
Algeria,DZA,2017,,0,0,1.3470328,6.3211403,649.5632,6873.661,,
Algeria,DZA,2018,,0,0,1.3475577,6.8618975,664.2919,6889.4663,,
Algeria,DZA,2019,,0,0,1.3461609,10.671482,675.619,6921.8545,,
Algeria,DZA,2020,,0,0,,,,,,
Algeria,DZA,2021,,,0,,,,,,
Algeria,DZA,2022,,,0,,,,,,
Algeria,DZA,1971,,,,,,,,,1332
Algeria,DZA,1972,,,,,,,,,646
Algeria,DZA,1973,,,,,,,,,605
Algeria,DZA,1974,,,,,,,,,738
Algeria,DZA,1975,,,,,,,,,1165
Algeria,DZA,1976,,,,,,,,,286
Algeria,DZA,1977,,,,,,,,,262
Algeria,DZA,1978,,,,,,,,,220
Algeria,DZA,1979,,,,,,,,,2513
American Samoa,ASM,1990,,,,0.0035614118,0,0.63044024,7.3162947,,
American Samoa,ASM,1991,,,,0.003634352,0,0.5366512,7.5184307,,
American Samoa,ASM,1992,,,,0.0036791726,0,0.5065369,7.6943874,,
American Samoa,ASM,1993,,,,0.0037073202,0,0.59520227,7.844839,,
American Samoa,ASM,1994,,,,0.0037273453,0,0.66909015,7.9707327,,
American Samoa,ASM,1995,,,,0.003761406,0,0.6941487,8.073368,,
American Samoa,ASM,1996,,,,0.0036715274,0,0.6921408,8.14205,,
American Samoa,ASM,1997,,,,0.0034213215,0,0.7027423,8.168174,,
American Samoa,ASM,1998,,,,0.003110141,0,0.73807025,8.167216,,
American Samoa,ASM,1999,,,,0.0028556976,0,0.8005241,8.156109,,
American Samoa,ASM,2000,,,,0.0027951298,0,0.87062913,8.151867,,
American Samoa,ASM,2001,,,,0.0030311833,0,0.9528712,8.148098,,
American Samoa,ASM,2002,,,,0.003512045,0,1.047508,8.125255,,
American Samoa,ASM,2003,,,,0.00410104,0,1.1314943,8.091744,,
American Samoa,ASM,2004,,,,0.0046526543,0,1.2180004,8.056728,,
American Samoa,ASM,2005,,,,0.0050166673,0,1.3105292,8.027318,,
American Samoa,ASM,2006,,,,0.005267794,0,1.3123628,8.018724,,
American Samoa,ASM,2007,,,,0.0055609928,0,1.2937648,8.02489,,
American Samoa,ASM,2008,,,,0.0058692,0,1.2776834,8.038008,,
American Samoa,ASM,2009,,,,0.0061509204,0,1.2300979,8.047251,,
American Samoa,ASM,2010,,,,0.0063665784,0,1.1337268,8.047031,,
American Samoa,ASM,2011,,,,0.0065391934,0,1.1196184,7.9802165,,
American Samoa,ASM,2012,,,,0.0066953977,0,1.1873384,7.810902,,
American Samoa,ASM,2013,,,,0.0068344236,0,1.1485659,7.580838,,
American Samoa,ASM,2014,,,,0.006957659,0,1.2079118,7.3338814,,
American Samoa,ASM,2015,,,,0.007063244,0,1.2424945,7.1153297,,
American Samoa,ASM,2016,,,,0.007650937,0,1.3620248,6.835341,,
American Samoa,ASM,2017,,,,0.008264294,0,1.3421557,6.6743746,,
American Samoa,ASM,2018,,,,0.008139387,0,1.3176644,6.931579,,
American Samoa,ASM,2019,,,,0.0074481047,0,1.329915,7.550587,,
Americas,,1980,,20923,,,,,,,
Americas,,1981,,10094,,,,,,,
Americas,,1982,,6972,,,,,,,
Americas,,1983,,7511,,,,,,,
Americas,,1984,,4053,,,,,,,
Americas,,1985,,5005,,,,,,,
Americas,,1986,,6335,,,,,,,
Americas,,1987,,4193,,,,,,,
Americas,,1988,,2198,,,,,,,
Americas,,1989,,770,,,,,,,
Americas,,1990,,126,,,,,,,
Americas,,1991,,63,,,,,,,
Americas,,1992,,0,,,,,,,
Americas,,1993,,0,,,,,,,
Americas,,1994,,0,,,,,,,
Americas,,1995,,0,,,,,,,
Americas,,1996,,0,,,,,,,
Americas,,1997,,0,,,,,,,
Americas,,1998,,0,,,,,,,
Americas,,1999,,0,,,,,,,
Americas,,2000,,13,,,,,,,
Americas,,2001,,18,,,,,,,
Americas,,2002,,0,,,,,,,
Americas,,2003,,0,,,,,,,
Americas,,2004,,0,,,,,,,
Americas,,2005,,0,,,,,,,
Americas,,2006,,0,,,,,,,
Americas,,2007,,0,,,,,,,
Americas,,2008,,0,,,,,,,
Americas,,2009,,0,,,,,,,
Americas,,2010,,0,,,,,,,
Americas,,2011,,0,,,,,,,
Americas,,2012,,0,,,,,,,
Americas,,2013,,0,,,,,,,
Americas,,2014,,0,,,,,,,
Americas,,2015,,0,,,,,,,
Americas,,2016,,0,,,,,,,
Americas,,2017,,0,,,,,,,
Americas,,2018,,0,,,,,,,
Americas,,2019,,0,,,,,,,
Americas,,2020,,0,,,,,,,
Andorra,AND,1999,,0,0,0.000071659604,0,3.403286,3.752964,,
Andorra,AND,2000,,0,0,0.00007323388,0,3.2728791,3.6276813,,
Andorra,AND,2001,,0,0,0.00007490333,0,3.2626088,3.5448394,,
Andorra,AND,2002,,0,0,0.000076819575,0,6.240559,3.508046,,
Andorra,AND,2003,,0,0,0.000080288526,0,4.170553,3.7045834,,
Andorra,AND,2004,,0,0,0.00008412276,0,3.7917151,3.8746126,,
Andorra,AND,2005,,0,0,0.0000862387,0,6.3877287,3.8998456,,
Andorra,AND,2006,,0,0,0.000088797686,0,4.244847,3.9388938,,
Andorra,AND,2007,,0,0,0.00009140372,0,4.251151,3.9337988,,
Andorra,AND,2008,,0,0,0.00009370595,0,5.620337,3.896008,,
Andorra,AND,2009,,0,0,0.000095917705,0,7.6479607,3.77511,,
Andorra,AND,2010,,0,0,0.000098153556,0,5.607729,3.684505,,
Andorra,AND,2011,,0,0,0.00009777516,0,5.0547557,3.3512278,,
Andorra,AND,2012,,0,0,0.000102749,0,6.523293,3.1693554,,
Andorra,AND,2013,,0,0,0.00010904389,0,6.6046453,3.0530906,,
Andorra,AND,2014,,0,0,0.00011575338,0,6.743381,2.989043,,
Andorra,AND,2015,,0,0,0.00012227679,0,6.86304,2.948139,,
Andorra,AND,2016,,0,0,0.00012582859,0,6.871717,2.9053857,,
Andorra,AND,2017,,0,0,0.00013157535,0,7.081359,2.9467227,,
Andorra,AND,2018,,0,0,0.00013464199,0,7.2311435,2.9978974,,
Andorra,AND,2019,,0,0,0.00013845737,0,7.378066,3.0567908,,
Andorra,AND,2020,,0,0,,,,,,
Andorra,AND,1980,,,0,,,,,,
Andorra,AND,1981,,,0,,,,,,
Andorra,AND,1982,,,0,,,,,,
Andorra,AND,1983,,,0,,,,,,
Andorra,AND,1984,,,0,,,,,,
Andorra,AND,1985,,,0,,,,,,
Andorra,AND,1986,,,0,,,,,,
Andorra,AND,1987,,,0,,,,,,
Andorra,AND,1988,,,0,,,,,,
Andorra,AND,1989,,,0,,,,,,
Andorra,AND,1990,,,0,0.000055092813,0,5.0590816,3.8136508,,
Andorra,AND,1991,,,0,0.000058882964,0,5.3305,4.099393,,
Andorra,AND,1992,,,0,0.00006129059,0,4.680884,4.223541,,
Andorra,AND,1993,,,0,0.00006363037,0,4.2197614,4.340065,,
Andorra,AND,1994,,,0,0.00006366155,0,5.0183835,4.2037125,,
Andorra,AND,1995,,,0,0.00006429111,0,4.117636,4.0696387,,
Andorra,AND,1996,,,0,0.00006574374,0,3.8199275,4.004156,,
Andorra,AND,1997,,,0,0.000067725094,0,3.7201,3.9484875,,
Andorra,AND,1998,,,0,0.0000694254,0,3.617578,3.8673005,,
Andorra,AND,2021,,,0,,,,,,
Andorra,AND,2022,,,0,,,,,,
Angola,AGO,1980,,224,0,,,,,,
Angola,AGO,1981,,84,0,,,,,,
Angola,AGO,1982,,42,0,,,,,,
Angola,AGO,1983,,0,0,,,,,,
Angola,AGO,1984,,21,0,,,,,,
Angola,AGO,1985,,98,0,,,,,,
Angola,AGO,1986,,259,0,,,,,,
Angola,AGO,1987,,105,0,,,,,,16222
Angola,AGO,1988,,0,0,,,,,,15500
Angola,AGO,1989,,0,0,,,,,,17601
Angola,AGO,1991,,0,0,15.457628,3509191.5,3828.9988,31776.87,,8590
Angola,AGO,1992,,0,0,15.613657,3633420.5,5121.842,32864.617,,3608
Angola,AGO,1993,,1043,0,15.721999,3761338.8,6623.8984,33963.746,,
Angola,AGO,1994,,378,0,15.794446,3894744,8285.543,35081.34,,3443
Angola,AGO,1995,,1064,0,15.855254,4036519.2,10038.777,36252.2,,3295
Angola,AGO,1996,,90,0,15.808929,4185122,11805.031,37436.49,,1306
Angola,AGO,1997,,17,0,15.596138,4338616,13511.703,38623.605,,
Angola,AGO,1998,,8,0,15.278044,4495673,15092.233,39828.668,,
Angola,AGO,1999,,1224,0,14.939104,4658156,16503.838,41103.375,,
Angola,AGO,2000,,128,0,14.682077,4828811,17736.984,42523.562,,
Angola,AGO,2001,,2,0,14.48669,5013270.5,18791.828,44091.53,,
Angola,AGO,2002,,0,0,14.274555,5212388.5,19714.244,45769.617,,
Angola,AGO,2003,,0,0,14.057841,5418972,20583.143,47526.805,,
Angola,AGO,2004,,0,0,13.846846,5623625.5,21474.666,49314.883,,
Angola,AGO,2005,,11,0,13.6558,5815446,22352.492,51101.008,,0
Angola,AGO,2006,,2,0,13.443765,5747149,23393.164,52816.234,,67257
Angola,AGO,2007,,9,0,13.163569,5302657,24697.863,54433.145,,18422
Angola,AGO,2008,,32,0,12.828784,4692401.5,26164.584,55948.562,,10511
Angola,AGO,2009,,32,0,12.453303,4166695.8,27782.988,57351.56,,2019
Angola,AGO,2010,,37,0,12.063908,4021064.8,29676.906,58637.992,,1484
Angola,AGO,2011,,6,0,11.604606,4194396,31732.162,59478.727,,1810
Angola,AGO,2012,,0,0,11.039229,4403571.5,33387.836,59712.68,,1215
Angola,AGO,2013,,0,0,10.417461,4646445.5,34408.105,59642.93,,6655
Angola,AGO,2014,,0,0,9.800037,4920422,35154.387,59630.53,,213
Angola,AGO,2015,,0,0,9.250467,5221958,36338.656,60086.812,,
Angola,AGO,2016,,0,0,8.74512,5841198,38198.617,60953.48,,78
Angola,AGO,2017,,0,0,8.358166,6407805.5,40191.227,61982.406,,828
Angola,AGO,2018,,0,1,8.120007,6540698,42326.47,62715.062,,1546
Angola,AGO,2019,,153,1,7.964379,6475958,43510.58,62933.6,,
Angola,AGO,2020,,6,1,,,,,,
Angola,AGO,1990,,,0,15.255726,3389815.2,2769.3564,30723.791,,9527
Angola,AGO,2021,,,0,,,,,,
Angola,AGO,2022,,,0,,,,,,
Angola,AGO,1971,,,,,,,,,1
Angola,AGO,1972,,,,,,,,,268
Angola,AGO,1973,,,,,,,,,263
Angola,AGO,1974,,,,,,,,,934
Angola,AGO,1975,,,,,,,,,88
Angola,AGO,1977,,,,,,,,,726
Antigua and Barbuda,ATG,1980,,0,0,,,,,,
Antigua and Barbuda,ATG,1981,,0,0,,,,,,
Antigua and Barbuda,ATG,1982,,0,0,,,,,,
Antigua and Barbuda,ATG,1983,,0,0,,,,,,
Antigua and Barbuda,ATG,1984,,0,0,,,,,,
Antigua and Barbuda,ATG,1985,,0,0,,,,,,
Antigua and Barbuda,ATG,1986,,0,0,,,,,,
Antigua and Barbuda,ATG,1987,,0,0,,,,,,
Antigua and Barbuda,ATG,1988,,0,0,,,,,,
Antigua and Barbuda,ATG,1989,,0,0,,,,,,
Antigua and Barbuda,ATG,1990,,0,0,0.0015899013,0,15.696256,20.818546,,
Antigua and Barbuda,ATG,1991,,0,0,0.0014326775,0,15.923891,20.712685,,
Antigua and Barbuda,ATG,1992,,0,0,0.0012914663,0,15.950966,20.687006,,
Antigua and Barbuda,ATG,1993,,0,0,0.0011784371,0,16.243483,20.727335,,
Antigua and Barbuda,ATG,1994,,0,0,0.0011075264,0,16.304415,20.824245,,
Antigua and Barbuda,ATG,1995,,0,0,0.0010932273,0,16.222788,20.973719,,
Antigua and Barbuda,ATG,1996,,0,0,0.0011124441,0,15.953433,21.114431,,
Antigua and Barbuda,ATG,1997,,0,0,0.0011338973,0,16.591475,21.214771,,
Antigua and Barbuda,ATG,1998,,0,0,0.0011632809,0,17.168034,21.327318,,
Antigua and Barbuda,ATG,1999,,0,0,0.0012090291,0,16.322075,21.515339,,
Antigua and Barbuda,ATG,2000,,0,0,0.0012793491,0,14.970841,21.837103,,
Antigua and Barbuda,ATG,2001,,0,0,0.0013909283,0,13.832178,22.383984,,
Antigua and Barbuda,ATG,2002,,0,0,0.0015385192,0,12.421225,23.101402,,
Antigua and Barbuda,ATG,2003,,0,0,0.0017025145,0,11.070621,23.848896,,
Antigua and Barbuda,ATG,2004,,0,0,0.0018630532,0,10.333011,24.472168,,
Antigua and Barbuda,ATG,2005,,0,0,0.0020007084,0,10.164899,24.80878,,
Antigua and Barbuda,ATG,2006,,0,0,0.0021605596,0,10.608372,24.807974,,
Antigua and Barbuda,ATG,2007,,0,0,0.0023902059,0,11.35329,24.571507,,
Antigua and Barbuda,ATG,2008,,0,0,0.0026680196,0,14.239348,24.17902,,
Antigua and Barbuda,ATG,2010,,0,0,0.0032946493,0,18.951378,23.278795,,
Antigua and Barbuda,ATG,2009,,,0,0.0029753668,0,16.380468,23.722393,,
Antigua and Barbuda,ATG,2011,,,0,0.003767176,0,20.201561,22.712296,,
Antigua and Barbuda,ATG,2012,,,0,0.0044339728,0,22.385881,21.908943,,
Antigua and Barbuda,ATG,2013,,,0,0.0051326947,0,24.933678,20.97946,,
Antigua and Barbuda,ATG,2014,,,0,0.00569623,0,25.98099,20.035,,
Antigua and Barbuda,ATG,2015,,,0,0.005951833,0,26.210524,19.19136,,
Antigua and Barbuda,ATG,2016,,,0,0.0056575984,0,26.445675,17.917418,,
Antigua and Barbuda,ATG,2017,,,0,0.0052154083,0,27.169088,17.03797,,
Antigua and Barbuda,ATG,2018,,,0,0.004993779,0,27.762,17.253553,,
Antigua and Barbuda,ATG,2019,,,0,0.0048448374,0,28.023123,17.965424,,
Antigua and Barbuda,ATG,2020,,,0,,,,,,
Antigua and Barbuda,ATG,2021,,,0,,,,,,
Antigua and Barbuda,ATG,2022,,,0,,,,,,
Argentina,ARG,1980,,224,0,,,,,,
Argentina,ARG,1981,,14,0,,,,,,
Argentina,ARG,1982,,84,0,,,,,,
Argentina,ARG,1983,,182,0,,,,,,
Argentina,ARG,1984,,7,0,,,,,,
