population_2024,Population_growthRate,Country_land_area,country,region,unMember,population_density_km,population_densityMi,BillionairesRichestBillionaire2023,BillionairesRichestNetWorth2023,BillionairesPerMillionPeople2023,BillionairesTotalNetWorth2023
34671895,0.01059,330803,Malaysia,Asia,TRUE,105.53,273.3228,Robert Kuok,11.8,0.388,54.7
31240315,0.01113,147181,Nepal,Asia,TRUE,217.9303,564.4396,Binod Chaudhary,1.8,0.033,1.8
29395334,0.01931,916445,Venezuela,South America,TRUE,33.3262,86.3147,Juan Carlos Escotet,4.3,0.035,4.3
26699482,0.00985,7692024,Australia,Oceania,TRUE,3.4711,8.9901,Gina Rinehart,27,1.229,183.5
23950214,0.00113,36193,Taiwan,Asia,FALSE,661.663,1713.7071,"Zhang Congyuan, Lin Shu-hong",7.8,1.559,136.1
19828165,0.0113,2724900,Kazakhstan,Asia,TRUE,7.3446,19.0225,Vladimir Kim,4.6,0.318,22.6
19658839,0.00149,756102,Chile,South America,TRUE,26.4398,68.4791,Iris Fontbona & family,23.1,0.356,41.9
19618996,-0.01377,238391,Romania,Europe,TRUE,85.2703,220.8501,Ion Tiriac,2,0.104,8.8
17671125,0.003,41850,Netherlands,Europe,TRUE,524.8329,1359.3173,Charlene de Carvalho-Heineken & family,14.7,0.683,40.6
17020321,0.0213,390757,Zimbabwe,Africa,TRUE,43.9972,113.9528,Strive Masiyiwa,1.9,0.063,1.9
11715774,0.00254,30528,Belgium,Europe,TRUE,386.9146,1002.1088,Eric Wittouck,8,0.348,15.8
10673669,0.0058,450295,Sweden,Europe,TRUE,26.207,67.8761,Stefan Persson,16.2,2.987,140.4
10503734,0.0008,78865,Czech Republic,Europe,TRUE,136.0614,352.399,Renata Kellnerova & family,16.5,0.913,61.4
10302720,-0.00373,131990,Greece,Europe,TRUE,79.928,207.0135,Maria Angelicoussis,0.56,16.6,
10223349,-0.00237,92090,Portugal,Europe,TRUE,111.6018,289.0486,Maria Fernanda Amorim & family,4.7,0.497,4.7
9994993,-0.01588,93028,Hungary,Europe,TRUE,109.5222,283.6624,Sandor Csanyi,1.5,0.103,3.9
9591853,0.00788,83600,United Arab Emirates,Asia,TRUE,135.0585,349.8015,Pavel Durov,11.5,0.427,21.4
9311652,0.01495,20770,Israel,Asia,TRUE,430.2982,1114.4722,Eyal Ofer,18.9,3.158,113.3
8977139,0.00203,83871,Austria,Europe,TRUE,108.7874,281.7595,Mark Mateschitz,34.7,1.007,70.7
8851431,0.00623,41284,Switzerland,Europe,TRUE,223.9961,580.15,"Gianluigi Aponte, Rafaela Aponte-Diamant",31.2,4.044,206.3
7496681,0.00068,1104,Hong Kong,Asia,FALSE,7139.6962,18491.8131,Li Ka-shing,38,8.698,367.3
6618615,-0.01033,110879,Bulgaria,Europe,TRUE,60.9673,157.9054,Georgi and Kiril Domuschiev,2.1,0.291,4.2
6052709,0.00632,710,Singapore,Asia,TRUE,8429.9568,21833.5882,Li Xiting,16.3,4.573,124.8
5939695,0.00487,43094,Denmark,Europe,TRUE,148.4924,384.5953,Anders Holch Povlsen,7.3,1.37,42.2
5702832,-0.01594,49037,Slovakia,Europe,TRUE,116.3013,301.2202,Ivan Chrenko,1.6,0.366,3.1
5549886,0.0008,338424,Finland,Europe,TRUE,18.2598,47.2929,Antti Herlin,4.1,1.272,14
5514477,0.00733,323802,Norway,Europe,TRUE,15.1378,39.2069,Ivar Tollefsen,7.7,2.226,36.3
5269939,0.008,270467,New Zealand,Oceania,TRUE,20.0142,51.8368,Graeme Hart,8.6,0.587,12.7
5219044,-0.02519,10452,Lebanon,Asia,TRUE,510.1705,1321.3415,Najib and Taha Mikati,2.8,0.886,11.8
5089478,0.00644,70273,Ireland,Europe,TRUE,73.8783,191.3449,Shapoor Mistry,7,1.808,36.2
4713553,0.01489,309500,Oman,Asia,TRUE,15.2296,39.4446,Suhail Bahwan,2.7,0.223,4.3
4527961,0.0134,75417,Panama,North America,TRUE,61.0402,158.0941,Stanley Motta,1,1,
3717425,-0.00291,69700,Georgia,Asia,TRUE,53.4958,138.5542,Bidzina Ivanishvili,4.9,0.537,8.6
2777979,0,29743,Armenia,Asia,TRUE,97.5757,252.721,Ruben Vardanyan & family,1.2,1.2,
2737061,0.00761,11586,Qatar,Asia,TRUE,238.2124,616.9702,Faisal Bin Qassim Al Thani,1.8,0.368,3
1319041,-0.00282,45227,Estonia,Europe,TRUE,30.8548,79.9138,Kristo Käärmann,1.3,0.751,1.3
1268467,0.00661,9251,Cyprus,Europe,TRUE,137.28,355.5551,John Fredriksen,13.7,9.008,36.8
1222075,0.00929,17364,Eswatini,Africa,TRUE,71.0509,184.0218,Nathan Kirsh,6.5,0.915,6.5
713082,0.01269,32.9,Macau,Asia,FALSE,21674.2249,56136.2426,Hoi Kin Hong,1.3,1.464,1.3
416656,0.01419,22966,Belize,North America,TRUE,18.2664,47.3099,Kenneth Dart,3.9,3.9,
377689,0.00632,103000,Iceland,Europe,TRUE,3.7458,9.7016,Thor Bjorgolfsson,2.5,2.713,2.5
282309,0.00111,430,Barbados,North America,TRUE,656.5326,1700.4193,Rihanna,1.4,3.559,1.4
63788,0.00384,78,Guernsey,Europe,FALSE,1012.5079,2622.3956,Stephen Lansdown,2.3,15.834,2.3
47847,0.00193,261,Saint Kitts and Nevis,North America,TRUE,184.0269,476.6297,Myron Wentz,1.3,37.037,1.3
39822,0.00601,160,Liechtenstein,Europe,TRUE,248.8875,644.6186,Christoph Zeller,2.3,25.71,2.3
36157,-0.00386,2.02,Monaco,Europe,TRUE,18078.5,46823.315,Stefano Pessina,8.3,78.74,12.4
TRUE,1472.9,12198.8,,,,,,,,,
